time,X_value,Y_value,Z_value
0.0121,2.07587,4.30954,10.41706
0.0122,2.50572,4.46883,11.19608
0.0126,3.01850,4.49588,11.42092
0.0181,3.10716,4.36498,11.20339
0.0189,2.94210,4.02420,10.61264
0.0375,2.59196,3.63787,10.31136
0.0375,2.28301,3.25022,10.13180
0.0377,1.95976,2.81998,9.95707
0.0399,1.63036,2.71502,9.86821
0.0400,1.97929,2.52340,9.58059
0.0426,2.07225,2.09967,9.42230
0.0471,1.64035,1.61226,9.12203
0.0505,0.90136,1.23278,8.71560
0.0584,0.21478,0.97961,8.19976
0.0613,-0.48278,0.73314,7.10796
0.0626,-0.90945,0.65723,6.30640
0.0669,-1.18314,0.75401,5.89957
0.0705,-1.43276,1.07404,5.44918
0.0771,-1.13658,1.22521,5.83290
0.0784,-0.79396,1.31768,6.50372
0.0826,-0.59152,1.34795,6.83653
0.0869,-0.61308,1.40202,7.28666
0.0905,-0.87405,1.57046,7.43567
0.0968,-0.95345,1.54071,7.56411
0.0987,-0.84181,1.47746,7.83475
0.1029,-0.61769,1.66612,8.03677
0.1071,-0.12202,2.07863,8.10265
0.1105,0.49485,2.56028,7.94726
0.1177,0.83899,2.90085,7.95421
0.1222,1.14780,3.27926,7.80442
0.1231,1.25761,3.43478,7.66261
0.1267,1.46538,3.49249,7.44946
0.1306,1.62341,3.40330,7.33325
0.1370,1.54816,3.50138,7.11846
0.1456,2.33102,4.01094,7.61039
0.1458,2.04774,3.96779,7.81091
0.1488,1.99917,3.82912,7.48473
0.1508,2.46041,4.36593,7.62613
0.1572,3.48898,4.59160,8.24648
0.1587,3.47721,4.27065,8.46671
0.1624,3.62081,4.00491,8.62633
0.1683,3.45308,3.47599,8.62488
0.1704,2.97792,2.93136,8.46535
0.1782,2.72278,2.60187,8.42365
0.1814,2.95669,2.69959,8.84081
0.1825,3.30164,2.96502,9.84570
0.1868,3.19192,2.89582,10.58188
0.1907,2.68351,2.57049,10.88299
0.1989,2.05622,2.27390,10.87296
0.1991,1.70836,2.21912,10.65170
0.2028,1.57318,2.30986,10.40714
0.2075,1.36670,2.41314,10.08468
0.2107,0.83968,2.44025,9.73837
0.2169,0.13012,2.40839,9.51427
0.2183,-0.48106,2.44077,9.37713
0.2225,-0.88274,2.52855,9.27257
0.2271,-1.30853,2.55611,9.29151
0.2304,-1.92451,2.42045,9.33413
0.2376,-2.38384,2.27101,9.20148
0.2408,-2.25106,2.50736,8.56242
0.2427,-2.08791,2.63066,8.01908
0.2469,-1.87146,2.75781,7.64788
0.2533,-1.61566,2.89897,7.24303
0.2659,-1.50288,2.98305,6.97393
0.2659,-1.38000,3.10052,6.72430
0.2661,-1.31968,3.19165,6.65913
0.2672,-1.17516,3.36094,6.56041
0.2708,-1.06696,3.49238,6.48023
0.2775,-0.90559,3.61780,6.44948
0.2786,-0.67374,3.76108,6.40302
0.2826,-0.45564,3.90334,6.41395
0.2869,-0.20295,4.10617,6.28386
0.2904,0.43551,4.52356,6.27564
0.2978,1.00269,4.81487,6.67340
0.3011,1.24956,4.83407,7.35131
0.3026,1.31447,4.72839,7.99710
0.3071,1.51576,4.66873,8.45256
0.3107,1.77993,4.61803,8.79762
0.3168,2.02677,4.54342,9.06149
0.3184,2.22010,4.39441,9.37659
0.3226,2.28744,4.22738,9.68687
0.3285,2.23953,4.03469,9.97481
0.3306,2.20100,3.90832,10.17143
0.3368,2.05692,3.80990,10.40173
0.3384,1.75949,3.67075,10.73164
0.3426,1.41376,3.50788,10.84709
0.3484,1.08858,3.37270,10.66880
0.3504,0.98769,3.34654,10.27847
0.3575,0.96478,3.17346,9.96738
