time,X_value,Y_value,Z_value
0.0043,-0.35460,-0.09030,0.70770
0.0098,-0.01760,0.06380,0.68070
0.0226,0.22560,0.24840,-0.09970
0.0297,0.05770,0.21220,-0.37850
0.0400,-0.18480,0.07850,0.04820
0.0497,-0.27490,0.11420,0.56140
0.0609,-0.53830,0.08480,1.22510
0.0692,-0.82520,-0.06420,1.73480
0.0800,-1.00850,-0.06710,1.64870
0.0894,-1.20010,0.05090,0.80830
0.1036,-1.31710,0.07970,-0.13120
0.1101,-1.18860,0.08970,-0.92190
0.1266,-0.68760,0.22250,-1.54770
0.1301,-0.17190,0.33790,-1.77080
0.1405,0.02320,0.31900,-1.46250
0.1502,0.12710,0.27580,-1.04630
0.1605,0.11000,0.26190,-0.62700
0.1700,-0.02820,0.19260,-0.23990
0.1815,-0.15480,0.12130,-0.07830
0.1894,-0.31910,0.10780,-0.08270
0.2010,-0.51430,-0.01010,0.03390
0.2106,-0.51730,-0.18050,-0.01420
0.2215,-0.48460,-0.21530,-0.39480
0.2298,-0.21020,-0.00380,-0.74680
0.2409,-0.28370,0.00380,-0.71690
0.2504,-0.42060,-0.10250,-0.68860
0.2600,-0.42270,-0.19510,-0.82920
0.2694,-0.30290,-0.13790,-1.07890
0.2798,-0.37050,-0.07870,-1.23100
0.2894,-0.56620,-0.16330,-1.22790
0.3010,-0.75700,-0.29150,-1.10060
0.3096,-0.81380,-0.36470,-0.88880
0.3200,-0.73980,-0.48190,-0.74920
0.3294,-0.51510,-0.49010,-0.84560
0.3400,-0.38010,-0.47150,-1.00900
0.3494,-0.40720,-0.47700,-1.30640
0.3601,-0.50960,-0.57440,-1.99350
0.3762,-0.57450,-0.62370,-2.50310
0.3799,-0.66610,-0.72860,-2.50420
0.3896,-0.72890,-0.89590,-2.45010
0.3999,-0.69500,-1.00740,-2.45900
0.4101,-0.59870,-0.99650,-2.38270
0.4208,-0.69420,-1.15880,-2.51450
0.4300,-0.61700,-1.12940,-2.76190
0.4405,-0.51380,-1.10750,-2.89320
0.4496,-0.46530,-1.25990,-2.53950
0.4602,-0.42810,-1.45470,-2.32140
0.4695,-0.30090,-1.57690,-2.49240
0.4803,-0.25730,-1.62830,-3.00250
0.4938,-0.26700,-1.57650,-3.37200
0.5001,-0.19550,-1.51860,-3.46460
0.5097,0.00820,-1.42120,-3.41030
0.5201,0.07600,-1.43880,-3.41670
0.5297,0.22450,-1.49130,-3.65140
0.5406,0.33110,-1.40140,-3.26130
0.5501,0.36160,-1.29850,-2.74520
0.5600,0.27420,-1.28160,-2.30860
0.5698,0.07290,-1.39350,-1.96900
0.5798,0.36680,-1.12510,-1.17660
0.5897,0.05620,-1.26460,-1.03740
0.6004,-0.14840,-1.19340,-1.10070
0.6097,-0.01380,-0.68340,-1.14840
0.6204,-0.11590,-0.43780,-0.71200
0.6310,-0.40160,-0.41680,0.11000
0.6407,-0.58670,-0.31550,1.05270
0.6494,-0.79580,-0.14340,2.01810
0.6608,-1.12770,-0.07440,2.68210
0.6695,-1.62260,-0.07280,3.41980
0.6799,-1.85060,0.09710,4.06860
0.6894,-1.92820,0.22810,4.22220
0.6998,-1.96870,0.25680,4.02950
0.7095,-1.82770,0.33970,3.61800
0.7200,-1.50130,0.49010,3.19180
0.7297,-1.23420,0.60550,2.74870
0.7468,-1.04770,0.63160,2.46330
0.7511,-0.82920,0.61050,2.34390
0.7600,-0.71410,0.66930,2.39090
0.7697,-0.69220,0.66920,2.49710
0.7806,-0.70740,0.64740,2.54600
0.7894,-0.66330,0.62350,2.70450
0.7998,-0.64780,0.56540,2.74810
0.8095,-0.67920,0.51270,2.69640
0.8211,-0.66970,0.52470,2.56870
0.8295,-0.70630,0.57380,2.50120
0.8403,-0.73880,0.58240,2.43470
0.8494,-0.70530,0.57650,2.29670
0.8601,-0.61160,0.61950,2.21780
0.8694,-0.48740,0.67440,2.18670
0.8860,-0.44910,0.69260,2.28170
0.8908,-0.41710,0.69320,2.25780
0.9008,-0.35590,0.72390,2.33170
0.9112,-0.40580,0.79630,2.39410
0.9198,-0.47830,0.82920,2.51560
0.9297,-0.64220,0.88130,2.64690
0.9404,-0.84770,0.85200,2.69180
0.9499,-0.97450,0.85070,2.62980
0.9605,-1.00620,0.92200,2.51240
0.9694,-1.04880,0.97920,2.43690
0.9798,-1.13120,0.95340,2.30550
0.9894,-1.10810,0.90260,1.98150
1.0012,-0.93540,0.87430,1.53440
1.0099,-0.71190,0.83060,0.97340
1.0209,-0.44780,0.79020,0.54460
1.0298,-0.22710,0.72050,0.20790
1.0411,-0.05050,0.63830,-0.03810
1.0514,0.15550,0.62630,-0.32400
1.0600,0.29360,0.64540,-0.63020
1.0695,0.31680,0.72610,-0.86920
1.0814,0.22900,0.85990,-0.90480
1.0896,0.03100,0.85050,-1.03130
1.0999,-0.02570,0.93160,-1.11020
1.1115,0.09670,1.05450,-1.23010
1.1225,0.18410,1.16210,-1.31380
1.1300,0.17910,1.16790,-1.26460
1.1407,0.08260,1.15040,-1.07280
1.1504,-0.05630,1.07170,-0.89640
1.1599,-0.17950,0.94940,-0.67500
1.1695,-0.24310,0.90840,-0.45560
1.1799,-0.27920,0.89700,-0.30490
1.1893,-0.30080,0.86330,-0.25010
1.2005,-0.32020,0.87300,-0.29910
1.2096,-0.23900,0.87630,-0.52970
1.2200,-0.13700,0.89130,-0.76420
1.2296,0.05770,0.92000,-0.84710
1.2400,0.20380,0.95500,-0.82940
1.2587,0.28500,0.92740,-0.88730
1.2614,0.28920,0.89170,-1.05690
1.2703,0.28830,0.89780,-1.31660
1.2799,0.31660,0.92820,-1.51330
1.2897,0.33440,0.92990,-1.68080
1.2998,0.35130,0.96380,-1.76190
1.3095,0.27970,1.00240,-1.79720
1.3204,0.10940,1.01700,-1.78750
1.3294,-0.09070,1.00860,-1.73340
1.3399,-0.25190,0.99750,-1.43980
1.3494,-0.32290,0.97390,-1.04370
1.3599,-0.34200,0.90600,-0.66130
1.3745,-0.30890,0.82960,-0.38800
1.3838,-0.24420,0.78100,-0.32940
1.3895,-0.15770,0.72940,-0.42530
1.3999,-0.11120,0.70310,-0.60620
1.4096,-0.06640,0.71310,-0.78480
1.4199,-0.00350,0.77030,-0.86380
1.4297,-0.01980,0.78640,-0.92160
1.4404,-0.08540,0.80910,-0.95720
1.4492,-0.16750,0.84250,-1.10160
1.4598,-0.31630,0.83280,-1.34090
1.4694,-0.43470,0.82200,-1.60870
1.4798,-0.46380,0.81180,-1.82800
1.4907,-0.46350,0.84360,-1.96120
1.5009,-0.45470,0.81890,-1.98830
1.5096,-0.36960,0.75160,-2.05960
1.5202,-0.20080,0.69750,-2.17270
1.5295,0.02360,0.66740,-2.30870
1.5400,0.19890,0.63330,-2.39070
1.5494,0.30860,0.63600,-2.34150
1.5604,0.26720,0.65900,-2.23250
1.5695,0.21110,0.69510,-1.92050
1.5800,0.21730,0.74130,-1.46940
1.5894,0.15780,0.76240,-0.95300
1.6001,0.11060,0.79440,-0.64310
1.6100,0.04390,0.75470,-0.51690
1.6276,-0.00480,0.75240,-0.48690
1.6293,0.05970,0.83610,-0.56500
1.6401,0.04390,0.91720,-0.77810
1.6494,0.04510,0.95490,-1.01730
1.6599,0.05370,0.99990,-1.30350
1.6696,0.06070,1.05490,-1.53080
1.6804,0.11610,1.11210,-1.71060
1.6894,0.20060,1.15330,-1.73610
1.7000,0.25590,1.16900,-1.62710
1.7096,0.33280,1.15910,-1.44240
1.7200,0.32500,1.12170,-1.27870
1.7294,0.90020,1.19200,-1.06600
1.7424,0.50280,1.29270,-0.85410
1.7493,-0.52290,0.75740,-0.68570
1.7629,-1.02100,0.97720,-0.35080
1.7706,-1.21000,1.34960,0.20320
1.7799,-1.66850,1.33370,0.51650
1.7904,-1.96590,1.10480,0.73690
1.8004,-1.55950,1.48580,0.95350
1.8097,-0.99970,1.79910,1.16700
1.8198,-0.46430,1.91880,1.34650
1.8296,0.01510,2.10170,1.46100
1.8403,0.43800,2.32780,1.65820
1.8494,0.52980,2.46860,1.77210
1.8609,0.32120,2.53980,1.73680
1.8697,0.15490,2.66470,1.60030
1.8828,-0.06110,2.77380,1.47840
1.8896,-0.37820,2.76720,1.29690
1.8999,-0.74830,2.68750,1.15110
1.9107,-1.03410,2.57750,1.17550
1.9200,-1.14520,2.46970,1.41670
1.9294,-1.05050,2.28600,1.66800
1.9404,-0.81110,2.10360,1.86200
1.9491,-0.49060,1.84990,1.98170
1.9598,-0.45330,1.54650,2.08460
1.9698,-0.46210,1.27920,2.21190
1.9806,-0.56840,1.02990,2.40180
1.9894,-0.77110,0.84570,2.67290
1.9998,-0.94510,0.70560,2.86230
2.0096,-1.09180,0.57370,2.90600
2.0228,-0.99890,0.50760,2.77600
2.0303,-0.71610,0.46870,2.64810
2.0407,-0.44070,0.39240,2.55890
2.0495,-0.14270,0.27080,2.56230
2.0602,0.14200,0.17030,2.55530
2.0697,0.38840,0.07710,2.50120
2.0801,0.55840,0.00010,2.42000
2.0895,0.62410,-0.05090,2.29210
2.1006,0.56500,-0.09450,2.28340
2.1095,0.35750,-0.13440,2.37620
2.1198,0.18270,-0.19790,2.40280
2.1359,0.12860,-0.19960,2.41430
2.1430,0.16630,-0.20900,2.28350
2.1509,0.14980,-0.22630,2.15780
2.1604,-0.01830,-0.33070,1.96910
2.1694,-0.25120,-0.38430,1.68770
2.1801,-0.38380,-0.34690,1.30340
2.1893,-0.45670,-0.31380,0.84410
2.1998,-0.52880,-0.33050,0.38560
2.2095,-0.66910,-0.41400,0.09290
2.2208,-0.80810,-0.47810,-0.10120
2.2294,-0.91120,-0.55010,-0.20540
2.2399,-0.89660,-0.60300,-0.28930
2.2510,-0.82380,-0.69360,-0.49190
2.2604,-0.70240,-0.80320,-0.73390
2.2706,-0.59040,-0.89290,-0.99550
2.2804,-0.50650,-0.98190,-1.27720
2.2895,-0.44160,-1.06970,-1.58910
2.2999,-0.41580,-1.10590,-1.78500
2.3097,-0.41890,-1.17790,-1.82680
2.3200,-0.48030,-1.23690,-1.85130
2.3297,-0.59150,-1.25480,-1.84770
2.3407,-0.70230,-1.24410,-1.94150
2.3494,-0.76840,-1.22000,-2.11630
2.3599,-0.78770,-1.16720,-2.34910
2.3694,-0.78160,-1.09240,-2.54450
2.3802,-0.79050,-1.11130,-2.67430
2.3905,-0.80680,-1.10540,-2.69040
2.4012,-0.72430,-1.06380,-2.55420
2.4104,-0.68330,-1.01760,-2.22540
2.4205,-0.65780,-1.03530,-1.90990
2.4296,-0.58490,-1.03200,-1.70320
2.4410,-0.51310,-0.98840,-1.52660
2.4502,-0.48220,-0.96790,-1.37700
2.4612,-0.44990,-0.91770,-1.30620
2.4691,-0.39120,-0.87160,-1.18350
2.4798,-0.36980,-0.77860,-1.04950
2.4898,-0.37500,-0.71780,-0.99170
2.5003,-0.38980,-0.68000,-1.00000
2.5095,-0.40630,-0.61560,-1.01570
2.5251,-0.33500,-0.53250,-1.04040
2.5294,-0.30320,-0.50730,-0.87950
2.5398,-0.32030,-0.51050,-0.67030
2.5496,-0.28910,-0.54310,-0.52010
2.5607,-0.20160,-0.52760,-0.38840
2.5697,-0.03830,-0.49400,-0.27480
2.5807,0.08240,-0.46280,-0.17860
2.5894,0.13730,-0.46140,-0.08220
2.6006,0.21200,-0.39390,0.03580
2.6095,0.16150,-0.39690,0.12570
2.6198,0.09380,-0.40180,0.15820
2.6297,-0.01090,-0.39850,0.22140
2.6437,-0.08510,-0.39650,0.23660
2.6496,-0.12980,-0.40600,0.24340
2.6605,-0.07830,-0.40700,0.20250
2.6699,-0.03890,-0.39940,0.14340
2.6798,-0.05040,-0.39270,0.16390
2.6895,-0.02270,-0.40640,0.09690
2.7009,0.02340,-0.39430,-0.00590
2.7096,0.04270,-0.34940,-0.17050
2.7198,-0.03610,-0.30870,-0.40000
2.7295,-0.17130,-0.22910,-0.64890
2.7399,-0.33450,-0.15860,-0.82970
2.7495,-0.45910,-0.09640,-1.00180
2.7604,-0.55720,-0.04370,-1.08540
2.7696,-0.53650,0.02690,-1.10770
2.7807,-0.54660,0.06050,-1.06300
2.7898,-0.63410,0.05930,-0.81650
2.7998,-0.72920,0.05150,-0.59280
2.8095,-0.74550,0.04480,-0.45840
2.8207,-0.65660,0.09620,-0.44060
2.8296,-0.57730,0.13870,-0.47270
2.8399,-0.58870,0.16100,-0.44510
2.8497,-0.62960,0.16420,-0.37870
2.8599,-0.65100,0.21710,-0.31280
2.8694,-0.62270,0.26150,-0.26790
2.8805,-0.62300,0.24820,-0.27310
2.8896,-0.62300,0.26560,-0.27950
2.9000,-0.58370,0.28420,-0.25770
2.9103,-0.56460,0.29430,-0.23690
2.9200,-0.49760,0.30530,-0.25600
2.9296,-0.44120,0.32660,-0.28530
2.9412,-0.45510,0.35870,-0.27600
2.9505,-0.44650,0.35160,-0.30630
2.9599,-0.43010,0.34490,-0.36620
2.9696,-0.23820,0.35790,-0.41610
2.9799,-0.15360,0.36150,-0.44690
2.9897,-0.09580,0.31630,-0.53700
3.0026,-0.03560,0.31040,-0.60800
3.0101,0.02640,0.29510,-0.72870
3.0228,0.06000,0.30010,-0.87960
3.0358,0.04520,0.28700,-0.91420
3.0399,0.02170,0.23660,-0.87230
3.0496,0.04780,0.21760,-0.87160
