time,X_value,Y_value,Z_value
0.0078,-0.20610,3.95760,8.97020
0.0219,-0.23650,3.92720,8.98280
0.0267,-0.26510,3.89840,8.99450
0.0414,-0.28340,3.87240,9.00520
0.0470,-0.28310,3.85400,9.01310
0.0564,-0.25300,3.83530,9.02200
0.0668,-0.20880,3.80940,9.03410
0.0763,-0.16330,3.77740,9.04840
0.0868,-0.11620,3.73940,9.06490
0.0967,-0.06370,3.69490,9.08370
0.1064,-0.00390,3.64330,9.10470
0.1163,0.06410,3.58410,9.12790
0.1263,0.13950,3.51780,9.15280
0.1364,0.21820,3.44760,9.17800
0.1463,0.29330,3.37750,9.20190
0.1573,0.36110,3.30640,9.22530
0.1664,0.40090,3.25700,9.24120
0.1763,0.43010,3.21400,9.25500
0.1863,0.44960,3.18270,9.26480
0.1966,0.46260,3.16260,9.27110
0.2164,0.47160,3.15190,9.27430
0.2175,0.47710,3.15010,9.27460
0.2263,0.47890,3.15610,9.27250
0.2364,0.47650,3.16840,9.26840
0.2463,0.47130,3.18390,9.26330
0.2564,0.46490,3.19970,9.25820
0.2666,0.45820,3.21300,9.25400
0.2773,0.45230,3.22270,9.25090
0.2861,0.45080,3.22580,9.24990
0.2964,0.45390,3.22290,9.25070
0.3067,0.46160,3.21280,9.25390
0.3174,0.47430,3.19600,9.25900
0.3309,0.49200,3.17300,9.26600
0.3368,0.51350,3.14510,9.27440
0.3463,0.53510,3.11400,9.28360
0.3564,0.55490,3.08200,9.29310
0.3664,0.57250,3.05100,9.30230
0.3765,0.58910,3.02170,9.31080
0.3863,0.60710,2.99380,9.31870
0.3975,0.63020,2.96450,9.32650
0.4065,0.64960,2.94150,9.33250
0.4165,0.66950,2.91780,9.33850
0.4263,0.68820,2.89600,9.34390
0.4370,0.70440,2.87600,9.34890
0.4464,0.71830,2.85770,9.35340
0.4569,0.73210,2.84090,9.35750
0.4668,0.74680,2.82600,9.36080
0.4767,0.76340,2.81270,9.36350
0.4864,0.78290,2.80010,9.36570
0.4963,0.80460,2.78770,9.36750
0.5062,0.82620,2.77410,9.36970
0.5173,0.84710,2.75650,9.37300
0.5262,0.86160,2.73910,9.37680
0.5383,0.87970,2.71290,9.38270
0.5463,0.89850,2.68840,9.38800
0.5564,0.92760,2.65810,9.39380
0.5697,0.96440,2.62380,9.39970
0.5772,1.00670,2.58360,9.40640
0.5882,1.05110,2.53490,9.41480
0.5972,1.09260,2.47780,9.42530
0.6079,1.12470,2.41610,9.43750
0.6163,1.14040,2.35560,9.45090
0.6267,1.13870,2.30180,9.46440
0.6372,1.12570,2.25370,9.47750
0.6460,1.12040,2.22120,9.48580
0.6563,1.13850,2.18290,9.49250
0.6664,1.18070,2.13400,9.49850
0.6768,1.23790,2.06800,9.50580
0.6862,1.30090,1.98160,9.51580
0.6971,1.34970,1.88180,9.52920
0.7067,1.28180,1.83750,9.54720
0.7267,1.21180,1.86800,9.55050
0.7296,1.27330,1.95320,9.52540
0.7370,1.36400,2.06040,9.49020
0.7471,1.45490,2.16060,9.45430
0.7577,1.54930,2.24900,9.41860
0.7667,1.62240,2.30310,9.39320
0.7773,1.69870,2.34210,9.37000
0.7867,1.77030,2.36300,9.35150
0.7965,1.83260,2.37020,9.33770
0.8064,1.88660,2.37100,9.32670
0.8197,1.93940,2.37040,9.31610
0.8269,1.99440,2.37270,9.30390
0.8420,2.04490,2.37740,9.29170
0.8478,2.09080,2.38370,9.27980
0.8571,2.13760,2.39520,9.26620
0.8671,2.18060,2.41200,9.25180
0.8780,2.22180,2.43560,9.23580
0.8867,2.24710,2.45720,9.22400
0.8970,2.26600,2.48270,9.21250
0.9067,2.27270,2.51330,9.20260
0.9171,2.26420,2.54960,9.19470
0.9267,2.24870,2.58780,9.18780
0.9376,2.24170,2.62700,9.17840
0.9469,2.24620,2.66600,9.16600
0.9608,2.26690,2.70020,9.15090
0.9670,2.30760,2.72560,9.13320
0.9769,2.34950,2.73930,9.11840
0.9864,2.38660,2.74410,9.10730
0.9973,2.42040,2.75170,9.09610
1.0060,2.43690,2.76200,9.08860
1.0166,2.44140,2.78200,9.08120
1.0262,2.43060,2.81100,9.07520
1.0372,2.41370,2.85200,9.06690
1.0462,2.41140,2.88880,9.05590
1.0567,2.43200,2.92950,9.03730
1.0702,2.47410,2.96310,9.01490
1.0768,2.52980,2.98600,8.99180
1.0982,2.59340,3.00410,8.96760
1.0986,2.66130,3.02360,8.94120
1.1078,2.72380,3.04210,8.91600
1.1177,2.77760,3.05720,8.89420
1.1263,2.81250,3.06530,8.88050
1.1363,2.84470,3.07400,8.86720
1.1464,2.87040,3.08600,8.85470
1.1563,2.88600,3.10290,8.84380
1.1667,2.88860,3.12690,8.83440
1.1768,2.87710,3.15750,8.82730
1.1865,2.85170,3.19200,8.82310
1.1964,2.82010,3.22800,8.82020
1.2094,2.79050,3.26450,8.81620
