time,X_value,Y_value,Z_value
0.0072,-0.34130,0.41462,0.14481
0.0078,-0.33657,0.41630,0.15441
0.0139,-0.32241,0.39190,0.16972
0.0156,-0.30063,0.35133,0.18530
0.0219,-0.27917,0.30149,0.19389
0.0261,-0.25203,0.23595,0.19719
0.0297,-0.22914,0.16542,0.19488
0.0356,-0.20736,0.07919,0.19080
0.0418,-0.20904,-0.07650,0.21049
0.0436,-0.22560,-0.21143,0.24033
0.0463,-0.24695,-0.29585,0.26604
0.0475,-0.26742,-0.33816,0.28704
0.0539,-0.29199,-0.35851,0.30681
0.0553,-0.31741,-0.36261,0.32687
0.0593,-0.34388,-0.35793,0.34264
0.0652,-0.37247,-0.35462,0.35835
0.0673,-0.39692,-0.35599,0.36830
0.0749,-0.42272,-0.36238,0.37647
0.0754,-0.45023,-0.37879,0.38416
0.0795,-0.47651,-0.40190,0.39024
0.0857,-0.50670,-0.43260,0.39649
0.0882,-0.53383,-0.46019,0.40038
0.0942,-0.56620,-0.49340,0.40486
0.0971,-0.60039,-0.53219,0.40933
0.0992,-0.62872,-0.56276,0.41157
0.1051,-0.66364,-0.60264,0.41289
0.1073,-0.69113,-0.63443,0.41263
0.1137,-0.71831,-0.66380,0.41181
0.1153,-0.73895,-0.68471,0.40965
0.1196,-0.75140,-0.69859,0.40893
0.1250,-0.75826,-0.70101,0.41024
0.1272,-0.75749,-0.69078,0.41193
0.1339,-0.74932,-0.66122,0.41584
0.1354,-0.73063,-0.61371,0.42244
0.1392,-0.70333,-0.55184,0.43076
0.1453,-0.66309,-0.46721,0.44408
0.1473,-0.62249,-0.39198,0.45794
0.1546,-0.57278,-0.30782,0.47525
0.1580,-0.51433,-0.22457,0.49573
0.1594,-0.46386,-0.16146,0.51040
0.1653,-0.41370,-0.10800,0.52386
0.1672,-0.36252,-0.06198,0.53400
0.1738,-0.30976,-0.02321,0.53966
0.1752,-0.25937,0.00738,0.54067
0.1792,-0.21361,0.03161,0.53582
0.1853,-0.16568,0.05222,0.52929
0.1873,-0.12640,0.06723,0.52035
