time,X_value,Y_value,Z_value
0.0122,-4.00800,-18.21973,124.44547
0.0194,-3.76138,-18.29960,124.43975
0.0375,-3.40168,-18.60601,124.56680
0.0422,-3.04265,-19.10860,124.83913
0.0488,-2.66107,-19.73530,125.23474
0.0605,-2.24605,-20.44610,125.74459
0.0690,-1.87366,-20.91814,126.09107
0.0796,-1.61996,-21.19323,126.23741
0.0890,-1.56505,-21.24121,126.17532
0.0995,-1.58245,-21.15603,125.99537
0.1090,-1.74964,-21.04878,125.72585
0.1196,-1.99303,-20.94278,125.34337
0.1288,-2.23612,-20.83473,124.91442
0.1457,-2.42926,-20.70608,124.49787
0.1493,-2.61666,-20.54356,124.11753
0.1595,-2.70239,-20.32389,123.80222
0.1691,-2.68471,-20.04619,123.57837
0.1811,-2.60094,-19.73495,123.45052
0.1888,-2.61032,-19.52852,123.43265
0.1995,-2.54982,-19.38910,123.56618
0.2094,-2.33586,-19.37832,123.82938
0.2193,-2.12139,-19.49734,124.14114
0.2290,-1.97037,-19.71862,124.42558
0.2398,-1.86484,-20.03442,124.61445
0.2532,-1.78700,-20.30984,124.59302
0.2660,-1.79552,-20.57982,124.34521
0.2692,-1.95124,-20.75915,123.91613
0.2795,-2.24319,-20.80129,123.34361
0.2888,-2.62559,-20.67346,122.67733
0.3003,-3.10893,-20.33530,121.90070
0.3091,-3.58165,-19.93751,121.30734
0.3193,-4.11606,-19.44065,120.76590
0.3293,-4.59533,-18.97331,120.37357
0.3393,-4.99624,-18.60190,120.14803
0.3491,-5.33964,-18.36781,120.06735
0.3600,-5.59005,-18.25769,120.06825
0.3688,-5.76879,-18.21187,120.08213
0.3796,-5.88650,-18.13027,120.01875
0.3891,-6.05651,-18.03917,119.85291
0.4059,-6.19390,-17.99304,119.59010
0.4097,-6.28935,-18.00728,119.22711
0.4212,-6.33644,-18.09842,118.68107
0.4297,-6.40012,-18.23715,118.12119
0.4397,-6.56180,-18.45306,117.35117
0.4489,-6.82207,-18.69766,116.42971
0.4606,-7.14593,-18.95915,115.26762
0.4688,-7.38865,-19.15499,114.23544
0.4798,-7.62697,-19.35434,113.02329
0.4888,-7.84284,-19.53759,111.77489
0.5006,-8.11251,-19.72167,110.40351
0.5094,-8.37379,-19.86347,109.30836
0.5194,-8.64489,-20.01430,108.13221
0.5294,-8.84189,-20.16329,106.99036
0.5408,-9.02323,-20.32455,105.71825
0.5496,-9.15002,-20.44810,104.61385
0.5596,-9.27918,-20.56562,103.25095
0.5688,-9.43028,-20.66142,101.73280
0.5795,-9.60024,-20.73567,100.08485
0.5888,-9.70878,-20.79467,98.37603
0.5998,-9.78746,-20.86136,96.49926
0.6088,-9.86258,-20.93121,95.01244
0.6195,-9.94460,-21.05374,93.41370
0.6302,-10.00103,-21.25070,91.84389
0.6394,-10.00589,-21.53744,90.30650
0.6538,-9.98191,-21.92837,88.82341
0.6606,-9.93757,-22.48264,87.25905
0.6689,-9.86595,-23.04102,86.02917
0.6795,-9.76559,-23.79230,84.70784
0.6892,-9.69102,-24.66550,83.40044
0.6994,-9.57143,-25.66881,82.07380
0.7091,-9.08597,-26.72771,80.68152
0.7201,-8.15003,-27.81759,79.16587
0.7298,-6.70067,-28.96812,77.50916
0.7398,-4.89204,-30.21826,75.71346
0.7490,-2.79956,-31.59405,73.82647
0.7593,-0.29942,-33.12418,71.98233
0.7732,0.95142,-34.73085,70.17986
0.7812,0.50931,-36.01255,68.01090
0.7891,-0.06307,-36.62633,66.47972
0.8002,-0.45076,-37.08382,65.33981
0.8089,-0.56876,-37.49368,64.68445
0.8194,-0.38973,-37.83313,64.52272
0.8292,0.03464,-38.12190,75.69341
0.8397,0.68372,-38.42495,76.08650
0.8491,1.54734,-38.78121,76.47822
0.8594,2.72651,-39.19933,76.81200
0.8692,4.18687,-39.63469,77.14813
0.8795,5.68131,-40.02398,77.34660
0.8891,7.10245,-40.37874,77.42269
0.9012,8.62774,-40.82685,77.44427
0.9095,9.81906,-41.31364,77.52079
0.9193,11.12768,-42.04048,77.71593
0.9294,12.52399,-42.97248,78.07983
0.9392,14.06451,-44.09312,78.71902
0.9494,15.73860,-45.34201,79.54247
0.9605,17.67883,-46.79258,80.51485
0.9691,19.32007,-48.02871,81.37455
0.9796,21.22276,-49.42191,82.52268
0.9889,23.16405,-50.78250,83.96742
0.9995,25.24548,-52.13256,85.87475
1.0093,27.43714,-53.49848,88.20049
1.0281,29.98137,-54.95572,91.19265
1.0295,32.19645,-56.07316,93.93985
1.0416,34.82526,-57.21390,97.20419
1.0493,37.68731,-58.26144,100.59756
1.0604,40.79454,-59.20517,104.04877
1.0694,44.13662,-60.00274,107.54763
1.0802,47.68946,-60.60464,111.09561
1.0889,51.41018,-60.97644,114.63530
1.0996,55.17500,-61.09274,118.06702
1.1089,58.81231,-60.98375,121.24786
1.1195,62.19108,-60.71401,124.04760
1.1290,65.16566,-60.35862,126.31345
1.1407,67.70288,-59.95973,127.98757
1.1489,69.35990,-59.60944,128.95427
1.1611,70.89551,-59.19867,129.78204
1.1694,72.20159,-58.76719,130.35095
1.1796,73.26699,-58.35104,130.60907
1.1893,74.14655,-57.97620,130.65399
1.2000,74.90417,-57.63902,130.59071
