time,X_value,Y_value,Z_value
0.0043,0.86701,4.38517,9.54834
0.0046,1.00146,4.46795,9.48830
0.0073,1.16254,4.58600,9.23054
0.0108,1.26906,4.67446,8.90224
0.0177,1.33003,4.74981,8.55766
0.0189,1.30046,4.79533,8.31647
0.0229,1.20705,4.77167,8.24948
0.0274,1.06637,4.71343,8.31522
0.0312,0.95881,4.67454,8.47665
0.0374,0.85532,4.64694,8.67821
0.0390,0.79188,4.66609,8.91207
0.0429,0.74700,4.69846,9.09899
0.0487,0.66786,4.71881,9.29877
0.0508,0.57608,4.73375,9.54408
0.0582,0.42728,4.72517,9.83029
0.0615,0.28932,4.68860,10.07669
0.0630,0.15065,4.63675,10.25265
0.0670,0.06914,4.62178,10.34524
0.0709,-0.02495,4.63511,10.34814
0.0772,-0.12125,4.67927,10.19094
0.0788,-0.20028,4.76155,9.85803
0.0829,-0.27570,4.83519,9.49501
0.0873,-0.36620,4.89755,9.12329
0.0907,-0.42261,4.95457,8.70713
0.0976,-0.44616,4.99176,8.32833
0.0993,-0.43747,5.00949,7.94786
0.1042,-0.36257,5.05677,7.63030
0.1077,-0.22017,5.10901,7.34452
0.1109,0.01579,5.20726,7.05407
0.1265,0.22541,5.30039,6.80572
0.1266,0.49224,5.39732,6.59034
0.1267,0.66985,5.45579,6.54584
0.1288,0.78717,5.49208,6.60492
0.1311,0.88166,5.51321,6.73526
0.1384,0.94776,5.49401,6.83712
0.1391,1.01026,5.48268,7.01423
0.1430,1.02887,5.47553,7.15315
0.1476,1.04063,5.47443,7.31588
0.1510,1.03557,5.47449,7.49597
0.1576,1.00878,5.47339,7.64494
0.1588,0.94458,5.44328,7.83584
0.1632,0.89647,5.42210,7.94722
0.1679,0.82665,5.39587,8.08255
0.1710,0.74588,5.35394,8.17929
0.1783,0.69240,5.35473,8.19293
0.1820,0.62727,5.35670,8.17178
0.1830,0.52725,5.36805,8.17499
0.1878,0.46196,5.35130,8.19017
0.1910,0.36833,5.31339,8.23406
0.1974,0.26063,5.25437,8.28684
0.2006,0.17664,5.20478,8.31201
0.2036,0.18714,5.14178,8.25750
0.2099,0.18953,4.98851,8.23353
0.2109,0.17473,4.96697,8.08278
0.2193,0.19739,5.09699,7.83388
0.2195,0.31894,5.21423,7.62534
0.2229,0.40285,5.30571,7.50678
0.2292,0.40776,5.35830,7.45124
0.2308,0.36330,5.36749,7.44790
0.2402,0.28173,5.36885,7.49027
0.2405,0.19262,5.34624,7.51061
0.2449,0.13520,5.30182,7.50850
0.2489,0.06016,5.23188,7.51481
0.2509,0.02099,5.19177,7.47866
0.2581,0.05666,5.19437,7.37023
0.2587,0.12244,5.22460,7.26059
0.2627,0.13352,5.24510,7.17569
0.2675,0.12370,5.28807,7.06764
0.2708,0.09513,5.33780,6.97875
0.2771,0.03434,5.34327,6.95186
0.2787,-0.06162,5.32338,6.96219
0.2828,-0.14941,5.28837,6.96390
0.2873,-0.24901,5.23382,6.96687
0.2907,-0.35165,5.17617,7.00522
