time,X_value,Y_value,Z_value
0.0076,-0.58820,0.45530,-1.08560
0.0173,-0.86170,0.23080,-0.95110
0.0265,-0.77430,0.16150,-0.75690
0.0414,-0.40300,0.28550,-0.72840
0.0470,-0.74650,0.64710,-1.01080
0.0563,-0.55100,0.76400,-0.51960
0.0667,-0.22250,0.83890,-0.36500
0.0762,-0.15040,0.83170,-0.46760
0.0863,-0.22690,0.73230,-0.63120
0.0965,-0.35790,0.68860,-0.69900
0.1063,-0.42750,0.69110,-0.84750
0.1162,-0.41710,0.79930,-0.84130
0.1262,-0.41410,0.94410,-0.65050
0.1363,-0.36530,1.01430,-0.17550
0.1461,-0.42070,1.01580,0.43790
0.1572,-0.46900,0.92020,0.84600
0.1662,-0.38120,0.78330,0.97720
0.1762,-0.22420,0.70860,1.02230
0.1862,-0.07700,0.66140,0.94380
0.1964,-0.02130,0.60310,0.81980
0.2164,-0.03030,0.52550,0.75780
0.2172,-0.09470,0.44890,0.72810
0.2263,-0.18470,0.30550,0.54390
0.2363,-0.17250,0.19520,0.31260
0.2463,-0.03980,0.13060,0.12150
0.2563,0.08410,0.08550,-0.04000
0.2665,0.13010,0.02310,-0.16320
0.2772,0.12620,-0.04540,-0.27780
0.2858,0.10810,-0.11710,-0.36500
0.2963,0.10500,-0.16320,-0.43460
0.3065,0.07770,-0.20220,-0.48670
0.3173,0.04530,-0.20490,-0.51150
0.3308,-0.00170,-0.19170,-0.49890
0.3367,-0.00350,-0.15410,-0.29150
0.3462,0.06300,-0.13280,-0.12420
0.3563,0.12170,-0.18910,0.04270
0.3663,0.09420,-0.32470,0.13160
0.3764,0.16590,-0.39350,0.04460
0.3861,0.17730,-0.42450,0.01720
0.3974,0.15420,-0.35590,0.07800
0.4064,0.08580,-0.23480,0.16030
0.4164,-0.03210,-0.12290,0.12480
0.4262,-0.11940,-0.06190,0.17820
0.4366,-0.10620,-0.01250,0.06540
0.4463,-0.02200,0.05480,0.04120
0.4569,0.01310,0.07160,0.00780
0.4667,-0.07010,0.07670,-0.04450
0.4765,-0.16520,0.06060,-0.21390
0.4863,-0.18470,0.05350,-0.26510
0.4962,-0.15740,0.07570,-0.31600
0.5062,-0.07100,0.08940,-0.37700
0.5172,-0.10180,0.09710,-0.45880
0.5261,-0.09670,0.11450,-0.50180
0.5382,-0.12460,0.16030,-0.47830
0.5462,-0.25130,0.20450,-0.57180
0.5563,-0.42740,0.21510,-0.67570
0.5697,-0.60160,0.22980,-0.83850
0.5772,-0.56540,0.27010,-0.91390
0.5882,-0.13910,0.31880,-0.71630
0.5972,0.74110,0.23860,-0.19720
0.6079,1.35630,-0.00370,0.53580
0.6162,1.54650,-0.23740,1.05190
0.6267,1.27360,-0.45810,1.06790
0.6371,0.25700,-0.56700,0.22120
0.6458,-0.74770,-0.35790,-0.90500
0.6562,-1.07970,-0.02550,-1.44130
0.6663,-1.05320,0.30770,-1.64330
0.6766,-0.81620,0.51110,-1.78800
0.6860,1.12120,1.21530,-0.12100
0.6969,9.69250,3.06060,8.12260
0.7065,1.32660,0.34930,3.90740
