time,X_value,Y_value,Z_value
0.0126,-1.37580,6.04340,7.59960
0.0280,-1.36040,5.93520,7.68710
0.0303,-1.33230,5.84500,7.76080
0.0416,-1.28150,5.76860,7.82620
0.0495,-1.22650,5.72320,7.86830
0.0599,-1.16030,5.68770,7.90400
0.0698,-1.09510,5.66280,7.93110
0.0801,-1.03530,5.64750,7.95000
0.0897,-0.98480,5.64030,7.96150
0.1004,-0.94100,5.63680,7.96930
0.1097,-0.91330,5.63460,7.97410
0.1208,-0.88590,5.63340,7.97800
0.1297,-0.85670,5.63670,7.97890
0.1402,-0.81530,5.65140,7.97280
0.1496,-0.75580,5.68480,7.95490
0.1645,-0.67210,5.74430,7.91960
0.1700,-0.59500,5.80870,7.87870
0.1804,-0.51810,5.89260,7.82160
0.1907,-0.45620,5.97920,7.75950
0.2020,-0.41270,6.06590,7.69440
0.2108,-0.38410,6.14690,7.63130
0.2215,-0.36260,6.22580,7.56820
0.2301,-0.35050,6.28340,7.52100
0.2404,-0.34550,6.34080,7.47290
0.2497,-0.35120,6.39230,7.42860
0.2599,-0.36900,6.43280,7.39270
0.2698,-0.39210,6.45910,7.36850
0.2815,-0.41920,6.47450,7.35350
0.2915,-0.44360,6.47920,7.34790
0.3001,-0.46130,6.47630,7.34940
0.3097,-0.47760,6.46990,7.35400
0.3201,-0.49810,6.46400,7.35780
0.3298,-0.52950,6.46420,7.35540
0.3408,-0.57070,6.47550,7.34240
0.3503,-0.59970,6.49390,7.32390
0.3610,-0.61860,6.52050,7.29860
0.3698,-0.63190,6.54830,7.27250
0.3799,-0.65470,6.57240,7.24880
0.3923,-0.68600,6.58830,7.23130
0.4016,-0.72960,6.59430,7.22170
0.4160,-0.76520,6.59210,7.21990
0.4203,-0.79980,6.58450,7.22320
0.4300,-0.82440,6.57290,7.23100
0.4399,-0.84100,6.55720,7.24330
0.4496,-0.84650,6.53420,7.26340
0.4607,-0.83570,6.50040,7.29490
0.4696,-0.82060,6.47110,7.32250
0.4802,-0.80340,6.44420,7.34820
0.4896,-0.78070,6.42440,7.36790
0.5001,-0.73950,6.41110,7.38380
0.5101,-0.68340,6.40500,7.39440
0.5210,-0.61320,6.40390,7.40160
0.5341,-0.54700,6.40710,7.40400
0.5407,-0.45240,6.41500,7.40350
0.5498,-0.33870,6.41940,7.40570
0.5608,-0.22150,6.40990,7.41840
0.5698,-0.11770,6.38420,7.44300
0.5805,-0.01820,6.34140,7.48040
0.5903,0.06030,6.29440,7.51970
0.6002,0.14930,6.23360,7.56890
0.6097,0.24010,6.17570,7.61390
0.6200,0.33050,6.12840,7.64870
0.6306,0.41340,6.09270,7.67320
0.6452,0.49150,6.06440,7.69090
0.6497,0.54650,6.04770,7.70040
0.6601,0.60190,6.03270,7.70800
0.6726,0.65160,6.01760,7.71580
0.6831,0.69450,5.99720,7.72790
0.6898,0.73390,5.96910,7.74600
0.7008,0.78360,5.93270,7.76900
0.7099,0.83190,5.90420,7.78570
0.7204,0.88640,5.88020,7.79790
0.7299,0.92550,5.86400,7.80550
0.7418,0.93380,5.84670,7.81750
0.7503,0.92370,5.82510,7.83480
0.7613,0.91220,5.80020,7.85460
0.7700,0.90040,5.77640,7.87340
0.7895,0.86980,5.74500,7.89980
0.7908,0.83600,5.72280,7.91960
0.8026,0.80230,5.70500,7.93590
0.8097,0.78330,5.69540,7.94470
0.8204,0.77580,5.69580,7.94510
0.8298,0.77330,5.70310,7.94020
0.8402,0.76700,5.71340,7.93330
0.8499,0.75010,5.72520,7.92640
0.8602,0.73140,5.73990,7.91760
0.8699,0.71830,5.75830,7.90540
0.8811,0.70790,5.78270,7.88850
0.8899,0.69190,5.80510,7.87350
0.9006,0.65280,5.83510,7.85460
0.9100,0.59420,5.87230,7.83150
0.9256,0.52360,5.92260,7.79850
0.9325,0.45090,5.98990,7.75150
0.9407,0.37250,6.07990,7.68540
0.9502,0.30490,6.17050,7.61590
0.9601,0.21230,6.29710,7.51470
0.9698,0.09730,6.44650,7.38930
0.9801,-0.01960,6.61770,7.23710
0.9898,-0.12280,6.80700,7.05830
1.0015,-0.20800,7.02800,6.83620
1.0098,-0.24230,7.21290,6.63970
1.0238,-0.23290,7.41240,6.41650
1.0298,-0.18460,7.59760,6.19770
1.0420,-0.10890,7.76430,5.98940
1.0499,-0.01440,7.91220,5.79370
1.0605,0.10640,8.05090,5.59830
1.0698,0.22380,8.14560,5.45600
1.0802,0.36450,8.23440,5.31330
1.0898,0.50100,8.30780,5.18640
1.1001,0.62680,8.37080,5.07010
1.1099,0.73070,8.43100,4.95520
1.1212,0.79940,8.50270,4.82010
1.1295,0.80750,8.56740,4.70280
1.1401,0.76560,8.64960,4.55720
1.1498,0.66830,8.73780,4.40150
1.1613,0.51190,8.82830,4.23880
1.1702,0.29110,8.91540,4.07430
1.1805,-0.00800,8.99610,3.90380
1.1916,-0.28720,9.04670,3.77400
1.2005,-0.62630,9.08410,3.64090
1.2100,-0.99750,9.09830,3.52070
1.2204,-1.40470,9.08630,3.41110
1.2298,-1.85020,9.04470,3.30740
1.2420,-2.38590,8.95900,3.19580
1.2499,-2.86260,8.85040,3.10550
1.2601,-3.42630,8.68450,3.00160
1.2698,-4.00320,8.47170,2.89380
1.2812,-4.63070,8.18670,2.77550
1.2982,-5.12890,7.91680,2.68090
1.3024,-5.71200,7.54540,2.57100
1.3105,-6.15830,7.21420,2.48990
1.3204,-6.61270,6.82680,2.41580
1.3300,-7.02300,6.42050,2.37150
1.3420,-7.39420,5.99000,2.36940
1.3499,-7.73400,5.52750,2.40870
1.3615,-8.06460,4.98830,2.49960
1.3700,-8.28650,4.54380,2.61860
1.3805,-8.47270,4.06670,2.80060
1.3901,-8.60460,3.60850,3.01810
1.4003,-8.69830,3.16440,3.23950
1.4156,-8.76630,2.72810,3.44650
1.4219,-8.81320,2.25200,3.66400
1.4302,-8.82220,1.87330,3.85080
1.4401,-8.80100,1.47940,4.06480
1.4498,-8.75320,1.11910,4.27760
1.4616,-8.68850,0.80510,4.47560
1.4701,-8.61960,0.54110,4.64520
1.4812,-8.55340,0.31650,4.78620
1.4902,-8.51400,0.19050,4.86260
1.5002,-8.48160,0.12260,4.92100
1.5104,-8.44910,0.11280,4.97690
1.5201,-8.41130,0.15560,5.03930
1.5302,-8.36250,0.24940,5.11620
1.5407,-8.29430,0.40170,5.21660
1.5500,-8.22780,0.56250,5.30630
1.5606,-8.14950,0.77690,5.39910
1.5698,-8.07680,1.02250,5.46700
1.5804,-8.01840,1.29960,5.49410
1.5899,-7.98150,1.61040,5.46550
1.6011,-7.95990,1.99560,5.36900
1.6110,-7.94830,2.34790,5.24230
1.6203,-7.92750,2.77640,5.06110
1.6303,-7.87840,3.22820,4.86600
1.6404,-7.78350,3.69490,4.68330
1.6518,-7.63500,4.17400,4.52260
1.6723,-7.40770,4.71850,4.36230
1.6740,-7.17070,5.18060,4.23230
1.6822,-6.85730,5.70340,4.07630
