time,X_value,Y_value,Z_value
0.0094,-1.51699,0.08587,0.33748
0.0095,-1.43300,0.06325,0.37746
0.0127,-1.34905,0.03236,0.41710
0.0174,-1.24784,-0.00941,0.46581
0.0279,-1.14270,-0.05508,0.52487
0.0281,-1.04770,-0.09861,0.59071
0.0300,-0.94600,-0.14397,0.67544
0.0309,-0.86200,-0.16982,0.74576
0.0387,-0.77372,-0.18003,0.81900
0.0421,-0.68490,-0.17139,0.89096
0.0432,-0.62137,-0.15647,0.93789
0.0473,-0.56421,-0.13875,0.96997
0.0509,-0.51091,-0.12373,0.98918
0.0574,-0.45593,-0.10763,0.99885
0.0589,-0.40242,-0.08777,1.00091
0.0629,-0.35209,-0.06063,0.99904
0.0688,-0.30011,-0.02330,0.99644
0.0708,-0.25599,0.02044,0.99847
0.0773,-0.21769,0.08301,1.01058
0.0789,-0.18947,0.14966,1.02864
0.0828,-0.17417,0.21742,1.05142
0.0892,-0.16579,0.29035,1.07994
0.0909,-0.16317,0.35514,1.10500
0.0981,-0.16069,0.40860,1.12478
0.1009,-0.15401,0.44967,1.14078
0.1028,-0.14942,0.46668,1.14932
0.1088,-0.13724,0.47171,1.15244
0.1108,-0.11886,0.46911,1.15399
0.1176,-0.08353,0.44904,1.15412
0.1188,-0.03183,0.40600,1.15684
0.1234,0.02210,0.34769,1.16221
0.1288,0.10975,0.26217,1.17311
0.1308,0.19570,0.18295,1.18288
0.1401,0.30283,0.10135,1.19159
0.1401,0.40973,0.02101,1.20065
0.1431,0.51311,-0.04789,1.20962
0.1488,0.62860,-0.11933,1.21843
0.1508,0.71969,-0.16701,1.22194
0.1643,0.80891,-0.19090,1.22075
0.1645,0.89600,-0.17441,1.21171
0.1646,0.96194,-0.12657,1.19520
0.1692,1.00531,-0.05842,1.18155
0.1727,1.02564,0.01475,1.18401
0.1794,1.03889,0.10276,1.17763
0.1798,1.05352,0.18837,1.15260
0.1830,1.06153,0.25916,1.12123
0.1899,1.05491,0.32788,1.07814
0.1911,1.03901,0.37457,1.03950
