time,X_value,Y_value,Z_value
0.0126,-2.39970,-0.94390,3.35430
0.0280,-2.69940,-0.84550,3.84540
0.0302,-3.08060,-0.99070,3.86000
0.0415,-3.03330,-1.03200,3.74550
0.0493,-2.46070,-0.93750,3.54660
0.0598,-1.87960,-0.65690,3.29510
0.0696,-1.60160,-0.48490,3.23860
0.0799,-1.72030,-0.55780,3.02350
0.0895,-1.93740,-0.59970,2.71780
0.1003,-1.86360,-0.49810,2.62180
0.1095,-1.65600,-0.38800,2.71500
0.1208,-1.70300,-0.41620,3.33870
0.1295,-1.71250,-0.72360,3.69090
0.1402,-1.58720,-1.08150,3.77540
0.1494,-1.20540,-1.28160,3.30300
0.1644,-0.74000,-1.41950,2.75970
0.1698,-0.22860,-1.34660,2.42800
0.1801,-0.54090,-2.10730,1.75940
0.1902,0.02470,-1.56620,1.59600
0.2015,0.43230,-1.04490,1.30800
0.2105,0.69790,-0.79250,1.18480
0.2214,0.81370,-0.86160,1.41460
0.2300,0.11510,-2.01750,1.67750
0.2404,-0.37030,-3.10460,1.11760
0.2495,-0.72740,-3.64640,0.40680
0.2599,-0.69980,-3.43190,-0.20440
0.2695,-0.47080,-2.89930,-0.31750
0.2815,-0.32600,-2.12040,0.14850
0.2910,-0.06620,-1.44840,0.58550
0.3000,0.30440,-1.27870,0.93710
0.3095,0.67370,-1.10560,2.07990
0.3200,0.80210,-1.17820,2.75270
0.3295,0.64720,-1.69820,2.41190
0.3408,0.60010,-2.13120,1.28730
0.3502,0.68790,-2.21820,0.29580
0.3610,0.71670,-1.82310,0.34070
0.3697,0.62210,-1.54690,0.71980
0.3799,0.03690,-1.98280,0.85140
0.3921,-0.37300,-2.26360,0.84920
0.4012,-0.32940,-2.12240,1.08450
0.4160,-0.27420,-2.25760,0.77240
0.4201,0.29960,-2.08320,0.47490
0.4300,0.07910,-2.38540,0.04550
0.4399,-0.78680,-2.70310,-0.19230
0.4495,-1.31090,-2.78800,-0.02610
0.4606,-0.98820,-2.30320,0.43270
0.4694,-0.34620,-1.73450,0.54230
0.4801,-0.04960,-1.52130,0.19310
0.4894,-0.03320,-1.40340,-0.10120
0.5001,-0.30970,-1.37040,0.06920
0.5100,-1.17000,-1.71750,0.50960
0.5210,-1.12250,-1.49070,0.16900
0.5341,-1.26720,-1.51360,-0.69620
0.5406,-2.46990,-2.60020,-1.46070
0.5497,-2.48550,-2.18300,-1.44330
0.5608,-2.15160,-1.67330,-1.28930
0.5698,-1.91220,-1.53970,-1.36280
0.5805,-1.68810,-1.60470,-1.67480
0.5899,-1.33510,-1.26360,-0.81190
0.6001,-0.90440,-0.96740,0.43320
0.6095,-0.61280,-0.84090,1.12370
0.6199,-0.40900,-0.85240,1.28510
0.6306,-0.43300,-0.77740,1.06440
0.6452,-0.56010,-0.73940,0.50740
0.6495,-0.91920,-0.71280,-0.11990
0.6600,-1.24910,-0.69780,-0.64720
0.6725,-1.66170,-0.81020,-1.40030
0.6831,-1.55750,-0.57410,-1.50070
0.6896,-1.09670,0.03240,-1.32260
0.7006,-0.38160,0.82400,-0.45330
0.7099,0.51160,1.45070,0.35370
0.7203,1.40830,1.76890,0.41020
0.7297,-0.60190,-0.28400,-0.26420
0.7417,-1.59080,-0.30590,-0.75670
0.7503,-2.14950,0.03920,-0.88190
0.7610,-2.50090,-0.07310,-0.53880
0.7700,-2.51850,-0.11800,0.03060
0.7895,-2.07610,0.07030,0.36710
0.7908,-1.93440,-0.00550,0.32770
0.8024,-1.80260,0.03180,0.19370
0.8095,-1.42070,0.54150,0.08690
0.8203,-1.26610,0.94320,-0.06050
0.8297,-1.55780,1.28900,0.19930
0.8401,-2.25760,1.64150,0.67680
0.8496,-3.19200,1.81600,1.01710
0.8601,-3.47720,2.25250,1.28100
0.8699,-3.53280,2.85180,1.75410
0.8810,-3.16930,3.44530,2.32990
0.8898,-2.73170,3.69750,3.28640
0.9005,-2.32980,3.55960,4.13890
0.9099,-1.74160,3.28700,5.15240
0.9255,-1.60230,2.34430,5.64630
0.9320,-0.29400,2.30640,6.12480
0.9404,3.08920,3.87380,7.15200
0.9500,4.98080,3.74390,8.39830
0.9601,4.10260,1.02840,8.68580
0.9696,4.65880,0.73180,8.54640
0.9799,3.92270,-0.38060,8.45350
0.9896,3.81010,-1.24660,7.90660
1.0015,4.14040,-2.33060,6.55960
1.0096,5.35150,-3.13330,5.20670
1.0237,7.31330,-3.77410,4.13540
1.0298,9.46170,-4.26330,3.47160
1.0420,10.53340,-4.85170,3.00320
1.0496,10.30160,-5.98030,1.81620
1.0604,11.40650,-5.12850,1.34470
1.0696,12.41690,-4.52690,0.93780
1.0800,12.24680,-5.24330,0.84510
1.0896,11.55120,-5.94440,0.92310
1.0999,12.23940,-5.18360,1.59830
1.1098,12.92980,-4.81230,2.39970
1.1212,11.74320,-6.44340,2.87800
1.1295,11.20550,-6.89050,3.30910
1.1399,9.40380,-7.96310,3.11150
1.1495,10.17770,-7.49240,2.80630
1.1613,10.13800,-7.17100,1.99810
1.1700,7.61300,-9.10170,1.28990
1.1804,6.75500,-9.40800,1.14650
1.1916,6.03390,-9.99800,1.26650
1.2003,6.39270,-10.37860,1.71340
1.2098,6.42060,-11.12830,2.42210
1.2204,6.55320,-11.93020,3.12010
1.2297,6.75350,-12.72220,3.59630
1.2420,6.52430,-13.84270,4.04140
1.2498,5.42220,-14.97960,4.44550
1.2600,3.58320,-15.93160,4.64750
1.2695,1.77710,-16.46410,4.50030
1.2810,0.84530,-16.59100,4.69710
1.2982,-0.13720,-16.62510,4.92900
1.3023,-1.22120,-16.44980,5.35270
1.3105,-1.93210,-16.41280,5.28670
1.3203,-1.74250,-16.21180,4.56640
1.3299,-1.18510,-15.74660,4.01250
1.3420,-1.17670,-15.12000,3.74980
1.3499,-3.05330,-15.24590,2.98490
1.3615,-5.97840,-15.09900,1.63870
1.3698,-8.11020,-14.50740,0.10750
1.3803,-8.61030,-12.71620,-0.90790
1.3898,-8.66480,-11.38510,-0.80180
1.4003,-8.73780,-10.71550,0.12400
1.4156,-9.38570,-9.88690,0.37800
1.4219,-11.25110,-9.09710,-0.46700
1.4300,-13.46820,-8.02210,-1.20300
1.4401,-15.46060,-7.06920,-1.46610
1.4497,-17.50890,-5.98320,-0.38440
1.4614,-18.56410,-4.51200,1.15330
1.4699,-21.13360,-4.87570,1.39560
1.4810,-22.81790,-4.11160,0.96040
1.4896,-24.70100,-4.35830,-0.38090
1.5000,-24.13520,-2.85870,-1.33180
1.5102,-24.04020,-2.67240,-1.76030
1.5199,-23.06790,-2.51900,-2.24440
1.5300,-21.95960,-2.47550,-2.59590
1.5405,-20.55680,-2.56900,-2.81390
1.5500,-19.16210,-2.87690,-2.30540
1.5605,-17.45550,-3.35600,-1.11360
1.5698,-16.00820,-3.90570,0.72090
1.5802,-14.98790,-4.44750,2.67470
1.5897,-14.48550,-4.94460,4.35080
1.6010,-14.16380,-5.53580,4.87880
1.6108,-13.75380,-6.04500,4.43680
1.6201,-12.88210,-6.69910,4.02950
1.6301,-12.09760,-7.50390,3.95000
1.6402,-11.68260,-8.40210,4.74080
1.6518,-11.35060,-9.32250,6.27450
1.6722,-10.35200,-10.35740,7.61150
1.6740,-8.29430,-11.30970,8.29070
1.6821,-5.93040,-12.16600,8.55450
1.6898,-4.53960,-12.82800,8.67100
1.7003,-3.45360,-13.27590,8.92650
1.7100,-2.55680,-13.56500,8.85390
1.7212,-1.84170,-13.72460,8.21410
1.7304,-1.21800,-13.60950,6.75630
1.7399,-1.01000,-13.74440,5.03420
1.7495,-0.59540,-13.83300,3.57990
1.7599,0.11720,-13.91860,2.82520
1.7695,0.79750,-13.84160,2.56030
1.7843,0.64790,-13.71590,2.64160
1.7897,0.24580,-13.48210,3.26070
1.7999,0.05750,-13.33620,4.15490
1.8095,0.32550,-13.20040,5.23390
1.8199,0.24120,-13.03870,5.84250
1.8300,-0.27870,-13.00190,6.11810
1.8433,-0.61950,-12.84980,5.97070
1.8496,-0.30290,-12.72350,5.75440
1.8599,-0.05470,-12.59450,5.56380
1.8697,0.40450,-12.34540,5.63530
1.8800,1.02950,-11.89200,5.73630
1.8896,1.53040,-11.26930,5.59580
1.9015,1.28040,-10.76010,4.96770
1.9101,0.80720,-10.29280,4.08050
1.9268,-0.03500,-9.95410,3.29300
1.9313,-1.09340,-9.76860,2.62310
1.9401,-1.75770,-9.54750,2.28850
1.9502,-1.78920,-9.22860,2.32070
1.9611,-1.14020,-8.85060,2.52860
1.9696,-0.21850,-8.47910,2.84620
1.9802,0.48480,-8.00160,2.83400
1.9896,1.10040,-7.52040,2.77550
2.0003,0.81940,-7.37470,2.17880
2.0099,0.38430,-6.99350,1.52280
2.0205,-0.13900,-6.76460,1.32520
2.0318,-0.25840,-6.49810,1.55010
2.0399,0.24990,-6.22410,2.24970
2.0579,1.38040,-5.98570,3.24890
2.0600,2.96470,-5.79490,4.19280
2.0702,4.58920,-5.57970,5.14180
2.0816,6.15160,-5.22610,6.09410
2.0896,7.28270,-5.15810,7.18250
2.1000,8.52350,-4.91620,8.45370
2.1095,9.68530,-4.75110,9.43030
2.1200,10.98230,-4.58130,10.07650
2.1299,12.07100,-4.23820,10.21810
2.1405,12.59280,-3.88490,10.13040
2.1498,13.00790,-3.45240,9.84870
2.1599,13.33650,-3.02220,9.60740
2.1782,13.50410,-2.53910,9.61890
2.1823,12.99640,-2.27060,9.37050
2.1896,12.07980,-2.21740,8.61760
2.2009,11.01380,-2.32290,7.77850
2.2100,9.45110,-2.55540,6.69130
2.2200,7.44400,-2.96770,5.15540
2.2299,5.85320,-3.30320,4.03290
2.2399,4.80150,-3.65900,3.62430
2.2495,4.39150,-4.09030,3.50190
2.2601,4.07940,-4.62050,3.56900
2.2699,4.01420,-5.12200,3.35400
2.2828,4.02530,-5.75020,2.74030
2.2963,3.84240,-6.26340,1.60890
2.3029,2.96700,-6.84320,-0.08110
2.3096,2.07670,-7.29190,-1.73030
2.3214,1.47920,-7.65040,-2.54980
2.3300,0.97820,-7.97000,-3.05620
2.3401,0.70830,-8.25950,-3.42430
2.3497,0.19860,-8.54010,-3.76270
2.3600,-0.09660,-8.64330,-4.07940
2.3698,-0.11660,-8.65720,-4.62400
2.3807,0.07980,-8.80520,-5.01510
2.3898,0.33950,-8.77860,-5.48470
2.3999,0.21340,-8.99420,-6.15680
2.4127,-0.41720,-9.31680,-6.97930
2.4201,-1.24750,-9.58540,-7.81470
2.4320,-1.67010,-9.59830,-8.35110
