time,X_value,Y_value,Z_value
0.0100,10.26175,-38.04334,158.03549
0.0279,10.03604,-37.24497,157.59117
0.0301,9.74080,-36.58603,157.10660
0.0414,9.29975,-36.03223,156.48933
0.0491,8.85991,-35.70457,155.89511
0.0597,8.35158,-35.44963,155.16536
0.0693,7.86169,-35.27143,154.42345
0.0798,7.41947,-35.16195,153.69789
0.0893,7.05187,-35.11079,152.97461
0.1001,6.73418,-35.08538,152.14249
0.1093,6.53379,-35.06977,151.42517
0.1206,6.33644,-35.06105,150.61092
0.1293,6.12869,-35.08482,149.79968
0.1401,5.83880,-35.18956,148.98909
0.1493,5.42782,-35.42897,148.17561
0.1643,4.85061,-35.85638,147.27548
0.1695,4.31928,-36.32209,146.53870
0.1800,3.78988,-36.93330,145.74135
0.1901,3.36519,-37.56910,144.94040
0.1999,3.07034,-38.21064,144.18376
0.2104,2.88179,-38.81567,143.49673
0.2203,2.74276,-39.40948,142.83568
0.2298,2.66834,-39.84623,142.38049
0.2402,2.64758,-40.28461,141.93710
0.2493,2.70731,-40.68039,141.49333
0.2597,2.85797,-40.99286,140.92426
0.2693,3.04592,-41.19715,140.16420
0.2813,3.26333,-41.31682,139.16827
0.2908,3.45512,-41.35325,138.17633
0.2998,3.59194,-41.33040,137.25388
0.3093,3.71593,-41.28073,136.24130
0.3198,3.87323,-41.23477,135.26505
0.3293,4.11773,-41.23672,134.35582
0.3407,4.44461,-41.32444,133.42258
0.3501,4.68111,-41.46753,132.68808
0.3608,4.84501,-41.67510,131.89604
0.3695,4.96571,-41.89338,131.14424
0.3797,5.16112,-42.08233,130.46115
0.3920,5.41927,-42.20812,129.81999
0.4008,5.76916,-42.25504,129.11786
0.4159,6.05008,-42.23818,128.55460
0.4200,6.31843,-42.17764,127.99326
0.4298,6.50444,-42.08625,127.58984
0.4397,6.62298,-41.96273,127.33291
0.4493,6.64748,-41.78257,127.03300
0.4604,6.53595,-41.51857,126.43324
0.4693,6.39469,-41.29050,125.72028
0.4799,6.24012,-41.08149,124.81212
0.4893,6.04843,-40.92821,123.88503
0.4999,5.71935,-40.82506,122.93652
0.5099,5.28055,-40.77858,121.95636
0.5209,4.73590,-40.76940,120.82213
0.5340,4.22521,-40.79440,119.88703
