time,X_value,Y_value,Z_value
0.0107,-0.12690,0.32770,9.80030
0.0238,-0.12690,0.32770,9.80030
0.0291,-0.12690,0.32750,9.80030
0.0421,-0.12700,0.32750,9.80030
0.0489,-0.12560,0.32780,9.80030
0.0613,-0.12460,0.32760,9.80030
0.0697,-0.12390,0.32800,9.80030
0.0787,-0.12410,0.32790,9.80030
0.0893,-0.12420,0.32770,9.80030
0.0986,-0.12300,0.32820,9.80030
0.1092,-0.12200,0.32840,9.80030
0.1186,-0.12120,0.32870,9.80030
0.1303,-0.12170,0.32860,9.80030
0.1396,-0.12160,0.32840,9.80030
0.1490,-0.12060,0.32860,9.80030
0.1587,-0.11970,0.32890,9.80030
0.1696,-0.11890,0.32910,9.80040
0.1792,-0.11890,0.32880,9.80040
0.1897,-0.11890,0.32870,9.80040
0.2020,-0.11790,0.32890,9.80040
0.2093,-0.11700,0.32920,9.80040
0.2187,-0.11690,0.32900,9.80040
0.2290,-0.11710,0.32880,9.80040
0.2393,-0.11700,0.32850,9.80040
0.2508,-0.11600,0.32880,9.80040
0.2595,-0.11520,0.32900,9.80040
0.2695,-0.11510,0.32890,9.80040
0.2787,-0.11520,0.32870,9.80040
0.2892,-0.11420,0.32910,9.80040
0.2987,-0.11330,0.32950,9.80040
0.3146,-0.11250,0.32980,9.80040
0.3219,-0.11160,0.33000,9.80040
0.3294,-0.11150,0.32990,9.80040
0.3388,-0.11120,0.32980,9.80040
0.3490,-0.11040,0.33010,9.80040
0.3585,-0.10960,0.33040,9.80040
0.3704,-0.10940,0.33030,9.80040
0.3786,-0.10920,0.33030,9.80040
0.3891,-0.10820,0.33060,9.80040
0.3989,-0.10740,0.33080,9.80040
0.4095,-0.10650,0.33100,9.80040
0.4206,-0.10630,0.33090,9.80040
0.4318,-0.10610,0.33090,9.80040
0.4390,-0.10500,0.33110,9.80040
0.4492,-0.10400,0.33150,9.80040
0.4632,-0.10350,0.33130,9.80050
0.4692,-0.10240,0.33160,9.80050
0.4788,-0.10200,0.33130,9.80050
0.4904,-0.10170,0.33100,9.80050
0.4988,-0.10060,0.33120,9.80050
0.5093,-0.09940,0.33150,9.80050
0.5187,-0.09890,0.33130,9.80050
0.5291,-0.09760,0.33170,9.80050
0.5389,-0.09610,0.33210,9.80050
0.5496,-0.09490,0.33240,9.80050
0.5590,-0.09320,0.33290,9.80050
0.5694,-0.09180,0.33330,9.80050
0.5792,-0.09150,0.33320,9.80050
0.5892,-0.09010,0.33350,9.80050
0.5991,-0.08880,0.33390,9.80050
0.6102,-0.08720,0.33420,9.80050
0.6191,-0.08670,0.33420,9.80050
0.6301,-0.08640,0.33420,9.80050
0.6388,-0.08480,0.33460,9.80050
0.6493,-0.08330,0.33490,9.80050
0.6588,-0.08300,0.33490,9.80050
0.6719,-0.08110,0.33530,9.80050
0.6855,-0.07970,0.33570,9.80050
0.6893,-0.07820,0.33610,9.80050
0.6988,-0.07680,0.33640,9.80050
0.7091,-0.07650,0.33640,9.80050
0.7190,-0.07440,0.33690,9.80050
0.7302,-0.07260,0.33720,9.80050
0.7386,-0.07110,0.33760,9.80050
0.7502,-0.06940,0.33790,9.80050
0.7610,-0.06900,0.33780,9.80050
0.7861,-0.06730,0.33810,9.80050
0.7876,-0.06560,0.33830,9.80050
0.7904,-0.06520,0.33810,9.80060
0.8023,-0.06290,0.33850,9.80060
0.8092,-0.06120,0.33880,9.80060
0.8237,-0.05980,0.33930,9.80050
0.8333,-0.05830,0.33960,9.80050
0.8387,-0.05670,0.34000,9.80050
0.8588,-0.05470,0.34040,9.80050
0.8600,-0.05290,0.34090,9.80050
0.8744,-0.05120,0.34110,9.80050
0.8817,-0.05000,0.34030,9.80060
0.8894,-0.04820,0.34060,9.80060
0.9015,-0.04690,0.33960,9.80060
0.9103,-0.04520,0.34000,9.80060
0.9188,-0.04400,0.34030,9.80060
0.9292,-0.04240,0.34060,9.80060
0.9392,-0.04080,0.34090,9.80060
0.9494,-0.03960,0.34000,9.80060
0.9596,-0.03820,0.34040,9.80060
0.9709,-0.03690,0.34080,9.80060
0.9787,-0.03600,0.34020,9.80060
0.9889,-0.03450,0.34060,9.80060
0.9987,-0.03390,0.34030,9.80060
1.0091,-0.03270,0.34060,9.80060
1.0187,-0.03250,0.34040,9.80060
1.0295,-0.03110,0.34080,9.80060
1.0387,-0.03100,0.34070,9.80060
1.0490,-0.02930,0.34100,9.80060
1.0587,-0.02920,0.34110,9.80060
1.0748,-0.02770,0.34140,9.80060
1.0810,-0.02660,0.34170,9.80060
1.0904,-0.02520,0.34210,9.80060
1.0987,-0.02410,0.34230,9.80060
1.1090,-0.02420,0.34240,9.80060
1.1188,-0.02280,0.34280,9.80060
1.1296,-0.02150,0.34300,9.80060
1.1387,-0.02000,0.34330,9.80060
1.1494,-0.01890,0.34370,9.80060
1.1587,-0.01780,0.34400,9.80050
1.1690,-0.01780,0.34410,9.80050
1.1800,-0.01690,0.34440,9.80050
1.1922,-0.01690,0.34450,9.80050
1.1986,-0.01580,0.34470,9.80050
1.2099,-0.01470,0.34500,9.80050
1.2186,-0.01390,0.34520,9.80050
1.2289,-0.01330,0.34540,9.80050
1.2385,-0.01320,0.34540,9.80050
1.2489,-0.01320,0.34540,9.80050
1.2585,-0.01200,0.34580,9.80050
1.2695,-0.01110,0.34600,9.80050
1.2792,-0.01060,0.34630,9.80050
1.2895,-0.01070,0.34630,9.80050
1.2992,-0.00900,0.34650,9.80050
1.3095,-0.00840,0.34670,9.80050
1.3189,-0.00780,0.34680,9.80050
1.3389,-0.00780,0.34690,9.80050
1.3406,-0.00700,0.34710,9.80050
1.3509,-0.00630,0.34730,9.80040
1.3588,-0.00570,0.34750,9.80040
1.3692,-0.00460,0.34790,9.80040
1.3787,-0.00350,0.34820,9.80040
1.3902,-0.00280,0.34850,9.80040
1.3986,-0.00200,0.34860,9.80040
1.4090,-0.00200,0.34880,9.80040
1.4186,-0.00120,0.34900,9.80040
1.4290,-0.00110,0.34920,9.80040
1.4387,-0.00030,0.34940,9.80040
1.4512,0.00070,0.34980,9.80040
1.4586,0.00160,0.35000,9.80040
1.4690,0.00250,0.35030,9.80030
1.4795,0.00340,0.35060,9.80030
1.4891,0.00420,0.35070,9.80030
1.4991,0.00500,0.35090,9.80030
1.5094,0.00500,0.35120,9.80030
1.5187,0.00590,0.35150,9.80030
1.5290,0.00590,0.35170,9.80030
1.5386,0.00660,0.35200,9.80030
1.5492,0.00720,0.35220,9.80030
1.5601,0.00720,0.35240,9.80030
1.5701,0.00700,0.35270,9.80030
1.5837,0.00780,0.35300,9.80020
1.5892,0.00850,0.35330,9.80020
1.5994,0.00920,0.35350,9.80020
1.6092,0.01000,0.35370,9.80020
1.6187,0.01060,0.35390,9.80020
1.6301,0.01040,0.35410,9.80020
1.6389,0.01040,0.35440,9.80020
1.6491,0.01120,0.35460,9.80020
1.6592,0.01110,0.35490,9.80020
1.6693,0.01110,0.35520,9.80020
1.6787,0.01100,0.35550,9.80010
1.6901,0.01090,0.35590,9.80010
1.7013,0.01160,0.35590,9.80010
1.7099,0.01150,0.35630,9.80010
1.7188,0.01220,0.35650,9.80010
1.7303,0.01290,0.35670,9.80010
1.7387,0.01280,0.35700,9.80010
1.7497,0.01350,0.35720,9.80010
1.7594,0.01420,0.35740,9.80010
1.7693,0.01490,0.35760,9.80010
1.7789,0.01490,0.35800,9.80000
1.7890,0.01560,0.35830,9.80000
1.7986,0.01630,0.35840,9.80000
1.8133,0.01710,0.35860,9.80000
1.8187,0.01700,0.35910,9.80000
1.8290,0.01770,0.35930,9.80000
1.8396,0.01840,0.35930,9.80000
1.8492,0.01900,0.35960,9.80000
1.8589,0.01980,0.35960,9.80000
1.8698,0.02060,0.35980,9.80000
1.8789,0.02130,0.36000,9.80000
1.8891,0.02200,0.36030,9.80000
1.8987,0.02260,0.36040,9.79990
1.9092,0.02330,0.36060,9.79990
1.9187,0.02380,0.36070,9.79990
1.9304,0.02960,0.36110,9.79990
1.9394,0.03640,0.36090,9.79990
1.9555,0.04220,0.36170,9.79980
1.9588,0.04710,0.36120,9.79980
1.9690,0.04690,0.36140,9.79980
1.9789,0.04740,0.36160,9.79980
1.9894,0.04780,0.36180,9.79980
1.9989,0.04810,0.36180,9.79980
2.0095,0.04800,0.36200,9.79980
2.0188,0.04840,0.36210,9.79980
2.0290,0.04880,0.36230,9.79980
2.0389,0.04960,0.36250,9.79980
2.0502,0.05000,0.36270,9.79980
2.0586,0.05030,0.36270,9.79980
2.0690,0.05080,0.36300,9.79970
2.0787,0.05120,0.36320,9.79970
2.0915,0.05150,0.36330,9.79970
2.0993,0.05190,0.36350,9.79970
2.1097,0.05220,0.36380,9.79970
2.1188,0.05760,0.36400,9.79970
2.1298,0.06120,0.36420,9.79960
2.1387,0.06520,0.36410,9.79960
2.1493,0.06490,0.36420,9.79960
2.1588,0.06520,0.36430,9.79960
2.1700,0.06530,0.36450,9.79960
2.1787,0.06560,0.36470,9.79960
2.1890,0.06530,0.36480,9.79960
2.1988,0.06600,0.36510,9.79960
2.2095,0.06630,0.36530,9.79960
2.2191,0.06660,0.36530,9.79960
2.2295,0.06680,0.36550,9.79960
2.2404,0.06710,0.36580,9.79950
2.2493,0.06720,0.36580,9.79950
2.2587,0.06710,0.36580,9.79950
2.2692,0.06720,0.36590,9.79950
2.2787,0.06760,0.36610,9.79950
2.2902,0.06790,0.36620,9.79950
2.2990,0.06820,0.36650,9.79950
2.3093,0.06850,0.36650,9.79950
2.3207,0.06860,0.36660,9.79950
2.3292,0.06860,0.36650,9.79950
2.3448,0.06860,0.36640,9.79950
2.3496,0.06860,0.36630,9.79950
2.3591,0.06890,0.36640,9.79950
2.3693,0.06910,0.36660,9.79950
2.3798,0.06920,0.36650,9.79950
2.3891,0.06950,0.36660,9.79950
2.3989,0.06990,0.36670,9.79950
2.4101,0.07010,0.36680,9.79950
2.4186,0.07020,0.36670,9.79950
2.4291,0.07040,0.36660,9.79950
2.4388,0.07050,0.36670,9.79950
2.4491,0.07060,0.36680,9.79950
2.4639,0.07080,0.36680,9.79950
2.4706,0.07100,0.36690,9.79950
2.4788,0.07120,0.36680,9.79950
2.4893,0.07140,0.36680,9.79950
2.4987,0.07140,0.36690,9.79950
2.5091,0.07150,0.36700,9.79950
2.5187,0.07170,0.36720,9.79950
2.5301,0.07200,0.36740,9.79940
2.5393,0.07220,0.36760,9.79940
2.5491,0.07240,0.36780,9.79940
2.5589,0.07250,0.36790,9.79940
2.5691,0.07260,0.36800,9.79940
2.5790,0.07270,0.36810,9.79940
2.5895,0.07300,0.36820,9.79940
2.5998,0.07290,0.36820,9.79940
2.6097,0.07310,0.36840,9.79940
2.6196,0.07330,0.36860,9.79940
2.6301,0.07350,0.36880,9.79940
2.6387,0.07350,0.36880,9.79940
2.6503,0.07380,0.36880,9.79940
2.6587,0.07400,0.36900,9.79940
2.6700,0.07420,0.36910,9.79940
2.6787,0.07420,0.36920,9.79940
2.6892,0.07430,0.36940,9.79940
2.7001,0.07440,0.36940,9.79940
2.7094,0.07470,0.36940,9.79940
2.7188,0.07470,0.36950,9.79930
2.7292,0.07480,0.36960,9.79930
2.7389,0.07480,0.36980,9.79930
2.7497,0.07490,0.36990,9.79930
2.7589,0.07480,0.37000,9.79930
2.7712,0.07500,0.37010,9.79930
2.7792,0.07520,0.37030,9.79930
2.7900,0.07540,0.37040,9.79930
2.7987,0.07520,0.37060,9.79930
2.8100,0.07560,0.37060,9.79930
2.8188,0.07580,0.37080,9.79930
2.8365,0.07560,0.37100,9.79930
2.8387,0.07580,0.37110,9.79930
2.8492,0.07590,0.37120,9.79930
2.8588,0.07570,0.37130,9.79930
2.8692,0.07600,0.37140,9.79930
2.8787,0.07610,0.37140,9.79930
2.8900,0.07630,0.37160,9.79930
2.8988,0.07620,0.37170,9.79930
2.9091,0.07630,0.37180,9.79930
2.9188,0.07640,0.37190,9.79920
2.9290,0.07620,0.37220,9.79920
2.9388,0.07600,0.37230,9.79920
2.9493,0.07570,0.37250,9.79920
2.9588,0.07590,0.37260,9.79920
2.9701,0.07610,0.37280,9.79920
2.9788,0.07630,0.37280,9.79920
2.9894,0.07640,0.37290,9.79920
2.9998,0.07620,0.37310,9.79920
3.0101,0.07640,0.37330,9.79920
3.0186,0.07650,0.37330,9.79920
3.0292,0.07680,0.37340,9.79920
3.0387,0.07660,0.37360,9.79920
3.0495,0.07680,0.37380,9.79920
3.0587,0.07660,0.37400,9.79920
3.0694,0.07680,0.37420,9.79920
3.0804,0.07690,0.37430,9.79920
3.0899,0.07710,0.37440,9.79910
3.0990,0.07740,0.37450,9.79910
3.1090,0.07780,0.37460,9.79910
3.1189,0.07780,0.37470,9.79910
3.1301,0.07800,0.37490,9.79910
3.1399,0.07810,0.37500,9.79910
3.1505,0.07820,0.37510,9.79910
3.1588,0.07840,0.37520,9.79910
3.1691,0.07820,0.37550,9.79910
3.1787,0.07830,0.37560,9.79910
3.1895,0.07840,0.37570,9.79910
3.1988,0.07820,0.37590,9.79910
3.2093,0.07840,0.37600,9.79910
3.2270,0.07850,0.37610,9.79910
3.2308,0.07870,0.37630,9.79910
3.2388,0.07880,0.37640,9.79910
3.2501,0.07850,0.37680,9.79900
3.2587,0.07850,0.37680,9.79900
3.2694,0.07880,0.37690,9.79900
