time,X_value,Y_value,Z_value
0.0079,-2.93750,-13.12500,-45.25000
0.0145,-2.93750,-13.18750,-45.25000
0.0246,-3.06250,-13.18750,-45.25000
0.0349,-3.25000,-13.00000,-45.25000
0.0443,-3.25000,-12.87500,-45.37500
0.0611,-3.18750,-12.62500,-45.37500
0.0646,-3.00000,-12.81250,-45.18750
0.0744,-3.00000,-12.93750,-45.37500
0.0843,-2.87500,-13.00000,-45.31250
0.0942,-3.00000,-13.00000,-45.31250
0.1046,-3.12500,-12.87500,-45.25000
0.1143,-3.00000,-13.00000,-45.25000
0.1247,-3.06250,-13.06250,-45.25000
0.1360,-3.06250,-13.31250,-45.18750
0.1443,-3.25000,-13.31250,-45.31250
0.1544,-3.25000,-13.37500,-45.43750
0.1643,-3.37500,-13.25000,-45.31250
0.1782,-3.43750,-13.00000,-45.56250
0.1861,-3.43750,-13.06250,-45.68750
0.1945,-3.37500,-13.12500,-45.75000
0.2045,-3.25000,-13.18750,-45.75000
0.2144,-3.25000,-13.06250,-45.93750
0.2246,-3.31250,-13.12500,-45.87500
0.2342,-3.06250,-13.06250,-45.75000
0.2444,-2.93750,-12.87500,-45.68750
0.2545,-2.93750,-12.87500,-45.62500
0.2646,-2.87500,-12.93750,-45.56250
0.2746,-2.62500,-13.00000,-45.50000
0.2844,-2.75000,-13.18750,-45.50000
0.2958,-2.93750,-13.12500,-45.50000
0.3051,-2.81250,-13.18750,-45.43750
0.3150,-2.68750,-13.00000,-45.50000
0.3257,-2.75000,-13.12500,-45.62500
0.3345,-2.87500,-13.18750,-45.62500
0.3447,-2.75000,-13.12500,-45.75000
0.3545,-2.81250,-13.12500,-45.62500
0.3643,-2.93750,-12.93750,-45.68750
0.3744,-2.81250,-12.81250,-45.81250
0.3842,-2.75000,-12.62500,-45.81250
0.3946,-2.93750,-12.56250,-45.81250
0.4042,-2.93750,-12.56250,-45.81250
0.4145,-3.00000,-12.43750,-45.75000
0.4316,-3.06250,-12.37500,-45.81250
0.4345,-3.31250,-12.37500,-45.62500
0.4450,-3.50000,-12.43750,-45.75000
0.4543,-3.50000,-12.43750,-45.75000
0.4648,-3.37500,-12.37500,-45.56250
0.4743,-3.43750,-12.43750,-45.56250
0.4844,-3.25000,-12.50000,-45.50000
0.4943,-3.12500,-12.50000,-45.50000
0.5042,-3.00000,-12.43750,-45.50000
0.5152,-3.06250,-12.31250,-45.50000
0.5243,-2.75000,-12.31250,-45.75000
0.5344,-2.62500,-12.37500,-45.75000
0.5443,-2.56250,-12.31250,-45.62500
0.5547,-2.81250,-12.50000,-45.68750
0.5685,-2.68750,-12.43750,-45.56250
0.5747,-2.75000,-12.37500,-45.68750
0.5848,-2.93750,-12.25000,-45.75000
0.5944,-3.00000,-12.25000,-45.68750
0.6043,-2.81250,-12.37500,-45.75000
0.6143,-2.81250,-12.18750,-45.81250
0.6247,-2.81250,-12.37500,-45.43750
0.6343,-3.18750,-12.31250,-45.62500
0.6445,-3.12500,-12.12500,-45.62500
0.6543,-3.37500,-12.06250,-45.81250
0.6644,-3.43750,-12.06250,-45.68750
0.6743,-3.25000,-12.25000,-45.56250
0.6855,-3.06250,-12.31250,-45.56250
0.6948,-3.12500,-12.37500,-45.56250
0.7042,-3.18750,-12.37500,-45.50000
0.7146,-3.18750,-12.12500,-45.62500
0.7243,-2.87500,-12.06250,-45.56250
0.7343,-2.81250,-12.18750,-45.56250
0.7458,-2.50000,-12.31250,-45.43750
0.7568,-2.50000,-12.43750,-45.50000
0.7849,-2.62500,-12.25000,-45.43750
0.7864,-2.93750,-12.25000,-45.56250
0.7879,-2.81250,-12.18750,-45.43750
0.7955,-2.81250,-12.37500,-45.43750
0.8068,-2.62500,-12.43750,-45.62500
0.8235,-2.68750,-12.37500,-45.56250
0.8272,-2.56250,-12.43750,-45.56250
0.8345,-2.68750,-12.25000,-45.75000
0.8449,-2.75000,-12.12500,-45.62500
0.8594,-2.75000,-12.06250,-45.68750
0.8648,-2.87500,-12.18750,-45.56250
0.8747,-2.93750,-12.12500,-45.50000
0.8848,-3.00000,-12.00000,-45.37500
0.8948,-3.18750,-11.81250,-45.31250
0.9048,-2.93750,-11.75000,-45.31250
0.9148,-3.12500,-11.81250,-45.31250
0.9249,-3.06250,-12.00000,-45.43750
0.9391,-3.12500,-12.06250,-45.50000
0.9449,-3.12500,-12.12500,-45.56250
0.9545,-3.00000,-11.93750,-45.62500
0.9643,-3.00000,-11.87500,-45.93750
0.9742,-3.00000,-11.87500,-46.00000
0.9843,-2.81250,-11.87500,-45.93750
0.9942,-2.81250,-11.87500,-46.00000
1.0043,-2.81250,-11.87500,-46.00000
1.0146,-2.81250,-11.81250,-45.81250
1.0243,-2.75000,-11.81250,-45.87500
1.0342,-2.62500,-11.87500,-46.00000
1.0442,-2.62500,-11.75000,-46.00000
1.0544,-2.56250,-11.81250,-45.68750
1.0644,-2.62500,-12.00000,-45.68750
1.0752,-2.62500,-12.06250,-45.62500
1.0844,-2.81250,-12.25000,-45.56250
1.0942,-2.75000,-12.25000,-45.43750
1.1042,-2.68750,-12.18750,-45.31250
1.1158,-2.68750,-12.00000,-45.37500
1.1242,-2.75000,-12.18750,-45.31250
1.1344,-2.87500,-12.50000,-45.43750
1.1442,-3.18750,-12.50000,-45.37500
1.1542,-3.25000,-12.50000,-45.50000
1.1642,-3.37500,-12.56250,-45.62500
1.1742,-3.31250,-12.50000,-45.43750
1.1844,-3.37500,-12.37500,-45.50000
1.1945,-3.43750,-12.37500,-45.50000
1.2047,-3.31250,-12.50000,-45.50000
1.2142,-3.25000,-12.12500,-45.31250
1.2243,-3.18750,-12.00000,-45.00000
1.2342,-3.12500,-12.12500,-45.06250
1.2442,-2.87500,-12.06250,-44.93750
1.2542,-2.62500,-12.12500,-45.06250
1.2641,-2.87500,-12.18750,-45.18750
1.2746,-2.93750,-12.18750,-45.31250
1.2845,-3.06250,-12.25000,-45.37500
1.2945,-3.12500,-12.25000,-45.37500
1.3044,-3.12500,-12.31250,-45.43750
1.3145,-3.12500,-12.37500,-45.62500
1.3384,-3.12500,-12.25000,-45.62500
1.3391,-3.18750,-12.18750,-45.75000
1.3447,-3.50000,-12.12500,-45.56250
1.3546,-3.25000,-12.12500,-45.62500
1.3644,-3.06250,-11.93750,-45.56250
1.3743,-3.25000,-12.00000,-45.62500
1.3844,-3.18750,-11.93750,-45.50000
1.3942,-3.18750,-12.25000,-45.50000
1.4044,-3.25000,-12.18750,-45.43750
1.4142,-3.06250,-12.25000,-45.68750
1.4242,-3.00000,-12.12500,-45.68750
1.4344,-2.81250,-12.06250,-45.75000
1.4477,-2.75000,-12.18750,-45.75000
1.4544,-3.00000,-12.25000,-45.75000
1.4643,-2.87500,-12.37500,-45.50000
1.4744,-2.93750,-12.37500,-45.62500
1.4842,-2.93750,-12.06250,-45.62500
1.4944,-2.81250,-12.18750,-45.68750
1.5044,-3.00000,-12.25000,-45.50000
1.5142,-3.12500,-12.31250,-45.37500
1.5242,-3.25000,-12.37500,-45.43750
1.5342,-3.37500,-12.31250,-45.50000
1.5446,-3.31250,-12.25000,-45.37500
1.5545,-3.31250,-12.12500,-45.50000
1.5644,-3.18750,-12.25000,-45.25000
1.5743,-3.18750,-12.31250,-45.31250
1.5847,-3.31250,-12.06250,-45.18750
1.5954,-3.06250,-12.12500,-45.25000
1.6048,-3.00000,-12.06250,-45.25000
1.6144,-2.75000,-11.93750,-45.18750
1.6243,-2.68750,-11.62500,-45.18750
1.6354,-2.56250,-11.68750,-45.18750
1.6443,-2.50000,-11.75000,-45.31250
1.6544,-2.81250,-11.81250,-45.43750
1.6645,-2.81250,-11.75000,-45.31250
1.6744,-2.87500,-11.93750,-45.43750
1.6842,-2.75000,-11.93750,-45.31250
1.6941,-2.81250,-12.18750,-45.37500
1.7048,-3.06250,-12.31250,-45.43750
1.7143,-3.25000,-12.50000,-45.31250
1.7244,-3.56250,-12.43750,-45.25000
1.7343,-3.62500,-12.43750,-45.37500
1.7444,-3.37500,-12.43750,-45.43750
1.7545,-3.31250,-12.43750,-45.50000
1.7649,-3.18750,-12.37500,-45.50000
1.7743,-3.37500,-12.12500,-45.56250
1.7846,-3.50000,-12.06250,-45.56250
1.7942,-3.25000,-12.06250,-45.56250
1.8042,-3.06250,-12.18750,-45.56250
1.8144,-2.68750,-12.25000,-45.56250
1.8243,-2.62500,-12.31250,-45.50000
1.8383,-2.75000,-12.31250,-45.56250
1.8454,-2.75000,-12.31250,-45.62500
1.8544,-3.00000,-12.37500,-45.56250
1.8658,-3.12500,-12.50000,-45.62500
1.8773,-2.87500,-12.50000,-45.62500
1.8843,-3.00000,-12.56250,-45.75000
1.8942,-3.25000,-12.25000,-45.87500
1.9044,-3.37500,-12.06250,-45.87500
1.9172,-3.37500,-12.12500,-45.81250
1.9244,-3.43750,-12.12500,-45.62500
1.9340,-3.18750,-12.25000,-45.50000
1.9447,-2.81250,-12.12500,-45.50000
1.9555,-2.75000,-12.12500,-45.50000
1.9647,-2.87500,-12.12500,-45.37500
1.9742,-2.87500,-12.12500,-45.25000
1.9844,-2.62500,-12.25000,-45.18750
1.9944,-2.62500,-12.62500,-45.43750
2.0054,-2.75000,-12.56250,-45.43750
2.0149,-2.68750,-12.62500,-45.62500
2.0242,-2.81250,-12.56250,-45.56250
2.0344,-2.93750,-12.50000,-45.50000
2.0442,-2.87500,-12.56250,-45.62500
2.0542,-2.81250,-12.50000,-45.68750
2.0650,-2.87500,-12.37500,-45.93750
2.0742,-2.93750,-12.31250,-45.93750
2.0913,-2.93750,-12.12500,-45.68750
2.0943,-2.62500,-12.00000,-45.68750
2.1049,-2.43750,-11.81250,-45.56250
2.1144,-2.37500,-11.68750,-45.62500
2.1247,-2.50000,-11.75000,-45.43750
2.1343,-2.56250,-11.62500,-45.31250
2.1455,-2.56250,-11.75000,-45.18750
2.1545,-2.50000,-11.81250,-44.93750
2.1642,-2.56250,-11.68750,-45.00000
2.1742,-2.43750,-11.68750,-45.00000
2.1842,-2.43750,-11.81250,-45.00000
2.1945,-2.50000,-11.87500,-45.12500
2.2087,-2.68750,-12.06250,-45.37500
2.2147,-2.50000,-12.00000,-45.56250
2.2243,-2.31250,-12.12500,-45.56250
2.2343,-2.43750,-12.06250,-45.68750
2.2444,-2.62500,-12.12500,-45.56250
2.2543,-2.62500,-12.06250,-45.43750
2.2643,-2.75000,-12.00000,-45.43750
2.2742,-2.81250,-11.93750,-45.37500
2.2844,-2.87500,-12.12500,-45.25000
2.2940,-2.87500,-12.06250,-45.00000
2.3044,-3.06250,-12.12500,-45.00000
2.3143,-3.18750,-12.00000,-44.93750
2.3243,-3.06250,-12.06250,-45.06250
2.3342,-2.87500,-12.06250,-45.37500
2.3448,-2.75000,-12.25000,-45.31250
2.3547,-2.75000,-12.62500,-45.31250
2.3665,-2.87500,-12.56250,-45.37500
2.3767,-2.81250,-12.37500,-45.68750
2.3843,-2.75000,-12.56250,-45.87500
2.3944,-2.68750,-12.56250,-45.93750
2.4042,-2.75000,-12.50000,-46.00000
2.4143,-2.81250,-12.50000,-45.93750
2.4242,-2.68750,-12.43750,-45.87500
2.4342,-2.75000,-12.50000,-46.06250
2.4442,-2.87500,-12.25000,-46.12500
2.4542,-3.12500,-12.25000,-46.06250
2.4647,-3.25000,-12.18750,-45.81250
2.4745,-3.43750,-12.00000,-45.50000
2.4844,-3.43750,-12.06250,-45.56250
2.4952,-3.37500,-12.12500,-45.50000
2.5045,-3.37500,-12.12500,-45.31250
2.5143,-3.62500,-12.37500,-45.25000
2.5243,-3.68750,-12.18750,-45.18750
2.5342,-3.75000,-12.31250,-45.18750
2.5445,-3.37500,-12.37500,-45.25000
2.5546,-3.31250,-12.50000,-45.37500
2.5642,-3.25000,-12.43750,-45.31250
2.5747,-3.18750,-12.18750,-45.37500
2.5842,-3.18750,-12.18750,-45.56250
2.5996,-3.18750,-12.00000,-45.68750
2.6048,-2.93750,-11.87500,-45.87500
2.6145,-2.75000,-12.18750,-45.75000
2.6243,-2.50000,-12.00000,-45.81250
2.6343,-2.50000,-12.00000,-45.75000
2.6444,-2.56250,-12.06250,-45.62500
2.6543,-2.43750,-12.37500,-45.81250
2.6644,-2.50000,-12.25000,-45.62500
2.6750,-2.68750,-12.18750,-45.62500
2.6844,-2.43750,-12.31250,-45.62500
2.6942,-2.50000,-12.18750,-45.56250
2.7043,-2.62500,-12.06250,-45.56250
2.7170,-2.62500,-12.18750,-45.56250
2.7246,-2.56250,-12.18750,-45.43750
2.7344,-2.43750,-12.12500,-45.50000
2.7444,-2.56250,-12.00000,-45.50000
2.7583,-2.75000,-12.31250,-45.50000
2.7643,-2.68750,-12.43750,-45.50000
2.7745,-3.06250,-12.31250,-45.43750
2.7845,-3.06250,-12.43750,-45.56250
2.7943,-3.00000,-12.31250,-45.81250
2.8043,-3.12500,-12.31250,-45.68750
2.8145,-3.06250,-12.37500,-45.87500
2.8244,-2.93750,-12.31250,-45.93750
2.8366,-3.00000,-12.37500,-45.93750
2.8449,-2.81250,-12.31250,-46.06250
2.8543,-2.62500,-12.50000,-45.93750
2.8652,-2.37500,-12.75000,-45.87500
2.8743,-2.43750,-12.62500,-45.81250
2.8842,-2.50000,-12.75000,-45.62500
2.8980,-2.50000,-12.68750,-45.68750
2.9042,-2.68750,-12.81250,-45.75000
2.9143,-2.75000,-13.00000,-45.75000
2.9242,-2.62500,-13.12500,-45.75000
2.9343,-2.81250,-13.00000,-45.62500
2.9442,-2.81250,-12.81250,-45.68750
2.9543,-2.93750,-12.62500,-46.00000
2.9699,-2.75000,-12.62500,-45.93750
2.9744,-2.87500,-12.50000,-45.93750
2.9846,-2.87500,-12.37500,-46.06250
2.9945,-2.81250,-12.31250,-45.93750
3.0046,-2.87500,-12.00000,-45.87500
3.0141,-2.81250,-11.81250,-46.00000
3.0244,-2.68750,-11.81250,-46.00000
3.0342,-2.81250,-11.75000,-45.81250
3.0444,-3.06250,-11.81250,-45.43750
3.0542,-3.06250,-12.00000,-45.31250
3.0643,-3.12500,-11.81250,-45.18750
3.0742,-3.00000,-11.93750,-45.12500
3.0898,-3.00000,-11.93750,-45.18750
3.0945,-2.87500,-12.12500,-45.31250
3.1047,-3.06250,-12.06250,-45.31250
3.1144,-3.06250,-12.18750,-45.31250
3.1242,-3.06250,-12.25000,-45.50000
3.1361,-2.81250,-12.25000,-45.68750
3.1442,-2.93750,-12.18750,-45.68750
3.1543,-3.00000,-12.43750,-45.81250
3.1643,-3.00000,-12.43750,-45.56250
3.1743,-2.93750,-12.62500,-45.43750
3.1844,-3.18750,-12.68750,-45.31250
3.1943,-3.12500,-12.81250,-45.25000
3.2044,-3.06250,-12.75000,-45.25000
3.2143,-3.06250,-12.68750,-45.25000
3.2271,-3.06250,-12.62500,-45.06250
3.2348,-2.93750,-12.75000,-45.18750
3.2443,-3.00000,-12.81250,-45.06250
3.2550,-3.18750,-12.75000,-45.25000
3.2643,-3.12500,-12.62500,-45.37500
3.2744,-3.00000,-12.56250,-45.37500
3.2845,-2.93750,-12.56250,-45.18750
3.2944,-2.87500,-12.50000,-45.31250
3.3043,-2.87500,-12.68750,-45.31250
3.3144,-2.81250,-12.62500,-45.50000
3.3242,-2.81250,-12.50000,-45.68750
3.3344,-2.75000,-12.50000,-45.68750
3.3451,-2.68750,-12.37500,-45.68750
3.3544,-2.75000,-12.43750,-45.75000
3.3644,-2.81250,-12.43750,-45.68750
3.3741,-2.81250,-12.43750,-45.81250
3.3844,-2.87500,-12.62500,-45.62500
3.3942,-2.87500,-12.37500,-45.75000
3.4047,-3.00000,-12.50000,-45.75000
3.4142,-3.25000,-12.37500,-45.62500
3.4242,-3.31250,-12.31250,-45.56250
3.4342,-3.12500,-12.31250,-45.56250
3.4442,-3.25000,-12.31250,-45.68750
3.4542,-3.00000,-12.31250,-45.68750
3.4643,-3.06250,-12.31250,-45.37500
3.4791,-3.12500,-12.18750,-45.37500
3.4847,-2.93750,-12.18750,-45.12500
3.4945,-2.87500,-12.06250,-45.12500
3.5043,-2.62500,-12.00000,-45.00000
3.5142,-2.68750,-12.00000,-45.06250
3.5242,-2.75000,-12.12500,-44.87500
3.5342,-2.81250,-12.06250,-44.93750
3.5442,-3.00000,-11.93750,-45.00000
3.5543,-2.93750,-11.87500,-45.25000
3.5644,-3.00000,-11.87500,-45.43750
3.5743,-3.00000,-12.12500,-45.50000
3.5845,-3.06250,-12.18750,-45.25000
3.5980,-3.18750,-12.25000,-45.25000
3.6050,-3.12500,-12.37500,-45.31250
3.6148,-3.06250,-12.37500,-45.31250
3.6261,-3.00000,-12.43750,-45.18750
3.6343,-2.93750,-12.68750,-45.06250
3.6443,-2.93750,-12.81250,-45.00000
3.6544,-2.81250,-12.68750,-45.06250
3.6642,-2.81250,-12.43750,-45.12500
3.6744,-2.68750,-12.43750,-45.31250
3.6842,-2.50000,-12.50000,-45.56250
3.6944,-2.43750,-12.43750,-45.56250
3.7042,-2.37500,-12.50000,-45.50000
3.7147,-2.31250,-12.50000,-45.56250
3.7243,-2.25000,-12.43750,-45.68750
3.7349,-2.18750,-12.18750,-45.81250
3.7448,-2.31250,-12.25000,-45.56250
3.7543,-2.50000,-12.43750,-45.43750
3.7649,-2.68750,-12.56250,-45.31250
3.7747,-2.87500,-12.56250,-45.12500
3.7844,-2.87500,-12.50000,-45.18750
3.7945,-3.00000,-12.50000,-45.31250
3.8045,-3.06250,-12.50000,-45.31250
3.8145,-3.12500,-12.37500,-45.25000
3.8242,-3.18750,-12.50000,-45.12500
3.8344,-3.12500,-12.56250,-45.25000
3.8544,-3.12500,-12.50000,-45.37500
3.8550,-3.18750,-12.43750,-45.37500
3.8648,-3.12500,-12.25000,-45.37500
3.8744,-3.00000,-12.37500,-45.18750
3.8846,-2.81250,-12.50000,-45.31250
3.8943,-2.93750,-12.31250,-45.37500
3.9043,-3.00000,-12.25000,-45.50000
3.9143,-3.18750,-12.18750,-45.56250
3.9244,-3.25000,-11.93750,-45.62500
3.9343,-2.93750,-11.75000,-45.62500
3.9445,-2.93750,-11.62500,-45.81250
3.9543,-2.87500,-11.56250,-45.87500
3.9644,-3.00000,-11.56250,-45.87500
3.9743,-3.12500,-11.37500,-45.75000
3.9870,-2.87500,-11.31250,-45.62500
3.9945,-3.00000,-11.43750,-45.62500
4.0044,-2.93750,-11.37500,-45.62500
4.0144,-3.00000,-11.43750,-45.68750
4.0242,-3.06250,-11.62500,-45.56250
4.0380,-2.87500,-11.75000,-45.50000
4.0445,-2.87500,-12.00000,-45.68750
4.0544,-2.93750,-11.81250,-45.75000
4.0642,-3.06250,-11.87500,-45.81250
4.0742,-3.18750,-11.93750,-45.75000
4.0842,-2.93750,-11.87500,-45.87500
4.0943,-2.81250,-12.06250,-45.81250
4.1069,-2.62500,-12.18750,-46.00000
4.1145,-2.68750,-12.12500,-46.06250
4.1246,-2.93750,-12.31250,-46.18750
4.1352,-3.00000,-12.18750,-45.93750
4.1444,-2.93750,-12.43750,-46.00000
4.1542,-2.81250,-12.50000,-45.75000
4.1643,-2.87500,-12.62500,-45.68750
4.1742,-2.87500,-12.62500,-45.68750
4.1842,-3.00000,-12.56250,-45.68750
4.1944,-3.06250,-12.56250,-45.31250
4.2042,-3.18750,-12.56250,-45.37500
4.2143,-3.12500,-12.25000,-45.43750
4.2242,-3.06250,-12.18750,-45.50000
4.2454,-3.12500,-11.93750,-45.50000
4.2457,-2.93750,-11.93750,-45.68750
4.2548,-2.93750,-12.06250,-45.68750
4.2645,-3.00000,-12.06250,-45.75000
4.2743,-3.18750,-12.12500,-45.56250
4.2851,-3.18750,-12.06250,-45.87500
4.2942,-2.87500,-12.12500,-45.68750
4.3044,-2.75000,-12.31250,-45.31250
4.3142,-2.87500,-12.31250,-45.25000
4.3244,-2.56250,-12.18750,-45.18750
4.3342,-2.62500,-12.18750,-45.06250
4.3442,-2.68750,-12.12500,-45.18750
4.3593,-2.56250,-12.12500,-45.06250
4.3646,-2.56250,-12.06250,-45.12500
4.3744,-2.62500,-12.06250,-45.06250
4.3843,-2.87500,-12.06250,-45.06250
4.3944,-2.93750,-12.06250,-45.43750
4.4043,-2.87500,-12.25000,-45.56250
4.4146,-3.12500,-12.18750,-45.75000
4.4243,-3.12500,-12.12500,-45.93750
4.4342,-3.06250,-11.93750,-46.00000
4.4442,-3.12500,-12.00000,-45.93750
4.4543,-2.81250,-11.93750,-46.06250
4.4644,-2.75000,-11.81250,-45.87500
4.4744,-2.62500,-11.93750,-46.00000
4.4844,-2.43750,-11.87500,-45.81250
4.4945,-2.31250,-11.68750,-45.56250
4.5048,-2.37500,-11.62500,-45.43750
4.5142,-2.50000,-11.62500,-45.43750
4.5243,-2.50000,-11.87500,-45.25000
4.5343,-2.50000,-12.06250,-45.25000
4.5443,-2.81250,-12.18750,-45.18750
4.5546,-2.93750,-12.37500,-45.18750
4.5646,-3.00000,-12.37500,-45.31250
