time;X_value;Y_value;Z_value
0,0091;-0,00055;0,00094;0,00049
0,0092;0,00158;0,00094;0,00049
0,0094;0,00105;-0,00173;-0,00111
0,0192;-0,00214;-0,00120;-0,00057
0,0201;-0,00161;-0,00013;0,00049
0,0242;0,00158;0,00147;-0,00057
0,0298;-0,00055;0,00040;0,00103
0,0349;-0,00055;0,00094;0,00049
0,0399;0,00158;0,00040;-0,00004
0,0448;0,00425;0,00094;0,00049
0,0509;0,00212;0,00147;-0,00057
0,0553;-0,00214;0,00040;0,00103
0,0605;-0,00001;0,00094;-0,00004
0,0650;0,00052;0,00147;-0,00004
0,0709;-0,00108;0,00147;0,00103
0,0755;-0,00055;0,00200;0,00049
0,0813;0,00158;0,00040;0,00103
0,0853;-0,00108;-0,00013;0,00049
0,0910;0,00212;0,00200;0,00103
0,0959;0,00105;-0,00120;0,00049
0,1007;0,00052;-0,00013;-0,00004
0,1059;-0,00001;0,00094;-0,00057
0,1111;-0,00214;0,00094;-0,00004
0,1219;0,00052;-0,00013;0,00049
0,1221;-0,00108;-0,00066;-0,00004
0,1261;0,00105;0,00147;-0,00057
0,1314;0,00212;0,00040;-0,00111
0,1366;0,00158;0,00253;0,00156
0,1412;-0,00055;-0,00066;-0,00004
0,1463;-0,00161;-0,00120;-0,00111
0,1517;0,00105;-0,00173;0,00103
0,1568;0,00158;-0,00066;-0,00057
0,1616;0,00105;0,00147;0,00103
0,1667;0,00212;-0,00226;-0,00004
0,1718;-0,00161;-0,00279;-0,00111
0,1768;-0,00001;0,00147;-0,00111
0,1822;0,00158;-0,00013;-0,00057
0,1874;0,00105;0,00094;-0,00111
0,1920;-0,00001;0,00360;-0,00057
0,1980;0,00158;-0,00173;-0,00111
0,2023;0,00052;-0,00120;0,00103
0,2077;-0,00055;0,00147;0,00049
0,2123;0,00052;0,00040;-0,00217
0,2181;0,00105;-0,00013;-0,00164
0,2227;0,00212;0,00040;-0,00057
0,2282;0,00158;0,00094;0,00156
0,2363;-0,00001;-0,00066;0,00209
0,2381;0,00052;-0,00066;0,00049
0,2434;0,00158;0,00147;0,00049
0,2569;-0,00161;-0,00120;0,00103
0,2574;-0,00001;-0,00066;-0,00004
0,2583;-0,00055;0,00040;-0,00004
0,2635;-0,00055;0,00040;0,00049
0,2682;-0,00055;-0,00013;-0,00111
0,2737;-0,00001;0,00147;-0,00217
0,2785;0,00052;0,00094;-0,00164
0,2861;-0,00001;-0,00013;-0,00004
0,2886;-0,00055;-0,00120;-0,00111
0,2937;0,00052;0,00200;-0,00164
0,2990;-0,00055;-0,00120;-0,00004
0,3050;-0,00001;0,00040;-0,00004
0,3095;0,00158;-0,00066;-0,00057
0,3140;-0,00001;-0,00173;-0,00217
0,3199;-0,00214;-0,00120;-0,00004
0,3249;-0,00055;-0,00066;0,00103
0,3297;0,00052;-0,00013;-0,00004
0,3350;-0,00055;0,00040;0,00156
