time;X_value;Y_value;Z_value
0,0091;0,02313;0,01092;0,01937
0,0092;0,00754;0,01550;-0,03781
0,0115;-0,02349;-0,01794;-0,00661
0,0193;-0,04592;-0,01293;0,03620
0,0221;-0,00160;-0,01512;0,00502
0,0268;-0,00151;0,02531;0,02161
0,0337;0,02703;-0,02713;0,00242
0,0378;-0,02542;-0,01263;0,00953
0,0427;-0,02281;-0,00191;0,02252
0,0475;0,01544;0,01096;-0,00023
0,0524;0,01063;0,00363;-0,00261
0,0580;-0,00013;0,00252;0,01761
0,0628;-0,02740;0,00844;0,01271
0,0678;-0,01285;-0,02016;-0,02897
0,0726;0,00990;-0,00094;-0,02160
0,0781;0,02892;0,00979;-0,02023
0,0830;0,01445;-0,02007;0,01201
0,0884;-0,02963;-0,01035;0,00478
0,0934;0,02536;-0,02937;-0,03327
0,0984;-0,00580;0,01358;0,01690
0,1037;0,01444;0,00394;-0,05807
0,1095;-0,01058;0,01460;0,01130
0,1136;-0,00926;-0,01986;-0,00186
0,1220;0,00626;-0,00784;0,01716
0,1240;0,00617;-0,01129;0,00158
0,1285;-0,01519;0,00657;0,07402
0,1354;-0,00079;-0,00784;0,01639
0,1387;-0,00065;-0,01261;-0,00631
0,1440;0,02664;-0,03029;0,02581
0,1491;-0,00571;-0,03471;0,00303
0,1548;0,00256;-0,02616;0,02320
0,1595;0,00251;0,00486;-0,01501
0,1649;0,00613;-0,03918;-0,02913
0,1699;-0,01067;0,00380;0,03406
0,1749;0,01541;-0,00090;-0,03749
0,1800;-0,04641;-0,01039;0,05428
0,1846;-0,01158;0,00387;0,00870
0,1899;0,01351;0,00616;-0,00919
0,1949;-0,00068;-0,02596;-0,02931
0,2011;0,00280;-0,00444;0,00657
0,2053;-0,00203;0,01101;-0,02318
0,2109;0,00756;0,01213;0,00671
0,2153;0,02414;0,00963;-0,05155
0,2206;0,01562;-0,00832;0,02965
0,2256;0,01789;-0,00716;-0,03473
0,2362;-0,00003;0,00707;-0,00712
0,2363;-0,01194;-0,00725;-0,02844
0,2413;0,00475;-0,00484;0,02406
0,2459;0,00954;-0,02982;0,00485
0,2573;0,01177;0,00852;0,01075
0,2574;-0,01568;-0,00818;0,02610
0,2615;-0,00365;-0,01759;-0,01688
0,2662;0,02135;0,00278;-0,00011
0,2709;-0,01803;0,01704;0,02009
0,2763;0,00951;-0,00211;-0,01809
0,2811;-0,00003;0,01808;-0,00131
0,2865;0,00591;-0,02365;-0,00130
0,2915;-0,00964;-0,01154;-0,00604
0,2963;0,03330;0,00635;-0,03331
0,3015;0,02464;-0,00556;-0,03184
0,3066;-0,01355;-0,01620;-0,02445
0,3118;0,01385;0,00405;0,04346
0,3167;-0,01842;-0,00073;0,00984
0,3218;0,00543;0,01126;0,01807
0,3271;0,01604;0,03020;-0,02247
0,3323;-0,01142;-0,00215;-0,00684
0,3375;0,00889;-0,00330;-0,03054
0,3423;-0,01014;-0,00570;-0,00059
0,3471;0,04109;0,02647;-0,03740
0,3524;0,01687;-0,00949;0,00686
0,3613;0,00593;0,00355;0,00205
0,3626;0,00706;-0,01062;0,03647
0,3732;-0,00847;0,01916;0,03617
0,3734;-0,01674;-0,02019;-0,01521
0,3778;0,02612;-0,01184;-0,00795
0,3839;0,00220;-0,00224;-0,01026
0,3878;0,03065;-0,00341;-0,02680
0,3931;-0,00047;0,00739;0,00668
0,3983;-0,00986;-0,01514;0,07432
0,4035;0,01515;-0,01263;-0,04151
0,4086;-0,00873;0,03380;0,00872
0,4137;-0,01698;-0,02946;0,05379
0,4191;0,00216;-0,00549;0,00820
0,4237;0,00097;-0,00304;0,01526
0,4289;-0,02277;-0,00784;-0,01100
0,4343;0,00362;0,00999;-0,02159
0,4393;-0,02249;0,00389;0,07005
0,4449;-0,03897;-0,00324;0,00651
0,4499;-0,03862;-0,02227;0,02427
0,4549;0,00213;-0,00187;0,01457
0,4605;-0,02041;0,00538;-0,02000
0,4648;0,00596;0,00893;-0,03646
0,4698;-0,01896;0,00521;0,01373
0,4744;-0,00463;-0,02328;-0,02558
0,4803;0,00498;-0,00173;0,00195
0,4897;-0,02233;0,01124;-0,00638
0,4909;0,01100;-0,01736;-0,02889
0,4952;0,04651;-0,00180;-0,02509
0,5097;0,00700;-0,00888;0,00244
0,5098;0,00342;0,00301;-0,00352
0,5113;0,02244;-0,00062;-0,02130
0,5158;-0,00631;-0,00661;-0,01637
0,5217;0,00319;-0,01123;-0,01743
0,5250;-0,01107;-0,03024;-0,00540
0,5313;-0,00388;0,01151;0,02196
0,5355;0,00440;-0,01955;-0,00198
0,5435;0,00560;0,01265;-0,04472
0,5454;-0,00868;-0,00999;-0,01940
0,5511;-0,00859;-0,01469;-0,00499
0,5558;-0,01433;-0,00509;-0,02157
0,5608;-0,01301;-0,01462;0,00118
0,5660;0,01328;-0,00157;-0,01190
0,5710;-0,00106;-0,01462;0,02146
0,5759;-0,00116;0,00693;0,01415
0,5809;-0,00232;0,00088;-0,01210
0,5858;0,00009;-0,01813;-0,00368
0,5910;0,00608;-0,00604;0,00466
0,5960;-0,00937;0,03922;-0,00725
0,6010;0,02520;-0,02284;0,00469
0,6063;0,00002;-0,00499;-0,01198
0,6123;0,00471;0,01041;-0,01901
0,6244;0,01781;0,00442;-0,02597
0,6245;0,00812;-0,02534;0,01700
