time;X_value;Y_value;Z_value
0,0087;-24,70810;26,36305;-35,21256
0,0101;-22,14166;25,18243;-34,55346
0,0201;-24,73227;28,05165;-33,34489
0,0301;-22,17275;26,86762;-34,60685
0,0401;-23,42373;25,77331;-34,56284
0,0508;-22,80399;26,88446;-33,32192
0,0608;-24,70118;26,36646;-33,29149
0,0700;-23,42256;26,34071;-31,37885
0,0813;-22,80169;26,88560;-32,68157
0,0908;-22,16583;26,87102;-32,68578
0,1006;-22,15777;26,30816;-33,30833
0,1108;-24,69082;25,80473;-33,27370
0,1220;-24,70580;26,36419;-34,57221
0,1302;-22,80861;26,88219;-34,60264
0,1400;-23,42717;26,33844;-32,65956
0,1503;-22,11632;24,06123;-33,23714
0,1600;-22,80399;26,88446;-33,32192
0,1700;-22,77290;25,19927;-33,26853
0,1804;-22,78326;25,76100;-33,28633
0,1904;-23,42717;26,33844;-32,65956
0,2012;-23,42373;25,77331;-34,56284
0,2109;-24,69543;25,80246;-34,55441
0,2208;-22,19348;27,99108;-34,64245
0,2362;-25,33242;26,38330;-32,00657
0,2413;-22,79362;26,32273;-33,30412
0,2573;-24,70924;26,92932;-32,66894
0,2611;-24,66434;24,11726;-34,50101
0,2702;-23,42717;26,33844;-32,65956
0,2803;-23,40414;25,21612;-31,98361
0,2900;-22,14280;25,74870;-32,00983
0,3001;-23,42717;26,33844;-32,65956
0,3102;-22,78326;25,76100;-33,28633
0,3202;-23,45826;28,02364;-32,71295
0,3301;-22,16814;26,86989;-33,32613
0,3402;-23,39608;24,65325;-32,60617
0,3515;-23,47554;28,58196;-34,65182
0,3614;-22,83508;28,56966;-33,37532
0,3733;-24,68851;25,80586;-32,63334
0,3820;-21,49658;25,17239;-31,99625
0,3906;-24,69888;26,36759;-32,65114
0,4007;-22,78788;25,75873;-34,56705
0,4106;-23,42487;26,33958;-32,01920
0,4207;-24,68851;25,80586;-32,63334
0,4308;-22,14510;25,74756;-32,65018
0,4404;-22,78326;25,76100;-33,28633
0,4505;-25,32780;26,38557;-30,72585
0,4605;-22,78788;25,75873;-34,56705
0,4703;-22,77752;25,19700;-34,54925
0,4810;-23,41567;25,21044;-35,18539
0,4910;-23,43640;26,33390;-35,22099
0,5095;-22,79362;26,32273;-33,30412
0,5106;-22,13705;25,18470;-33,27274
0,5216;-22,83508;28,56966;-33,37532
0,5313;-23,43753;26,90017;-32,67736
0,5419;-22,16239;26,30589;-34,58906
0,5510;-22,16583;26,87102;-32,68578
0,5608;-23,41911;25,77558;-33,28212
0,5704;-23,40875;25,21385;-33,26432
0,5800;-23,40300;24,64985;-34,52724
0,5900;-22,77060;25,20041;-32,62817
0,6001;-22,77865;25,76327;-32,00562
0,6123;-22,77752;25,19700;-34,54925
0,6244;-25,34165;26,37877;-34,56800
0,6300;-23,41336;25,21158;-34,54504
0,6400;-22,79824;26,32047;-34,58485
0,6511;-22,79824;26,32047;-34,58485
0,6605;-22,79132;26,32387;-32,66377
0,6707;-23,42256;26,34071;-31,37885
0,6812;-22,78326;25,76100;-33,28633
0,6909;-22,15433;25,74302;-35,21161
0,7019;-24,70118;26,36646;-33,29149
0,7112;-22,17506;26,86648;-35,24721
0,7209;-23,41681;25,77671;-32,64176
0,7307;-23,43640;26,33390;-35,22099
0,7407;-22,13474;25,18583;-32,63239
0,7508;-23,42256;26,34071;-31,37885
0,7671;-23,43523;26,90131;-32,03700
0,7702;-22,78788;25,75873;-34,56705
0,7814;-22,79132;26,32387;-32,66377
0,7924;-23,41911;25,77558;-33,28212
0,8005;-23,40644;25,21498;-32,62396
