time;X_value;Y_value;Z_value
0,0087;0,68443;-0,70297;41,31142
0,0091;0,68527;-0,70326;41,31184
0,0101;0,68439;-0,70362;41,31098
0,0116;0,68431;-0,70487;41,31015
0,0204;0,68497;-0,70429;41,31099
0,0219;0,68685;-0,70299;41,31314
0,0300;0,68688;-0,70178;41,31392
0,0337;0,68737;-0,70347;41,31322
0,0402;0,68616;-0,70198;41,31327
0,0427;0,68767;-0,70120;41,31485
0,0508;0,68889;-0,70155;41,31551
0,0524;0,68841;-0,70336;41,31403
0,0608;0,68832;-0,70415;41,31348
0,0627;0,68843;-0,70365;41,31387
0,0709;0,69004;-0,70405;41,31477
0,0728;0,69111;-0,70323;41,31606
0,0812;0,69106;-0,70289;41,31623
0,0830;0,69025;-0,70322;41,31544
0,0906;0,68964;-0,70269;41,31534
0,0935;0,69106;-0,70187;41,31687
0,1005;0,69041;-0,70106;41,31690
0,1036;0,69033;-0,70203;41,31625
0,1108;0,68962;-0,70241;41,31550
0,1136;0,69042;-0,70311;41,31564
0,1221;0,69114;-0,70151;41,31715
0,1239;0,69079;-0,70127;41,31704
0,1305;0,69029;-0,70040;41,31722
0,1350;0,69142;-0,70099;41,31768
0,1400;0,69157;-0,70120;41,31765
0,1438;0,69236;-0,70107;41,31830
0,1503;0,69085;-0,69941;41,31824
0,1547;0,69078;-0,69723;41,31955
0,1603;0,69014;-0,69624;41,31970
0,1701;0,68983;-0,69695;41,31905
0,1701;0,68997;-0,69535;41,32013
0,1803;0,68980;-0,69615;41,31951
0,1804;0,68826;-0,69566;41,31871
0,1904;0,69093;-0,69511;41,32098
0,1907;0,69146;-0,69575;41,32096
0,2012;0,69108;-0,69636;41,32031
0,2012;0,69217;-0,69510;41,32187
0,2108;0,69152;-0,69535;41,32125
0,2108;0,69128;-0,69605;41,32064
0,2206;0,69133;-0,69649;41,32040
0,2207;0,69030;-0,69714;41,31927
0,2314;0,68949;-0,69701;41,31876
0,2361;0,68875;-0,69729;41,31805
0,2411;0,68903;-0,69812;41,31773
0,2412;0,68943;-0,69779;41,31824
0,2572;0,68899;-0,69769;41,31798
0,2573;0,68894;-0,69668;41,31857
0,2614;0,68801;-0,69663;41,31793
0,2614;0,68857;-0,69621;41,31860
0,2702;0,68888;-0,69519;41,31945
0,2709;0,68795;-0,69517;41,31879
0,2803;0,68879;-0,69584;41,31899
0,2811;0,68877;-0,69573;41,31903
0,2900;0,68904;-0,69676;41,31859
0,2911;0,68872;-0,69560;41,31908
0,3003;0,68884;-0,69487;41,31962
0,3015;0,68781;-0,69535;41,31858
0,3101;0,68628;-0,69494;41,31774
0,3115;0,68707;-0,69415;41,31879
0,3202;0,68618;-0,69478;41,31776
0,3218;0,68658;-0,69473;41,31808
0,3303;0,68595;-0,69463;41,31769
0,3322;0,68498;-0,69597;41,31616
0,3402;0,68550;-0,69602;41,31651
0,3423;0,68520;-0,69572;41,31647
0,3515;0,68596;-0,69575;41,31701
0,3526;0,68439;-0,69676;41,31525
0,3613;0,68289;-0,69692;41,31407
0,3626;0,68194;-0,69771;41,31290
0,3733;0,68154;-0,69654;41,31333
0,3734;0,68175;-0,69745;41,31291
0,3820;0,68238;-0,69647;41,31399
0,3860;0,68092;-0,69665;41,31281
0,3906;0,68110;-0,69655;41,31301
0,3933;0,67941;-0,69640;41,31189
0,4011;0,67955;-0,69629;41,31205
0,4039;0,68057;-0,69488;41,31366
0,4106;0,67981;-0,69428;41,31349
0,4135;0,68020;-0,69593;41,31275
0,4207;0,68096;-0,69461;41,31412
0,4237;0,68081;-0,69449;41,31409
0,4307;0,68087;-0,69417;41,31432
0,4346;0,68211;-0,69425;41,31517
0,4409;0,68238;-0,69505;41,31486
0,4448;0,68371;-0,69566;41,31544
0,4510;0,68542;-0,69533;41,31687
0,4552;0,68742;-0,69452;41,31882
0,4608;0,68758;-0,69427;41,31908
