time;X_value;Y_value;Z_value
0,0040;-0,05819;0,17339;9,86105
0,0113;-0,06538;0,19734;9,88980
0,0219;-0,05579;0,17818;9,84668
0,0318;-0,06777;0,16141;9,83710
0,0419;-0,04621;0,19974;9,86584
0,0527;-0,03423;0,22609;9,85626
0,0627;-0,05100;0,14225;9,84428
0,0727;-0,08693;0,15423;9,85387
0,0828;-0,07735;0,14225;9,81793
0,0928;-0,04142;0,19255;9,80835
0,1033;-0,05100;0,20453;9,85626
0,1133;-0,06298;0,13506;9,88501
0,1309;-0,07256;0,18776;9,84668
0,1353;-0,06777;0,17818;9,83231
0,1451;-0,08693;0,16381;9,87064
0,1553;-0,06058;0,13506;9,90417
0,1647;-0,08454;0,15183;9,88740
0,1725;-0,06298;0,13267;9,85147
0,1824;-0,07735;0,19016;9,83949
0,1931;-0,06298;0,15423;9,86584
0,2033;-0,05340;0,19495;9,86824
0,2136;-0,08933;0,19495;9,86584
0,2238;-0,04382;0,21651;9,84189
0,2349;-0,06538;0,14225;9,78919
0,2451;-0,02465;0,18297;9,86105
0,2558;-0,04621;0,16860;9,87782
0,2647;-0,07975;0,13746;9,83949
0,2754;-0,06058;0,14704;9,84907
0,2848;-0,09173;0,17099;9,82272
0,2951;-0,07975;0,16860;9,92094
0,3056;-0,04861;0,16141;9,82033
0,3156;-0,10131;0,18776;9,85387
0,3219;-0,07975;0,17818;9,84668
0,3318;-0,06538;0,14464;9,83470
0,3427;-0,06058;0,15423;9,81554
0,3522;-0,05340;0,14704;9,83231
0,3622;-0,07256;0,13746;9,84907
0,3828;-0,02705;0,14704;9,83470
0,3848;-0,08454;0,19734;9,83231
0,3927;-0,02944;0,16860;9,85147
0,4034;-0,05579;0,19016;9,85387
0,4136;-0,07017;0,14943;9,87303
0,4233;-0,05819;0,13506;9,86584
0,4335;-0,07256;0,17339;9,88022
0,4451;-0,06777;0,14704;9,83710
0,4548;-0,11568;0,17099;9,85866
0,4651;-0,05340;0,16141;9,85147
0,4728;-0,12287;0,18537;9,87303
0,4839;-0,07975;0,20213;9,87303
