time;X_value;Y_value;Z_value
0,0084;0,00178;0,00366;-0,00016
0,0158;-0,00089;0,00206;-0,00070
0,0255;0,00018;0,00152;0,00090
0,0358;-0,00142;-0,00114;-0,00070
0,0456;-0,00035;-0,00007;0,00037
0,0558;0,00231;-0,00114;-0,00176
0,0655;-0,00142;0,00152;0,00037
0,0760;-0,00195;0,00099;-0,00070
0,0863;-0,00089;0,00152;-0,00016
0,0966;0,00178;-0,00061;0,00090
0,1091;0,00178;-0,00061;-0,00123
0,1166;0,00018;0,00312;-0,00070
0,1310;0,00125;0,00046;0,00090
0,1401;-0,00142;0,00046;-0,00176
0,1467;0,00178;-0,00007;-0,00123
0,1572;0,00018;0,00099;-0,00016
0,1673;0,00178;-0,00061;-0,00176
0,1780;-0,00195;0,00099;-0,00176
0,1882;0,00231;-0,00061;-0,00176
0,1980;0,00071;-0,00114;-0,00229
0,2090;0,00231;-0,00007;0,00250
0,2184;-0,00035;0,00312;0,00037
0,2323;-0,00248;-0,00114;0,00037
0,2451;-0,00089;-0,00114;-0,00123
0,2487;0,00125;0,00046;-0,00123
0,2589;0,00125;0,00046;-0,00016
0,2689;-0,00035;-0,00167;-0,00016
0,2793;0,00071;0,00152;-0,00336
0,2896;0,00178;-0,00061;-0,00070
0,2993;0,00338;0,00099;0,00090
0,3096;0,00018;0,00259;-0,00070
0,3199;0,00284;0,00099;-0,00176
0,3260;0,00071;-0,00167;-0,00070
0,3358;0,00071;0,00152;-0,00016
0,3461;0,00071;0,00152;-0,00016
0,3582;0,00125;0,00046;-0,00123
0,3659;0,00018;0,00206;-0,00123
0,3829;0,00071;0,00099;-0,00229
0,3858;-0,00195;-0,00167;0,00037
0,4070;0,00338;-0,00061;0,00090
0,4092;0,00178;0,00046;-0,00016
0,4163;0,00125;0,00099;-0,00123
0,4263;0,00338;0,00152;-0,00070
0,4363;0,00178;-0,00007;-0,00016
0,4465;0,00018;0,00152;-0,00229
0,4569;0,00178;0,00152;-0,00016
0,4666;0,00284;-0,00167;-0,00123
0,4773;0,00284;-0,00061;0,00090
0,4878;0,00338;0,00259;-0,00176
0,4981;0,00231;0,00046;-0,00123
0,5089;0,00231;0,00046;0,00143
0,5186;0,00018;0,00152;-0,00070
0,5285;-0,00035;-0,00220;0,00037
0,5389;0,00231;0,00152;-0,00123
0,5483;0,00018;-0,00061;-0,00070
0,5596;-0,00089;0,00099;0,00037
0,5688;0,00178;-0,00007;-0,00229
0,5792;0,00125;0,00099;-0,00123
0,5902;0,00018;-0,00061;0,00037
0,5997;0,00018;-0,00114;-0,00070
0,6121;0,00231;0,00046;-0,00016
0,6202;0,00071;-0,00167;-0,00070
0,6329;-0,00195;-0,00167;-0,00070
0,6363;0,00018;0,00099;-0,00176
0,6456;0,00284;-0,00114;-0,00016
0,6568;0,00071;-0,00114;-0,00176
0,6692;0,00071;0,00046;-0,00176
0,6764;-0,00035;0,00046;0,00037
0,6866;0,00125;0,00046;-0,00070
0,6962;0,00231;-0,00007;-0,00016
0,7080;0,00071;0,00046;-0,00016
0,7167;-0,00035;0,00259;0,00037
0,7269;0,00018;0,00099;-0,00070
0,7369;0,00125;-0,00061;-0,00016
0,7470;0,00071;0,00099;-0,00336
0,7692;0,00125;-0,00061;-0,00016
0,7695;0,00071;-0,00007;-0,00016
0,7783;0,00444;-0,00167;-0,00123
0,7882;0,00071;0,00099;-0,00070
0,7985;0,00178;0,00099;-0,00016
0,8093;0,00178;0,00046;0,00143
0,8188;0,00231;0,00046;-0,00070
0,8301;0,00178;-0,00114;0,00037
0,8395;0,00071;-0,00061;-0,00070
0,8492;0,00178;0,00099;-0,00336
0,8599;-0,00142;-0,00061;-0,00016
0,8698;0,00125;0,00312;0,00143
0,8850;0,00071;0,00046;0,00090
0,8914;0,00284;-0,00061;0,00090
0,8996;0,00231;-0,00007;-0,00016
0,9125;-0,00035;0,00046;-0,00123
0,9200;0,00018;-0,00007;0,00090
0,9308;0,00284;0,00152;-0,00176
0,9359;0,00231;-0,00114;-0,00016
0,9470;0,00018;0,00152;-0,00016
0,9569;-0,00035;0,00046;-0,00070
0,9674;0,00178;-0,00007;-0,00176
0,9764;0,00178;-0,00061;-0,00229
0,9860;0,00231;0,00099;-0,00070
0,9969;0,00178;-0,00007;0,00037
1,0065;0,00071;0,00046;-0,00016
1,0231;0,00125;0,00152;0,00090
1,0266;0,00071;-0,00220;-0,00176
1,0364;-0,00035;-0,00007;-0,00016
1,0467;0,00178;-0,00167;0,00037
1,0569;0,00125;0,00152;-0,00070
1,0666;0,00125;-0,00007;0,00143
1,0802;0,00071;-0,00007;-0,00070
1,0872;-0,00089;-0,00114;0,00143
1,0975;0,00018;0,00046;-0,00123
1,1086;0,00231;0,00099;-0,00123
1,1201;-0,00089;0,00046;-0,00016
1,1327;0,00071;-0,00114;0,00037
1,1379;0,00125;-0,00061;-0,00070
1,1484;-0,00195;0,00099;-0,00070
1,1583;-0,00089;0,00099;-0,00123
1,1686;0,00231;0,00206;0,00143
1,1789;0,00018;-0,00061;0,00037
1,1897;-0,00089;0,00099;-0,00016
1,1990;0,00125;0,00099;0,00090
1,2096;0,00071;-0,00061;-0,00016
1,2197;0,00071;0,00259;-0,00176
1,2301;0,00231;-0,00007;-0,00176
1,2366;0,00231;0,00152;0,00090
1,2463;0,00125;0,00046;-0,00070
1,2568;0,00018;-0,00007;-0,00070
1,2651;0,00071;-0,00061;-0,00123
1,2764;0,00391;-0,00007;-0,00016
1,2859;0,00125;0,00152;-0,00016
1,2955;-0,00089;0,00099;0,00090
1,3058;0,00178;-0,00007;0,00037
1,3161;0,00018;-0,00061;-0,00016
