time;X_value;Y_value;Z_value
0,0084;-0,00828;-0,04535;0,01931
0,0153;0,00493;-0,01182;0,07356
0,0255;0,01687;-0,01183;0,04777
0,0358;-0,00457;-0,03301;-0,02136
0,0456;0,00134;-0,02185;-0,08375
0,0559;-0,02003;-0,01458;0,04265
0,0656;0,02416;-0,00772;0,03250
0,0762;0,01465;0,01180;0,03000
0,0861;0,00523;0,00830;-0,05103
0,0966;0,01589;-0,01167;-0,04673
0,1091;-0,00694;-0,01079;0,00133
0,1166;-0,01768;-0,00372;0,05627
0,1310;0,00896;-0,02620;0,00116
0,1368;-0,00171;-0,00935;-0,03557
0,1469;0,00066;-0,04127;0,01014
0,1582;0,01380;-0,00436;-0,00303
0,1671;0,00064;0,00760;0,01569
0,1780;0,00905;-0,03386;-0,00482
0,1882;0,00415;0,00456;-0,01494
0,1977;-0,00423;-0,01722;0,00796
0,2090;0,00884;0,01136;0,00047
0,2189;-0,02560;0,00856;0,01570
0,2323;0,01054;0,01814;0,01651
0,2450;0,01040;-0,02102;-0,02741
0,2487;0,03997;0,00870;-0,00216
0,2585;0,02773;-0,00088;-0,00334
0,2689;-0,00575;-0,02465;0,00107
0,2791;0,00966;-0,01132;-0,00970
0,2893;-0,01287;0,01139;-0,01320
0,2993;-0,02453;-0,01028;0,04877
0,3099;0,02903;0,00515;-0,02162
0,3196;-0,02672;0,00032;-0,03677
0,3263;-0,00269;-0,00458;-0,02340
0,3358;-0,03601;0,01078;-0,00993
0,3461;0,02739;-0,01906;-0,02162
0,3582;-0,00710;-0,05684;0,02248
0,3658;-0,00945;-0,00642;0,04021
0,3828;-0,00671;-0,00383;0,00518
0,3860;-0,01650;0,00697;0,01144
0,3961;-0,00695;-0,03340;-0,01590
0,4090;0,01080;-0,01550;-0,00759
0,4182;-0,00923;0,02003;-0,01111
0,4270;0,02514;-0,01813;-0,04540
0,4366;-0,02019;-0,00627;-0,01754
0,4465;0,01328;-0,00395;-0,00296
0,4571;0,00130;0,01644;0,04229
0,4668;-0,00201;-0,01956;-0,01617
0,4772;-0,03200;0,00763;0,00190
0,4879;0,00500;0,01680;-0,00127
0,4981;0,02036;-0,01228;-0,02834
0,5081;0,02016;-0,01823;-0,04046
0,5186;-0,00260;0,00343;0,01923
0,5289;-0,03461;0,00460;0,03720
0,5395;0,00597;-0,01202;-0,00232
0,5482;0,01900;0,01176;-0,01288
0,5596;0,00929;-0,02507;-0,02559
0,5688;-0,00250;-0,01771;0,00909
0,5792;0,00727;-0,00945;0,05884
0,5902;0,02404;-0,01186;-0,01912
0,6000;0,00826;0,02995;-0,00131
0,6120;0,00681;0,03179;-0,00130
0,6200;0,01988;-0,03045;0,01507
0,6330;0,00298;0,00780;-0,01845
0,6360;0,00429;-0,03149;-0,01117
0,6459;-0,00164;-0,03016;-0,00663
0,6566;0,01132;-0,01566;0,00029
0,6692;0,00140;0,00577;-0,00593
0,6766;0,01787;-0,03222;0,04046
0,6865;-0,00253;0,01329;-0,00844
0,6964;-0,03594;-0,02004;0,02523
0,7071;0,00121;0,00599;0,03926
0,7165;-0,01052;-0,02602;-0,02048
0,7272;0,01950;-0,00543;0,01869
0,7415;0,02325;-0,00797;0,01284
0,7470;-0,01140;-0,01039;0,02327
0,7692;-0,00172;-0,03895;0,01004
0,7694;-0,01803;0,00185;-0,00532
0,7783;0,02246;-0,02562;-0,08346
0,7892;0,01363;0,02504;-0,02452
0,7985;-0,00403;-0,01547;0,04562
0,8093;0,01756;0,00485;-0,00106
0,8188;0,00776;0,00822;-0,01412
0,8290;-0,00914;0,00820;-0,06468
0,8395;-0,00561;-0,00838;0,01671
0,8502;-0,00207;-0,01666;0,04524
0,8599;0,00639;-0,00951;0,02567
0,8698;-0,02352;0,00609;-0,01490
0,8850;-0,03493;0,01773;0,02183
0,8917;-0,00493;-0,00155;0,01918
0,8992;0,00341;-0,00180;-0,01916
0,9125;-0,01204;-0,04350;0,01052
0,9209;-0,00715;0,03208;-0,02862
0,9308;-0,00723;-0,03120;-0,00338
0,9363;-0,00353;0,01049;0,04654
0,9465;-0,03329;-0,00515;0,03897
0,9568;0,00622;-0,00122;0,01004
0,9665;-0,02938;-0,01649;-0,00143
0,9764;-0,00190;-0,01076;-0,03937
0,9864;0,01122;-0,01665;-0,00949
0,9969;0,01346;-0,00003;0,01536
1,0065;0,02890;0,00042;0,01410
1,0231;-0,02603;0,00996;-0,00138
1,0266;-0,03059;-0,00537;-0,01198
1,0367;-0,03043;-0,01594;0,00014
1,0464;-0,00915;-0,02517;0,03217
1,0568;0,00737;-0,00719;-0,04803
1,0669;-0,00577;-0,00940;-0,00101
1,0796;0,00975;0,00018;-0,02068
1,0887;-0,00441;-0,01539;-0,00988
1,0994;0,00507;-0,01517;0,01478
1,1092;0,00040;0,00005;-0,01746
1,1200;-0,00686;-0,01314;-0,02192
1,1328;-0,01652;0,00824;0,04051
1,1389;0,01065;-0,03350;0,01395
1,1485;-0,00975;0,00248;0,03044
1,1584;-0,00347;0,00263;0,02399
1,1686;0,01424;-0,02104;-0,05948
1,1789;0,00572;-0,00462;0,00884
1,1898;0,00083;0,00271;-0,00427
1,1996;0,00552;-0,03635;-0,01543
1,2114;0,03069;-0,01839;-0,02225
1,2197;0,00667;-0,00432;-0,00632
1,2302;-0,00872;-0,02222;-0,01303
1,2400;-0,00035;-0,02796;0,03930
1,2463;-0,00384;-0,01950;0,04491
1,2568;0,01998;0,01157;0,01359
1,2660;-0,01122;-0,00792;-0,01979
1,2764;-0,00746;0,00643;0,02458
1,2860;0,01839;-0,00232;0,05093
1,2956;-0,01008;-0,00705;0,02442
1,3059;0,02448;-0,01269;-0,01607
1,3161;0,02194;-0,00464;-0,03372
1,3263;-0,00673;-0,01084;0,01283
1,3368;-0,00871;-0,01440;0,04000
1,3467;-0,00266;-0,01693;0,03716
1,3576;-0,00969;-0,00382;0,05110
1,3674;-0,01568;-0,00373;-0,01356
1,3876;-0,00212;-0,01425;0,07543
1,3885;0,00015;-0,02843;0,03924
1,3981;0,00386;-0,01182;0,02794
1,4074;-0,01063;-0,00087;-0,00924
1,4177;-0,00923;-0,01754;0,01713
1,4287;-0,00064;-0,03192;-0,01142
1,4388;0,00694;-0,03204;-0,00933
1,4491;0,01399;-0,02709;-0,03549
1,4586;-0,01075;-0,00441;0,00398
1,4692;-0,00008;0,00886;-0,00782
1,4795;0,00937;0,01358;-0,00668
1,4904;-0,01446;0,00032;0,02929
1,5010;-0,01898;-0,02948;0,06325
1,5099;-0,01892;0,00150;0,00667
1,5223;-0,01055;0,00729;0,00322
1,5296;0,01209;-0,02018;0,02444
1,5400;0,03586;-0,00953;0,03363
1,5459;-0,01435;-0,01187;0,01078
1,5566;-0,00224;0,00483;-0,03802
1,5665;-0,02947;-0,00837;-0,02003
1,5763;0,00988;-0,00122;-0,01734
1,5871;-0,00459;-0,00491;-0,00874
1,5962;0,01573;-0,03795;0,00063
1,6067;-0,02723;-0,02323;-0,01849
1,6164;0,01087;0,00654;-0,00385
1,6265;0,03351;-0,02302;0,03221
1,6389;0,00587;-0,00513;0,04617
1,6485;-0,01804;-0,06470;0,02209
1,6570;0,00458;-0,00139;0,00550
1,6671;0,01405;-0,02544;0,00544
1,6771;0,00065;-0,00401;0,02788
1,6878;0,00405;0,00324;-0,00834
1,6972;-0,01280;0,00911;-0,05337
1,7078;0,02653;-0,00266;-0,03352
1,7187;0,00836;-0,00242;-0,01848
1,7288;0,01468;-0,01188;-0,01365
1,7397;0,00513;-0,03112;-0,00992
1,7488;-0,00416;0,00730;0,01003
1,7602;-0,01589;-0,01518;-0,00219
1,7770;-0,00287;-0,02677;-0,03307
1,7804;-0,01097;-0,01295;0,00786
1,7913;0,00335;0,02392;-0,05419
1,7993;-0,01691;-0,00332;-0,00145
1,8097;0,01884;0,01735;0,00331
1,8199;-0,02042;0,01847;0,03319
1,8308;-0,00696;-0,03495;0,01516
1,8470;-0,01041;-0,02536;0,00695
1,8500;-0,01975;-0,02139;-0,01205
1,8552;0,00192;-0,01286;-0,04402
1,8658;-0,01466;0,00156;0,00077
1,8758;-0,01577;-0,00789;-0,01108
1,8857;0,00470;0,00174;-0,01571
1,8959;0,00813;-0,00662;0,02263
1,9056;0,00206;0,00897;0,02340
1,9177;0,00235;-0,00299;-0,00524
1,9261;-0,02489;0,00196;-0,03870
1,9364;0,00609;-0,04199;0,03306
1,9466;0,02249;-0,00374;0,00679
1,9566;0,01149;-0,01077;0,02335
1,9674;0,01855;-0,00107;-0,00028
1,9777;0,00988;-0,01766;0,03683
1,9873;0,00259;0,01097;-0,03451
1,9974;0,00375;-0,01182;-0,00923
2,0083;-0,01399;-0,01425;0,04888
2,0183;-0,01019;0,00838;0,01159
2,0278;-0,00046;-0,03824;0,00440
2,0386;-0,01587;0,01550;0,00568
2,0490;0,04839;-0,00373;-0,01575
2,0585;0,02198;0,00120;0,00717
2,0692;0,01961;0,01677;0,00248
2,0791;0,01084;-0,03093;0,01691
2,0901;-0,00975;0,00959;0,04320
2,0992;-0,00486;-0,00839;0,01420
2,1095;0,01535;-0,00606;-0,03604
2,1204;0,00427;-0,04071;-0,02122
2,1308;-0,00773;-0,00497;-0,02105
2,1402;-0,00883;-0,00531;-0,00315
2,1568;0,01006;-0,03139;-0,00517
2,1568;-0,01503;0,03413;-0,00275
2,1663;-0,01839;-0,00582;0,02921
2,1757;-0,00019;-0,02105;0,01566
2,1860;-0,01433;-0,01146;-0,01270
2,1965;-0,01442;0,00498;0,01379
2,2062;0,01528;-0,02393;0,01542
2,2168;-0,01094;-0,00476;0,01930
2,2262;-0,03333;-0,00004;0,02745
2,2365;0,01239;0,00934;0,00125
2,2468;-0,00427;0,00456;-0,03730
2,2573;-0,00300;-0,00381;0,01150
2,2742;-0,01378;0,04710;0,00429
2,2788;-0,03051;0,02078;0,00556
2,2901;0,02431;-0,00456;-0,02172
2,2976;0,00128;-0,03998;0,00554
2,3084;-0,00591;-0,00258;-0,00027
2,3175;-0,01067;0,00094;0,04139
2,3283;0,00608;-0,03122;0,01015
2,3393;-0,01059;0,01172;-0,00533
2,3503;0,01647;0,00696;0,01025
2,3595;-0,00389;0,01758;0,04330
2,3691;0,01756;0,00189;0,01913
2,3792;0,00095;-0,02437;0,01420
2,3929;-0,01222;-0,00883;0,00095
2,4103;-0,00884;0,00656;-0,03801
