time;X_value;Y_value;Z_value
0,0048;-0,08454;0,16860;9,90178
0,0048;-0,03663;0,17099;9,91854
0,0075;-0,03184;0,15662;9,93531
0,0152;-0,06058;0,17578;9,89938
0,0153;-0,05579;0,17099;9,84907
0,0153;-0,09173;0,18776;9,87542
0,0173;-0,07256;0,18297;9,83710
0,0198;-0,08933;0,15183;9,82512
0,0222;-0,09891;0,16141;9,82512
0,0282;-0,11328;0,14225;9,81314
0,0282;-0,06058;0,16381;9,85626
0,0299;-0,08454;0,17099;9,82752
0,0324;-0,03663;0,19016;9,88022
0,0352;-0,04861;0,16620;9,81793
0,0377;-0,04621;0,19974;9,83470
0,0403;-0,07017;0,16620;9,87303
0,0428;-0,05579;0,15662;9,88261
0,0452;-0,06538;0,20453;9,89699
0,0478;-0,07017;0,13746;9,89699
0,0504;-0,04382;0,18297;9,84428
0,0528;-0,02465;0,19495;9,87064
0,0554;-0,02705;0,15662;9,86105
0,0584;-0,05100;0,14704;9,89699
0,0606;-0,03423;0,15183;9,85626
0,0632;-0,03423;0,20213;9,85147
0,0679;-0,09891;0,17339;9,87064
0,0679;-0,11089;0,19734;9,90417
0,0711;-0,05100;0,20453;9,81314
0,0736;-0,07256;0,16381;9,82272
0,0758;-0,09173;0,16860;9,80596
0,0792;-0,06058;0,16860;9,83710
0,0817;-0,02705;0,19495;9,85626
0,0841;-0,02944;0,15662;9,86105
0,0870;-0,10610;0,17099;9,88501
0,0892;-0,08214;0,16381;9,83710
0,0921;-0,04861;0,20932;9,84668
0,0944;-0,07735;0,18537;9,91854
0,0973;-0,06538;0,17339;9,88022
0,0998;-0,07017;0,18058;9,90896
0,1020;-0,04382;0,18297;9,88740
0,1044;-0,04142;0,17099;9,91136
0,1074;-0,08454;0,19255;9,84907
0,1097;-0,04861;0,16381;9,82752
0,1124;-0,04382;0,16620;9,77721
0,1151;-0,06058;0,20453;9,87542
0,1167;-0,08214;0,19495;9,87782
0,1187;-0,04621;0,13985;9,87064
0,1221;-0,07735;0,20453;9,84907
0,1243;-0,06538;0,17818;9,82752
0,1265;-0,10131;0,17099;9,83470
0,1293;-0,11089;0,18058;9,86584
0,1320;-0,09412;0,17818;9,82991
0,1346;-0,03184;0,19255;9,84189
0,1371;-0,03423;0,19734;9,87542
0,1393;-0,04861;0,17578;9,87303
0,1448;-0,07496;0,15902;9,91854
0,1449;-0,06777;0,15183;9,97364
0,1472;-0,07735;0,16141;9,86105
0,1499;-0,11328;0,18058;9,88261
0,1526;-0,09173;0,16381;9,89938
0,1550;-0,06298;0,20213;9,89699
0,1570;-0,04621;0,17339;9,87303
0,1663;-0,03902;0,18297;9,80596
0,1665;-0,04382;0,18297;9,87303
0,1665;-0,03423;0,14704;9,83710
0,1670;-0,08693;0,20453;9,82991
0,1703;-0,08214;0,17818;9,80596
0,1726;-0,02705;0,19734;9,87303
0,1753;-0,10131;0,19016;9,87064
0,1771;-0,04621;0,15423;9,76284
0,1802;-0,05819;0,13746;9,81314
0,1822;-0,05100;0,20213;9,89459
0,1853;-0,04142;0,16381;9,86345
0,1881;-0,06777;0,17099;9,84189
0,1902;-0,07256;0,14704;9,89699
0,1925;-0,03902;0,15423;9,90657
0,1957;-0,09173;0,19734;9,90896
0,1978;-0,06777;0,17578;9,89699
0,2010;-0,07735;0,16860;9,90896
0,2027;-0,04621;0,16860;9,84907
0,2057;-0,06777;0,12308;9,86105
0,2081;-0,07975;0,14464;9,88022
0,2103;-0,06298;0,18297;9,89938
0,2127;-0,09173;0,20932;9,88261
0,2158;-0,07735;0,18058;9,84428
0,2188;-0,08214;0,21890;9,87542
0,2204;-0,05819;0,21651;9,82272
0,2231;-0,08214;0,14464;9,85147
0,2263;-0,06538;0,17099;9,81075
0,2284;-0,08454;0,19974;9,82991
0,2320;-0,08454;0,19495;9,82752
0,2333;-0,07256;0,19016;9,82991
0,2369;-0,01986;0,12069;9,84907
0,2383;-0,05100;0,18297;9,86105
0,2416;-0,05340;0,17578;9,87782
0,2433;-0,06298;0,15662;9,85387
0,2465;-0,10849;0,17099;9,88980
0,2494;-0,05819;0,17578;9,87303
0,2518;-0,07256;0,17339;9,90178
0,2538;-0,11089;0,16141;9,96166
0,2563;-0,09652;0,17339;9,86584
0,2590;-0,08933;0,16141;9,88261
0,2624;-0,08454;0,12788;9,88022
0,2636;-0,06298;0,17818;9,84428
0,2691;-0,02705;0,19255;9,77721
0,2692;-0,09652;0,21651;9,82752
0,2724;-0,08693;0,19734;9,85387
0,2739;-0,04382;0,19734;9,87782
0,2829;-0,05579;0,22849;9,84907
0,2830;-0,03423;0,17099;9,82272
0,2831;-0,04621;0,16620;9,83710
0,2840;-0,07017;0,18537;9,82991
0,2868;-0,06058;0,15423;9,84907
0,2893;-0,04382;0,14225;9,83470
0,2948;-0,06538;0,20932;9,91615
0,2951;-0,09173;0,16141;9,96166
0,2973;-0,04142;0,17818;9,83231
0,2997;0,01368;0,21172;9,74367
0,3026;-0,10610;0,16620;9,87542
0,3046;-0,06298;0,15183;9,88022
0,3069;-0,06298;0,16381;9,82991
0,3100;-0,10610;0,17339;9,94250
0,3129;-0,04621;0,18537;9,85147
0,3147;-0,06777;0,21411;9,83710
0,3174;-0,05819;0,16620;9,86824
0,3197;-0,03663;0,14943;9,84428
0,3222;-0,06058;0,20213;9,87303
0,3248;-0,05100;0,19016;9,83949
0,3271;-0,08693;0,17099;9,88501
0,3298;-0,07256;0,19255;9,81554
0,3326;-0,05579;0,19016;9,83231
0,3349;-0,08693;0,19495;9,82033
0,3374;-0,06538;0,15662;9,86345
0,3399;-0,08693;0,17339;9,88261
0,3425;-0,08933;0,19734;9,88980
0,3455;-0,04382;0,17099;9,85626
0,3476;-0,05340;0,14704;9,80835
0,3505;-0,02944;0,16141;9,89938
0,3527;-0,02226;0,18058;9,88740
0,3558;-0,09412;0,15183;9,87064
0,3577;-0,07256;0,15662;9,89219
0,3606;-0,12287;0,20693;9,94969
0,3628;-0,06298;0,16381;9,82033
0,3661;-0,07496;0,13267;9,82512
0,3677;-0,06058;0,13985;9,83231
0,3706;-0,07975;0,16381;9,85626
0,3729;-0,10370;0,17818;9,88022
0,3766;-0,09412;0,17818;9,81793
0,3779;-0,04621;0,15423;9,88261
0,3812;-0,06777;0,17818;9,84907
0,3836;-0,06058;0,15183;9,80117
0,3870;-0,03902;0,18537;9,79877
0,3883;-0,05819;0,18058;9,85626
0,3913;-0,05819;0,20932;9,91615
0,3950;-0,02465;0,24046;9,90657
0,3964;-0,04142;0,21172;9,82272
0,3993;-0,06058;0,16620;9,84668
0,4015;-0,10849;0,17818;9,92573
0,4040;-0,06058;0,18297;9,89219
0,4076;-0,08454;0,12788;9,79637
0,4094;-0,05100;0,15423;9,85866
0,4218;-0,06058;0,18297;9,82272
0,4219;-0,05340;0,16141;9,83949
0,4219;-0,04861;0,18776;9,87542
0,4220;-0,04142;0,18537;9,82752
0,4230;-0,07975;0,20453;9,86345
