time;X_value;Y_value;Z_value
0,0048;-0,06386;0,17721;9,80484
0,0075;-0,06387;0,17707;9,80484
0,0153;-0,06367;0,17701;9,80485
0,0173;-0,06372;0,17705;9,80484
0,0226;-0,06401;0,17709;9,80484
0,0282;-0,06438;0,17677;9,80485
0,0324;-0,06459;0,17637;9,80485
0,0377;-0,06455;0,17638;9,80485
0,0428;-0,06436;0,17644;9,80485
0,0478;-0,06429;0,17634;9,80485
0,0528;-0,06439;0,17641;9,80485
0,0580;-0,06416;0,17659;9,80485
0,0632;-0,06400;0,17638;9,80486
0,0679;-0,06380;0,17636;9,80486
0,0736;-0,06421;0,17654;9,80485
0,0792;-0,06426;0,17658;9,80485
0,0841;-0,06441;0,17647;9,80485
0,0892;-0,06416;0,17659;9,80485
0,0944;-0,06451;0,17657;9,80485
0,0998;-0,06451;0,17673;9,80485
0,1044;-0,06458;0,17681;9,80484
0,1097;-0,06447;0,17681;9,80484
0,1151;-0,06463;0,17679;9,80484
0,1187;-0,06452;0,17687;9,80484
0,1240;-0,06445;0,17689;9,80484
0,1293;-0,06443;0,17704;9,80484
0,1346;-0,06474;0,17701;9,80484
0,1393;-0,06467;0,17719;9,80484
0,1449;-0,06449;0,17741;9,80483
0,1497;-0,06457;0,17726;9,80484
0,1550;-0,06484;0,17718;9,80483
0,1663;-0,06493;0,17718;9,80483
0,1665;-0,06472;0,17711;9,80484
0,1701;-0,06447;0,17709;9,80484
0,1755;-0,06464;0,17724;9,80484
0,1800;-0,06468;0,17746;9,80483
0,1851;-0,06455;0,17733;9,80483
0,1900;-0,06452;0,17745;9,80483
0,1956;-0,06469;0,17725;9,80483
0,2004;-0,06471;0,17720;9,80484
0,2059;-0,06485;0,17719;9,80484
0,2103;-0,06489;0,17703;9,80484
0,2159;-0,06493;0,17689;9,80484
0,2204;-0,06509;0,17696;9,80484
0,2270;-0,06512;0,17723;9,80483
0,2320;-0,06522;0,17710;9,80483
0,2367;-0,06540;0,17736;9,80483
0,2414;-0,06526;0,17728;9,80483
0,2465;-0,06515;0,17735;9,80483
0,2518;-0,06534;0,17734;9,80483
0,2566;-0,06528;0,17734;9,80483
0,2623;-0,06566;0,17735;9,80483
0,2691;-0,06589;0,17714;9,80483
0,2722;-0,06581;0,17716;9,80483
0,2829;-0,06608;0,17736;9,80482
0,2831;-0,06591;0,17765;9,80482
0,2868;-0,06569;0,17761;9,80482
0,2950;-0,06566;0,17760;9,80482
0,2969;-0,06544;0,17770;9,80482
0,3026;-0,06542;0,17770;9,80482
0,3069;-0,06528;0,17781;9,80482
0,3129;-0,06529;0,17764;9,80482
0,3174;-0,06539;0,17770;9,80482
0,3230;-0,06552;0,17781;9,80482
0,3271;-0,06538;0,17791;9,80482
0,3323;-0,06537;0,17803;9,80482
0,3374;-0,06536;0,17822;9,80481
0,3425;-0,06550;0,17823;9,80481
0,3478;-0,06575;0,17829;9,80481
0,3527;-0,06556;0,17826;9,80481
