time,X_value,Y_value,Z_value
0.0057,8.55835,-2.01847,3.98734
0.0058,8.58470,-2.09273,4.07358
0.0071,8.58709,-2.18855,4.16221
0.0148,8.70208,-2.24365,4.19096
0.0148,8.59667,-2.28437,4.24845
0.0148,8.52481,-2.27479,4.31552
0.0173,8.47930,-2.21011,4.47602
0.0199,8.39306,-2.16460,4.53830
0.0222,8.36192,-2.10471,4.48081
0.0242,8.29484,-2.02566,4.51674
0.0269,8.23017,-1.93224,4.38499
0.0298,8.18944,-1.91786,4.32510
0.0331,8.17986,-1.93224,4.32989
0.0342,8.21340,-1.91068,4.25084
0.0383,8.25891,-1.90349,4.23168
0.0397,8.28526,-1.89151,4.18616
0.0427,8.30203,-1.90589,4.18377
0.0446,8.36910,-1.90349,4.14544
0.0481,8.43618,-1.88912,4.07358
0.0501,8.48648,-1.91786,4.03285
0.0537,8.45774,-1.87714,4.10951
0.0548,8.50086,-1.89630,4.10711
0.0580,8.51523,-1.85558,4.06639
0.0609,8.53200,-1.79569,4.03046
0.0633,8.50325,-1.76455,4.05681
0.0646,8.52002,-1.70946,4.08795
0.0679,8.47451,-1.72383,4.04723
0.0700,8.46013,-1.67832,3.99453
0.0748,8.50325,-1.65197,4.03764
0.0748,8.56074,-1.61843,4.02327
0.0840,8.56553,-1.57531,3.97297
0.0841,8.67812,-1.58250,3.99692
0.0841,8.73082,-1.54417,3.98494
0.0849,8.77394,-1.51542,4.04244
0.0903,8.82664,-1.53938,3.99692
0.0903,8.90330,-1.55854,3.96099
0.0954,8.89371,-1.53938,3.97776
0.0960,8.86257,-1.54417,3.97297
0.0995,8.81706,-1.56094,3.93943
0.1002,8.85539,-1.59926,3.90350
0.1036,8.83383,-1.62322,3.85798
0.1053,8.76915,-1.64238,3.90589
0.1095,8.75957,-1.67592,3.84361
0.1108,8.69489,-1.69508,3.88673
0.1142,8.60386,-1.76695,3.86517
0.1157,8.63021,-1.77893,3.81486
0.1203,8.46972,-1.81007,3.95141
0.1207,8.35952,-1.85558,3.93703
0.1241,8.29964,-1.85558,3.87475
0.1260,8.20142,-1.88433,3.93224
0.1301,8.14153,-1.89870,3.93943
0.1308,8.07206,-1.89630,3.88912
0.1345,8.06248,-1.87235,3.88673
0.1361,8.08404,-1.95859,3.85798
0.1402,8.03853,-1.92505,3.89871
0.1411,8.12716,-1.90589,3.80768
0.1444,8.20621,-1.91786,3.76456
0.1462,8.21100,-1.90828,3.87236
0.1508,8.26370,-1.95140,3.87475
0.1512,8.38348,-1.93463,3.82445
0.1550,8.42899,-1.93942,3.85319
0.1564,8.50565,-1.89391,3.89392
0.1606,8.50086,-1.92984,3.97297
0.1614,8.57991,-1.88193,3.90589
0.1648,8.61823,-1.86756,3.90110
0.1664,8.65896,-1.88433,3.89152
0.1706,8.73561,-1.81486,4.00411
0.1715,8.72603,-1.76455,3.98973
0.1752,8.65656,-1.78132,3.98015
0.1772,8.65656,-1.78132,4.06879
0.1807,8.71405,-1.79809,4.08795
0.1818,8.66614,-1.79090,4.07597
0.1850,8.66854,-1.77893,4.12149
0.1871,8.71884,-1.76934,4.12388
0.1904,8.67333,-1.76695,4.16460
0.1917,8.58230,-1.75737,4.24126
0.1961,8.54158,-1.76934,4.15742
0.1977,8.47930,-1.76695,4.05920
0.2008,8.43378,-1.75976,4.09034
0.2020,8.42180,-1.79569,4.08795
0.2055,8.40025,-1.80049,4.13346
0.2070,8.35473,-1.81965,4.18377
0.2260,8.40743,-1.81965,4.07118
0.2260,8.37629,-1.85319,4.10472
0.2260,8.30443,-1.93703,3.95620
0.2261,8.27089,-1.91547,3.85080
0.2261,8.16309,-1.83881,3.95380
0.2262,8.20382,-1.82444,3.97297
0.2262,8.27808,-1.82923,4.04483
0.2278,8.35952,-1.87235,4.05441
0.2304,8.41701,-1.95380,4.14544
0.2331,8.48888,-1.94421,4.16460
0.2366,8.53918,-1.99931,4.15742
0.2380,8.55595,-2.04961,4.27240
0.2414,8.59428,-1.96577,4.30354
0.2426,8.72603,-1.87475,4.22210
0.2485,8.67333,-1.94661,4.21970
0.2485,8.54397,-2.04482,3.98494
0.2516,8.51523,-2.00410,3.75019
0.2530,8.46492,-1.95380,3.78133
0.2564,8.41701,-1.92984,3.87954
0.2581,8.28047,-1.95619,3.86517
0.2617,8.16549,-1.99212,3.87236
0.2634,8.02176,-1.99931,3.80289
0.2668,8.01697,-2.03764,3.79091
0.2682,7.98822,-2.07836,3.80049
0.2714,7.92115,-2.07596,3.80049
0.2740,7.87803,-2.05680,3.80049
0.2765,7.86366,-2.13346,3.69749
0.2800,7.78940,-2.17897,3.74779
0.2819,7.71274,-2.25802,3.77414
0.2833,7.73670,-2.33228,3.70467
0.2869,7.73191,-2.34905,3.65916
0.2895,7.66483,-2.37540,3.68551
0.2918,7.62890,-2.43289,3.71425
0.2937,7.63609,-2.43529,3.59448
0.2970,7.57860,-2.41612,3.73581
0.2996,7.56902,-2.47361,3.68790
0.3023,7.56422,-2.42331,3.60646
0.3039,7.46841,-2.37061,3.58011
0.3071,7.34384,-2.50715,3.52741
0.3098,7.20490,-2.61255,3.54178
0.3124,7.16418,-2.64609,3.53220
0.3138,7.14741,-2.70118,3.48908
0.3175,7.21209,-2.81377,3.49387
0.3198,7.28635,-2.75389,3.50345
0.3229,7.46122,-2.69639,3.50585
0.3241,7.66962,-2.65567,3.58250
0.3294,7.76544,-2.65328,3.66395
0.3301,7.83491,-2.66286,3.63520
0.3324,7.89001,-2.73712,3.73342
0.3344,7.87803,-2.79221,3.78612
0.3389,7.88522,-2.83773,3.75737
0.3400,7.84689,-2.87606,3.78851
0.3442,7.80377,-2.96469,3.93224
0.3459,7.76305,-2.99343,3.83163
0.3595,7.65765,-3.02457,3.87715
0.3596,7.56662,-3.00541,3.92985
0.3597,7.40133,-3.06051,3.98494
0.3597,7.31030,-3.03655,3.97776
0.3598,7.19772,-3.09883,3.95141
0.3603,7.06596,-3.10363,3.90110
0.3649,6.93900,-3.07967,3.87475
0.3653,6.80965,-3.15393,3.89152
0.3695,6.61801,-3.17070,3.82205
0.3711,6.43835,-3.21861,3.77175
0.3739,6.25869,-3.28808,3.73342
0.3757,6.18203,-3.27610,3.63760
0.3834,5.99039,-3.30964,3.51783
0.3834,5.70533,-3.42222,3.35733
0.3838,5.41788,-3.48211,3.15611
0.3856,5.17354,-3.50607,2.99561
0.3898,5.03939,-3.53242,2.78241
0.3906,5.03460,-3.52283,2.64108
0.3971,4.96034,-3.42462,2.49496
0.3971,4.97232,-3.35515,2.40153
0.4012,5.01783,-3.31682,2.28655
0.4012,5.08730,-3.35036,2.16678
0.4040,5.19270,-3.36473,2.03263
0.4057,5.33882,-3.40066,1.92244
0.4097,5.60233,-3.50127,1.84578
0.4107,5.75085,-3.64500,1.73559
0.4145,5.93051,-3.75280,1.67331
0.4158,6.17964,-3.91330,1.67810
0.4214,6.41919,-4.01151,1.60863
0.4214,6.68269,-4.10973,1.54635
0.4252,6.78330,-4.12410,1.74996
0.4264,6.93900,-4.06421,1.97753
0.4305,7.41810,-4.06661,1.85776
0.4312,7.72712,-4.08577,1.79787
0.4348,8.02416,-4.17680,1.76913
0.4361,8.23496,-4.26783,1.75954
0.4417,8.34754,-4.34927,1.68049
0.4420,8.42180,-4.46905,1.66612
0.4450,8.43618,-4.61517,1.70684
0.4471,8.34754,-4.68225,1.72361
0.4515,8.28287,-4.72297,1.62061
0.4523,8.21819,-4.72057,1.62779
0.4579,7.98104,-4.63434,1.71882
0.4579,8.01218,-4.61517,1.64696
0.4611,8.02416,-4.61517,1.48406
0.4720,8.06727,-4.66548,1.32596
0.4720,8.11518,-4.68464,1.30919
0.4721,8.10560,-4.69183,1.13432
0.4722,8.16309,-4.71818,0.98341
0.4723,8.17268,-4.76130,0.91634
0.4757,8.18944,-4.84274,0.80614
0.4766,8.18944,-4.95054,0.84926
0.4818,8.22538,-4.97689,0.76063
0.4830,8.32359,-5.09187,0.66242
0.4848,8.34754,-5.04875,0.66481
0.4870,8.50565,-5.11583,0.36058
0.4903,8.55835,-5.21165,0.36777
0.4923,8.59188,-5.21165,0.45401
0.4969,8.62063,-5.25476,0.33423
0.4969,8.65417,-5.29309,0.20009
0.5022,8.67093,-5.28830,0.18571
0.5023,8.68291,-5.29309,0.06834
0.5057,8.73322,-5.31944,-0.10653
0.5072,8.72124,-5.32902,-0.19517
0.5145,8.72843,-5.29549,-0.32931
0.5145,8.73322,-5.29788,-0.49460
0.5156,8.79550,-5.25956,-0.63114
0.5175,8.87215,-5.23800,-0.74613
0.5218,8.88892,-5.24279,-0.81560
0.5228,8.93923,-5.24279,-0.91860
0.5262,8.96079,-5.19248,-1.02879
0.5275,9.02067,-5.15176,-1.12222
0.5309,9.02307,-5.15176,-1.15575
0.5331,9.04463,-5.13499,-1.20366
0.5370,9.08535,-5.11583,-1.24199
0.5379,9.10452,-5.14218,-1.27553
0.5419,9.16440,-5.14936,-1.34260
0.5446,9.14045,-5.14936,-1.37135
0.5466,9.08296,-5.16853,-1.33781
0.5482,9.12368,-5.17092,-1.34020
0.5516,9.15482,-5.16853,-1.43123
0.5535,9.15003,-5.15176,-1.40249
0.5581,9.17399,-5.12780,-1.35937
0.5585,9.15003,-5.08948,-1.34020
0.5627,9.12368,-5.07990,-1.37853
0.5638,9.16201,-5.08708,-1.34979
0.5666,9.16680,-5.13499,-1.39051
0.5692,9.14524,-5.12541,-1.39051
