time,X_value,Y_value,Z_value
0.0058,8.77104,-1.99148,3.90809
0.0071,8.76643,-1.99679,3.91573
0.0148,8.76274,-2.00084,3.92192
0.0207,8.75975,-2.00326,3.92736
0.0224,8.75663,-2.00372,3.93408
0.0270,8.75331,-2.00249,3.94207
0.0335,8.74989,-2.00010,3.95087
0.0381,8.74629,-1.99800,3.95989
0.0427,8.74293,-1.99663,3.96799
0.0480,8.73972,-1.99608,3.97535
0.0539,8.73687,-1.99601,3.98164
0.0580,8.73420,-1.99616,3.98742
0.0633,8.73147,-1.99627,3.99332
0.0681,8.72880,-1.99585,3.99938
0.0748,8.72601,-1.99517,4.00580
0.0840,8.72338,-1.99449,4.01186
0.0841,8.72097,-1.99353,4.01757
0.0903,8.71887,-1.99234,4.02271
0.0960,8.71693,-1.99067,4.02775
0.0997,8.71516,-1.98882,4.03249
0.1036,8.71356,-1.98649,4.03710
0.1095,8.71231,-1.98406,4.04099
0.1142,8.71125,-1.98155,4.04450
0.1203,8.71031,-1.97919,4.04768
0.1241,8.70942,-1.97703,4.05065
0.1301,8.70817,-1.97561,4.05402
0.1349,8.70661,-1.97500,4.05768
0.1402,8.70495,-1.97536,4.06107
0.1444,8.70317,-1.97730,4.06392
0.1508,8.70191,-1.98010,4.06527
0.1552,8.70034,-1.98383,4.06680
0.1606,8.69890,-1.98830,4.06769
0.1653,8.69725,-1.99250,4.06918
0.1706,8.69571,-1.99644,4.07054
0.1752,8.69401,-2.00005,4.07239
0.1807,8.69212,-2.00288,4.07503
0.1848,8.68967,-2.00564,4.07889
0.1906,8.68676,-2.00841,4.08373
0.1961,8.68332,-2.01110,4.08972
0.2011,8.67896,-2.01424,4.09743
0.2055,8.67443,-2.01789,4.10522
0.2260,8.66952,-2.02228,4.11341
0.2261,8.66450,-2.02730,4.12152
0.2261,8.65936,-2.03371,4.12916
0.2265,8.65555,-2.04005,4.13402
0.2308,8.65327,-2.04527,4.13620
0.2366,8.65235,-2.04945,4.13605
0.2414,8.65210,-2.05230,4.13517
0.2460,8.65119,-2.05399,4.13623
0.2516,8.65019,-2.05360,4.13853
0.2561,8.64968,-2.05391,4.13942
0.2616,8.65055,-2.05341,4.13785
0.2668,8.65209,-2.05321,4.13475
0.2713,8.65384,-2.05359,4.13089
0.2768,8.65578,-2.05474,4.12624
0.2818,8.65814,-2.05665,4.12034
0.2869,8.66009,-2.06021,4.11446
0.2918,8.66225,-2.06555,4.10723
0.2970,8.66433,-2.07270,4.09923
0.3023,8.66678,-2.08129,4.08968
0.3071,8.66950,-2.09136,4.07878
0.3121,8.67272,-2.10298,4.06593
0.3175,8.67571,-2.11757,4.05196
0.3226,8.67919,-2.13513,4.03526
0.3294,8.68354,-2.15412,4.01576
0.3330,8.68887,-2.17318,3.99390
0.3384,8.69486,-2.19253,3.97021
0.3442,8.70163,-2.21282,3.94404
0.3595,8.70830,-2.23290,3.91792
0.3597,8.71537,-2.25320,3.89048
0.3598,8.72240,-2.27346,3.86283
0.3649,8.73001,-2.29409,3.83334
0.3695,8.73871,-2.31548,3.80052
0.3739,8.74902,-2.33898,3.76220
0.3802,8.76007,-2.36461,3.72025
0.3856,8.77303,-2.39268,3.67143
0.3892,8.78763,-2.42542,3.61460
0.3971,8.80935,-2.44950,3.54482
0.4007,8.83237,-2.47892,3.46621
0.4045,8.85689,-2.51576,3.37593
0.4097,8.88066,-2.55870,3.27985
0.4145,8.90392,-2.60887,3.17561
0.4209,8.92608,-2.66615,3.06383
0.4243,8.94671,-2.72958,2.94552
0.4304,8.96558,-2.79780,2.82153
0.4348,8.98252,-2.87235,2.68966
0.4410,8.99608,-2.94676,2.56076
0.4450,9.00737,-3.02269,2.42920
0.4515,9.01619,-3.09947,2.29608
0.4551,9.02225,-3.17681,2.16271
0.4607,9.02540,-3.25442,2.03012
0.4721,9.02555,-3.33526,1.89364
0.4721,9.02273,-3.41443,1.76134
0.4754,9.01724,-3.49475,1.62680
0.4815,9.00902,-3.57623,1.48947
