time,X_value,Y_value,Z_value
0.0057,-0.26156,0.20519,-0.00620
0.0071,-0.22108,0.14873,-0.03602
0.0148,-0.16622,0.11038,-0.06692
0.0173,-0.10763,0.08855,-0.08343
0.0222,-0.05117,0.07736,-0.07917
0.0270,0.00475,0.08375,-0.05733
0.0323,0.05056,0.08961,-0.02324
0.0381,0.07719,0.08535,0.00712
0.0427,0.08678,0.08056,0.03269
0.0480,0.08412,0.07789,0.04547
0.0530,0.07293,0.08109,0.04707
0.0576,0.05802,0.08801,0.04494
0.0630,0.04843,0.09707,0.04494
0.0680,0.03937,0.10612,0.04707
0.0731,0.03032,0.10772,0.05080
0.0840,0.02606,0.10932,0.05772
0.0841,0.02446,0.10825,0.06251
0.0897,0.01807,0.10985,0.05879
0.0960,0.00955,0.11731,0.04760
0.0997,0.00529,0.11837,0.03269
0.1036,-0.00483,0.11837,0.01351
0.1085,-0.01708,0.10932,-0.00620
0.1141,-0.02507,0.09707,-0.02430
0.1202,-0.02720,0.08642,-0.03602
0.1241,-0.02880,0.07576,-0.03815
0.1301,-0.02667,0.06937,-0.03123
0.1341,-0.02188,0.06298,-0.00992
0.1402,-0.01975,0.05286,0.01618
0.1444,-0.02135,0.04114,0.04334
0.1508,-0.02241,0.03688,0.06518
0.1549,-0.02933,0.04061,0.07956
0.1603,-0.03519,0.04860,0.08488
0.1648,-0.04585,0.05925,0.08488
0.1706,-0.05756,0.07310,0.08116
0.1748,-0.07035,0.08695,0.07263
0.1807,-0.08366,0.10346,0.06358
0.1847,-0.09165,0.12104,0.05825
0.1904,-0.09964,0.14767,0.06092
0.1955,-0.10710,0.17164,0.06518
0.2006,-0.11189,0.18868,0.06944
0.2056,-0.11988,0.19294,0.07583
0.2104,-0.12414,0.18921,0.08435
0.2261,-0.12734,0.18815,0.09234
0.2261,-0.12148,0.14234,0.09767
0.2262,-0.10284,0.06085,0.09394
0.2304,-0.06342,-0.00413,0.08062
0.2359,-0.01602,-0.03183,0.06784
0.2414,0.02180,-0.01159,0.05772
0.2460,0.04310,0.02889,0.04068
0.2516,0.04417,0.04434,0.02470
0.2561,0.03298,-0.01159,0.01245
0.2616,0.02340,-0.06645,0.00126
0.2668,0.02712,-0.08775,-0.00034
0.2714,0.03991,-0.11385,0.01032
0.2758,0.05429,-0.13995,0.02736
0.2818,0.06760,-0.15646,0.04494
0.2867,0.07453,-0.17670,0.06518
0.2918,0.07613,-0.20440,0.09341
0.2974,0.07559,-0.23796,0.12164
0.3017,0.07400,-0.26991,0.14987
0.3071,0.07133,-0.30400,0.17596
0.3121,0.07187,-0.35034,0.20632
0.3175,0.07719,-0.40733,0.25426
0.3223,0.08199,-0.46433,0.30539
0.3294,0.08678,-0.51919,0.34055
0.3324,0.09424,-0.56553,0.35173
0.3389,0.10915,-0.61719,0.35173
0.3437,0.13738,-0.66832,0.35493
