time,X_value,Y_value,Z_value
0.0148,-44.88507,-2.08061,-29.05215
0.0196,-44.25382,-2.09745,-30.33707
0.0296,-43.64100,-0.98970,-31.01723
0.0396,-46.80759,-1.47742,-30.33802
0.0501,-43.63526,-1.55370,-32.28015
0.0600,-46.17405,-1.49313,-30.98258
0.0692,-44.91040,-0.95942,-30.36845
0.0841,-44.87126,-3.20748,-30.93761
0.0897,-44.89199,-2.08401,-30.97321
0.0995,-46.80759,-1.47742,-30.33802
0.1095,-46.16138,-2.05373,-30.32443
0.1203,-44.26880,-1.53799,-31.63558
0.1301,-44.25843,-2.09972,-31.61778
0.1402,-44.91271,-0.96055,-31.00880
0.1508,-46.81451,-1.48083,-32.25909
0.1603,-44.23310,-3.22091,-30.30148
0.1705,-43.63870,-0.98856,-30.37688
0.1807,-44.89774,-1.52001,-29.71030
0.1900,-44.23310,-3.22091,-30.30148
0.1994,-46.14527,-3.17946,-31.56956
0.2093,-44.87357,-3.20861,-31.57798
0.2261,-46.18558,-1.49881,-34.18436
0.2292,-44.91732,-0.96282,-32.28952
0.2390,-46.18211,-0.93027,-30.36003
0.2489,-46.18903,-0.93367,-32.28110
0.2593,-46.19365,-0.93594,-33.56181
0.2691,-44.25382,-2.09745,-30.33707
0.2800,-44.28147,-0.97740,-32.29373
0.2894,-44.27455,-0.97399,-30.37267
0.2996,-43.63295,-1.55256,-31.63979
0.3098,-43.63064,-1.55143,-30.99943
0.3197,-46.82832,-0.35396,-30.37362
0.3301,-47.45611,-0.90225,-30.99196
0.3399,-44.91040,-0.95942,-30.36845
0.3596,-44.27916,-0.97626,-31.65338
0.3603,-44.28029,-0.40999,-29.10975
0.3703,-46.20514,0.19206,-31.03598
0.3802,-46.83638,0.20891,-29.75106
0.3903,-44.89312,-1.51774,-28.42959
0.4007,-46.19130,0.19887,-27.19385
0.4097,-48.74045,0.82117,-25.91409
0.4208,-48.72548,0.26171,-24.61557
0.4305,-49.40047,2.52434,-24.04220
0.4410,-49.56550,1.96488,-22.62370
0.4515,-49.57470,3.09402,-19.45751
0.4607,-51.48225,3.13774,-19.44488
0.4721,-52.13190,4.27919,-17.55519
0.4801,-51.52597,6.51721,-14.42882
0.4903,-52.77002,5.42630,-12.46372
0.5012,-53.42430,6.56548,-11.85475
0.5139,-52.78497,7.11945,-8.03463
0.5193,-55.33643,7.74061,-7.39523
0.5306,-52.65905,10.88064,-3.33636
0.5391,-53.29259,10.89635,-2.69180
0.5490,-55.84175,11.51865,-1.41203
0.5591,-53.95144,13.16693,2.36407
0.5715,-52.06231,14.24780,2.95621
0.5797,-52.71658,15.38697,3.56518
0.5900,-52.89310,15.59552,7.80951
0.6119,-49.72995,16.64838,9.03357
0.6124,-52.28142,17.26954,9.67297
0.6195,-51.03044,18.36385,9.62896
0.6320,-51.63865,17.25837,11.58983
0.6401,-51.00048,17.24493,12.22597
0.6502,-51.14926,18.87126,12.57294
0.6602,-49.28547,21.07332,11.84875
0.6701,-47.99648,20.48585,13.77920
0.6812,-49.24977,19.39040,13.18286
0.6913,-49.30159,22.19905,13.09387
0.7006,-47.38711,22.15874,15.00230
0.7098,-47.41132,22.71366,11.14237
0.7208,-47.42512,23.84052,13.02785
0.7310,-46.78696,23.82708,13.66399
0.7401,-45.51987,23.79566,12.37486
0.7500,-47.42973,23.83825,11.74713
0.7607,-46.78696,23.82708,13.66399
0.7711,-48.09898,25.53689,11.05759
0.7807,-48.03219,22.16877,12.44510
0.7907,-48.70144,23.86740,11.75555
0.7994,-48.09898,25.53689,11.05759
0.8094,-48.09667,25.53802,11.69795
0.8204,-47.44471,24.39771,10.44862
0.8296,-47.44126,23.83257,8.54535
0.8392,-48.08862,24.97515,11.07539
0.8619,-48.72103,24.42459,9.17634
0.8621,-48.09092,24.97402,10.43504
0.8694,-47.49078,26.64237,9.09673
0.8792,-46.83650,25.50319,8.48775
0.8899,-47.49308,26.64123,8.45636
0.8997,-48.78551,27.79384,8.42919
0.9095,-45.58553,26.59751,8.44373
0.9201,-48.78551,27.79384,8.42919
0.9302,-47.48272,26.07950,8.47416
0.9404,-46.83995,26.06833,10.39102
0.9500,-47.50689,27.76810,10.34184
0.9601,-45.58784,26.59637,7.80338
0.9711,-48.13124,26.65467,7.82022
1.0034,-48.79702,28.92184,10.95502
1.0037,-46.85493,26.62779,9.09251
1.0038,-46.89176,28.87699,10.30203
1.0103,-45.61432,28.28384,9.03069
1.0211,-47.51725,28.32983,10.32404
1.0316,-46.88140,28.31526,10.31983
1.0408,-47.05910,28.43639,10.60018
1.0507,-47.06602,28.43299,8.67912
1.0610,-45.80812,29.53070,10.55616
1.0715,-47.72834,30.13502,9.91064
1.0804,-45.80006,28.96784,9.93361
1.0899,-45.81734,29.52616,7.99474
1.1101,-45.80468,28.96557,8.65290
1.1115,-47.09711,30.11818,8.62572
1.1211,-47.72260,29.57102,8.64774
1.1294,-45.80812,29.53070,10.55616
1.1393,-47.72490,29.56989,8.00737
1.1504,-47.10403,30.11477,6.70465
1.1591,-45.20683,30.63278,6.67422
1.1690,-45.84039,30.64849,7.31879
1.1795,-45.85188,31.77649,9.84462
1.1898,-47.13050,31.80223,7.93197
1.2003,-45.82771,30.08789,7.97694
1.2111,-45.83232,30.08562,6.69623
1.2209,-44.54564,29.49701,7.98631
1.2295,-47.12820,31.80337,8.57233
1.2472,-47.74562,30.69335,7.97178
1.2500,-45.22063,31.75965,8.55970
1.2601,-45.83577,30.65076,8.59950
1.2725,-45.18149,29.51159,7.99052
1.2799,-45.83807,30.64962,7.95914
1.2896,-45.81042,29.52957,9.91581
1.3005,-48.36880,30.14733,8.63415
1.3099,-45.82196,29.52389,6.71403
1.3202,-45.17113,28.94985,8.00832
1.3302,-47.05795,27.87012,8.05656
1.3433,-45.16882,28.95099,8.64869
1.3608,-48.29971,26.78034,10.66199
1.3611,-48.96896,28.47898,9.97247
1.3708,-48.33427,27.89700,6.78427
1.3807,-51.48819,26.84868,8.12163
1.3903,-50.21419,26.82067,8.75357
1.4004,-49.57834,26.80609,8.74936
1.4102,-49.54263,25.12317,10.08346
1.4200,-50.18884,25.69948,10.06987
1.4292,-49.53226,24.56144,10.10126
1.4405,-49.49656,22.87852,11.43536
1.4492,-50.11974,22.33249,12.09773
1.4590,-50.10938,21.77077,12.11553
1.4690,-48.83537,21.74275,12.74746
1.4794,-50.09671,21.21017,12.77368
1.4959,-50.06562,19.52497,12.82707
1.5066,-51.93978,17.88465,13.53345
1.5097,-51.31890,18.42953,12.23074
1.5220,-52.57333,17.90035,14.17802
1.5296,-49.40788,18.95434,16.04244
1.5400,-51.88566,15.07712,14.26280
1.5500,-53.20343,17.35093,12.91933
1.5605,-51.22215,13.94249,16.21526
1.5705,-51.84651,12.82907,13.69363
1.5804,-52.23530,14.93539,13.98060
1.5902,-52.22955,14.37139,12.71768
1.6010,-51.54188,11.54816,12.80246
1.6143,-51.52690,10.98870,14.10097
1.6218,-52.15239,10.44155,14.12298
1.6293,-52.18810,12.12447,12.78887
1.6408,-52.78938,11.02239,16.67081
1.6496,-54.06800,11.04813,14.75817
1.6609,-53.42179,10.47183,14.77175
1.6702,-52.76060,9.33606,16.08385
1.6824,-53.41142,9.91010,14.78955
1.6912,-53.38264,8.22377,14.20259
1.6997,-52.73412,7.64860,14.85653
1.7100,-53.99546,7.11602,14.88275
1.7231,-54.64167,7.69233,14.86916
1.7307,-53.34924,6.53971,14.89634
1.7475,-53.37228,7.66204,14.22039
1.7497,-53.36997,7.66318,14.86074
1.7587,-53.34463,6.54198,16.17706
1.7688,-53.95975,5.43310,16.21687
1.7788,-54.63705,7.69460,16.14989
1.7894,-52.07755,6.51056,14.88792
1.7996,-53.37228,7.66204,14.22039
1.8105,-53.36192,7.10031,14.23819
1.8196,-53.98853,7.11942,16.80383
1.8298,-53.38264,8.22377,14.20259
1.8407,-53.41603,9.90783,13.50884
1.8529,-53.36422,7.09918,13.59783
1.8651,-54.69235,9.93471,12.23656
1.8702,-52.79286,10.45385,12.84648
1.8806,-52.85504,13.82423,12.73969
1.8904,-54.12674,13.85339,12.74812
1.8997,-52.21918,13.80966,12.73548
1.9097,-52.87576,14.94770,12.70410
1.9200,-52.86196,13.82083,10.81862
1.9311,-54.16013,15.53745,12.05437
1.9404,-52.89880,16.07002,12.02814
1.9501,-53.52773,16.08800,13.95342
1.9605,-51.64089,17.16774,13.90519
1.9768,-52.90568,17.20029,15.83469
1.9811,-51.64433,17.73288,15.80846
1.9959,-51.67311,19.41920,16.39542
2.0010,-50.39336,18.82719,15.76445
2.0097,-50.39911,19.39119,17.02736
2.0208,-50.37032,17.70487,16.44040
2.0305,-51.66968,18.85407,14.49216
2.0398,-51.67081,19.42034,17.03578
2.0492,-50.38413,18.83173,18.32587
2.0593,-49.75520,18.81375,16.40059
2.0703,-50.39336,18.82719,15.76445
2.0789,-49.78285,19.93380,14.44392
2.0891,-50.45554,22.19757,15.65766
2.0993,-51.66506,18.85634,15.77287
2.1115,-48.51345,19.90352,13.79514
2.1210,-52.34238,21.11784,15.70589
2.1295,-49.77824,19.93607,15.72464
2.1397,-52.35966,21.67616,13.76702
2.1493,-50.43481,21.07411,15.69326
2.1600,-50.40372,19.38892,15.74665
2.1697,-49.80358,21.05727,14.40833
2.1799,-49.81855,21.61673,13.10983
2.1898,-52.35160,21.11330,13.14446
2.2000,-50.48549,23.31650,13.06064
2.2103,-50.48318,23.31763,13.70100
2.2205,-49.18845,22.16615,14.36852
2.2306,-51.73647,22.22218,13.10466
2.2488,-49.82661,22.17959,13.73238
2.2506,-51.73416,22.22332,13.74501
2.2609,-52.41378,24.48368,13.03768
2.2742,-49.18040,21.60328,13.74596
2.2808,-49.84734,23.30305,13.69678
2.2910,-49.21379,23.28735,13.05222
2.3009,-49.65571,25.42657,11.94453
2.3106,-47.74353,25.38512,13.21261
2.3201,-49.65915,25.99171,13.84780
2.3291,-48.38745,25.96256,13.83938
2.3391,-49.00488,24.85254,13.23883
2.3494,-48.40011,26.52316,13.18122
2.3634,-48.40011,26.52316,13.18122
2.3690,-48.38975,25.96143,13.19902
2.3806,-49.04633,27.09946,13.16764
2.3901,-49.68219,27.11404,13.17185
2.3987,-48.99452,24.29081,13.25663
2.4093,-49.64073,24.86712,13.24304
2.4202,-48.96112,22.60675,13.95037
2.4305,-50.25699,24.32450,15.82648
2.4397,-49.60503,23.18419,14.57714
2.4496,-50.21554,22.07758,15.89767
2.4597,-48.93348,21.48669,15.90704
2.4699,-51.48149,21.54272,14.64317
2.4805,-52.71749,19.88895,15.98570
2.4999,-53.34298,19.34179,16.00771
2.5001,-52.69102,18.20149,14.75838
2.5113,-52.06784,18.74751,14.09602
2.5192,-53.26930,14.84341,13.58867
2.5303,-52.64957,15.95456,14.82957
2.5398,-51.99530,14.81540,14.22060
2.5494,-53.23360,13.16048,14.92277
2.5603,-54.50531,13.18963,14.93119
2.5693,-54.18458,12.24617,15.14679
2.5801,-55.45628,12.27532,15.15521
2.5898,-52.23788,9.95439,14.56499
2.6036,-53.53030,11.10700,14.53782
2.6206,-56.04607,10.04524,16.51133
2.6217,-55.37913,8.34548,16.56052
2.6310,-53.46120,7.74002,16.56568
2.6416,-55.99426,7.23659,16.60032
2.6491,-53.45546,7.17602,15.30276
2.6594,-54.08208,7.19514,17.86839
2.6707,-54.07172,6.63341,17.88619
2.6791,-54.07402,6.63227,17.24584
2.6894,-55.32269,5.53909,17.93021
2.6990,-53.38979,4.37418,19.23389
2.7094,-53.38635,3.80904,17.33062
2.7194,-55.29160,3.85390,17.98360
2.7299,-53.37599,3.24731,17.34841
2.7399,-55.26051,2.16871,18.03700
2.7493,-52.73783,3.23387,17.98456
2.7593,-52.09624,2.65529,16.71744
2.7698,-53.33453,1.00039,17.41961
2.7797,-53.35065,2.12612,18.66473
2.7899,-53.99686,2.70242,18.65114
2.8001,-53.38866,3.80791,16.69026
2.8099,-55.27319,2.72930,17.37885
2.8202,-55.27205,2.16303,14.83522
2.8308,-55.91135,2.74274,16.74271
2.8419,-55.30544,3.84709,14.14147
2.8504,-55.93669,3.86393,15.42639
2.8646,-52.13425,4.33708,14.74297
2.8699,-55.31351,4.40996,14.76403
2.8801,-54.08556,6.62659,14.04406
2.8896,-55.37799,7.77921,14.01688
2.9005,-55.37569,7.78034,14.65724
2.9101,-54.10859,7.74892,13.36811
2.9213,-55.42406,10.02386,12.66499
2.9313,-55.38835,8.34094,13.99909
2.9418,-52.89445,11.09243,14.53361
2.9501,-54.15005,9.99584,13.29692
2.9604,-53.57406,13.35279,13.82627
2.9696,-53.55103,12.23046,14.50223
2.9809,-52.94513,13.33481,11.90099
2.9891,-53.60284,15.03912,14.41324
3.0010,-51.67687,13.87080,13.79585
3.0092,-52.95663,14.46281,14.42682
3.0229,-53.60054,15.04026,15.05359
3.0318,-53.59018,14.47852,15.07139
3.0392,-51.05944,14.98082,14.39639
3.0495,-52.32191,15.01451,16.96624
3.0599,-52.34151,15.57170,14.38702
3.0697,-52.97736,15.58627,14.39123
3.0812,-52.98080,16.15141,16.29450
3.0901,-51.74712,17.80405,14.31161
3.0999,-52.97736,15.58627,14.39123
3.1209,-52.38297,17.81862,14.31583
3.1211,-52.39102,18.38149,14.93838
3.1300,-51.75173,17.80178,13.03091
3.1398,-52.39794,18.37808,13.01732
3.1499,-51.14120,18.90839,11.71038
3.1596,-52.39563,18.37922,13.65767
3.1704,-51.15157,19.47012,11.69258
3.1813,-51.76784,18.92751,14.27602
3.1908,-51.16425,20.03072,11.03443
3.2010,-52.42097,19.50041,12.34137
3.2109,-51.18035,21.15645,12.27955
3.2211,-51.82888,21.73162,11.62560
3.2360,-49.93400,22.24849,10.95482
3.2416,-51.21375,22.84051,11.58579
3.2529,-51.22411,23.40224,11.56799
3.2616,-51.77924,22.17335,11.78780
3.2693,-47.98485,23.20937,11.72694
3.2798,-51.15144,22.72164,12.40615
3.2888,-49.89241,23.25309,11.73957
3.2988,-49.91083,24.37769,12.34434
3.3089,-47.98255,23.21050,12.36729
3.3188,-51.16873,23.27997,10.46728
3.3297,-48.63913,24.34854,12.33591
3.3395,-51.81839,24.42141,12.35697
3.3496,-49.24389,22.67792,12.39352
3.3599,-51.09963,19.91299,12.49514
3.3747,-51.11805,21.03758,13.09990
3.3895,-51.12035,21.03645,12.45954
3.3902,-51.12035,21.03645,12.45954
3.3995,-51.07428,18.79180,13.81145
3.4095,-51.06854,18.22780,12.54853
3.4201,-51.67675,17.12232,14.50940
3.4312,-51.66294,15.99545,12.62393
3.4402,-51.00061,14.29341,11.39240
3.4501,-51.65027,15.43485,13.28209
3.4599,-53.52098,13.22938,12.08520
3.4707,-54.12918,12.12390,14.04607
3.4806,-52.83907,10.97015,13.43289
3.4935,-52.18249,9.83212,13.46428
3.5009,-51.55700,10.37927,13.44227
3.5213,-51.50750,7.56949,12.89090
3.5215,-53.42311,8.17607,13.52609
3.5318,-53.41043,7.37548,14.66425
3.5395,-53.38971,6.25202,14.69984
3.5533,-53.35286,4.00282,13.49033
3.5602,-52.71127,3.42425,12.22320
3.5703,-53.97374,3.45794,14.79305
3.5790,-52.01437,0.60556,14.86940
3.5892,-53.94034,1.77388,15.48679
3.5985,-51.99479,0.04837,17.44862
3.6086,-53.26996,-0.49102,13.63271
3.6187,-53.25037,-1.04821,16.21192
3.6380,-55.10611,-3.81314,16.31355
3.6390,-55.10611,-3.81314,16.31355
3.6491,-56.39048,-3.22340,15.66382
3.6596,-52.55465,-4.43431,15.67415
3.6689,-53.19280,-4.42087,15.03800
3.6791,-52.56732,-3.87371,15.01599
3.6898,-53.84015,-3.27829,17.56805
3.7001,-53.16402,-6.10719,14.45104
3.7098,-51.28295,-4.46346,15.66573
3.7232,-53.16747,-5.54206,16.35431
3.7305,-51.86123,-7.82154,14.49601
3.7402,-51.90037,-5.57348,15.06518
3.7498,-52.53509,-6.12518,12.52576
3.7717,-53.83097,-4.40743,14.40186
3.7719,-53.82060,-4.96916,14.41965
3.7826,-53.19511,-4.42200,14.39764
3.7898,-53.83789,-4.41083,12.48079
3.8016,-52.57424,-3.87712,13.09492
3.8098,-55.11303,-3.81655,14.39249
3.8206,-53.24349,-2.17848,12.40539
3.8303,-52.61338,-1.62906,13.66409
3.8411,-53.92079,0.08301,12.33840
3.8507,-53.28724,0.06730,11.69384
3.8599,-52.00287,-0.52244,12.34357
3.8709,-53.32408,2.31650,12.90336
3.8892,-51.47065,5.08029,12.16138
3.8894,-53.34712,3.43882,12.22741
3.9004,-53.39894,6.24748,12.13842
3.9086,-53.40816,6.24294,9.57700
3.9203,-52.13990,6.77892,11.47184
3.9294,-52.19059,9.02131,8.83923
3.9391,-53.45075,9.05613,12.04943
3.9493,-52.86327,11.28507,10.05296
3.9595,-52.84255,10.16161,10.08856
3.9699,-52.23779,11.83223,10.03095
3.9815,-49.71511,12.89740,9.97852
3.9895,-50.98680,12.92654,9.98694
4.0004,-51.62841,13.50512,11.25406
4.0100,-51.02364,15.17574,11.19646
4.0239,-51.65258,15.19372,13.12173
4.0311,-51.05243,16.86206,11.78342
4.0395,-52.32413,16.89121,11.79184
4.0504,-51.69865,17.43837,11.76983
