time,X_value,Y_value,Z_value
60.4170,6.58447,0.39138,6.77089
60.4170,6.58926,0.32430,6.76130
60.4188,6.63478,0.34586,6.88347
60.4222,6.70904,0.37461,6.89545
60.4233,6.73060,0.40336,6.92180
60.4259,6.68269,0.36263,7.00325
60.4289,6.74258,0.37461,7.03439
60.4382,6.76653,0.32191,7.03439
60.4383,6.77372,0.33389,7.07032
60.4384,6.77132,0.34826,7.02720
60.4398,6.74976,0.38898,7.07751
60.4424,6.69946,0.39856,7.04397
60.4436,6.75216,0.37700,7.07990
60.4469,6.74737,0.36503,7.06074
60.4524,6.69946,0.34826,7.03199
60.4528,6.70664,0.32670,7.03678
60.4548,6.65873,0.27160,6.98887
60.4566,6.59406,0.24286,6.91701
60.4597,6.63478,0.25963,6.92659
60.4622,6.63957,0.25484,6.89066
60.4639,6.64915,0.31472,6.86191
60.4686,6.58926,0.36263,6.85233
60.4704,6.50542,0.37700,6.76130
60.4724,6.43116,0.36982,6.79484
60.4742,6.35451,0.33389,6.68225
60.4769,6.30420,0.35305,6.62476
60.4799,6.32576,0.34107,6.59362
60.4826,6.36888,0.30514,6.52176
60.4846,6.36888,0.28119,6.45468
60.4877,6.38565,0.29795,6.40198
60.4895,6.31858,0.30275,6.39719
60.4924,6.35930,0.27879,6.38521
60.4948,6.45751,0.23328,6.37324
60.4978,6.57729,0.22369,6.37324
60.5005,6.68748,0.35545,6.39479
60.5029,6.74737,0.42252,6.40917
60.5057,6.76893,0.45606,6.45947
60.5070,6.75934,0.51594,6.65351
60.5108,6.89828,0.54469,6.58404
60.5124,6.99889,0.54469,6.57446
60.5159,7.08992,0.54229,6.54331
60.5178,7.12825,0.56146,6.56248
60.5226,7.13064,0.53511,6.64632
60.5235,7.17137,0.46085,6.61757
60.5253,7.17616,0.46803,6.56487
60.5277,7.14022,0.41054,6.64393
60.5313,7.12585,0.38180,6.56966
60.5404,7.09231,0.41294,6.58643
60.5404,7.12585,0.38898,6.59122
60.5404,7.09950,0.38898,6.59602
60.5418,7.06836,0.35545,6.67746
60.5428,7.08273,0.38898,6.64632
60.5461,7.08752,0.43689,6.69423
60.5503,7.06836,0.41773,6.66309
60.5517,7.07076,0.46085,6.76370
60.5530,7.14981,0.48720,6.72777
60.5556,7.08752,0.46803,6.72298
60.5578,7.12106,0.48959,6.78047
60.5625,7.13064,0.46085,6.82598
60.5633,7.12825,0.46324,6.81161
60.5665,7.15220,0.45606,6.80682
60.5695,7.14981,0.47043,6.90024
60.5722,7.18574,0.50876,6.92180
60.5739,7.20011,0.45606,6.90024
60.5769,7.15460,0.42252,6.92180
60.5782,7.18334,0.39138,6.93138
60.5834,7.17616,0.42252,6.88347
60.5835,7.18574,0.39377,6.88347
60.5868,7.11387,0.42491,6.92420
60.5885,7.11867,0.43210,6.88347
60.5925,7.09711,0.44887,6.84275
60.5937,7.05159,0.45845,6.86670
60.5968,7.08273,0.42971,6.81880
60.6015,7.03482,0.46803,6.85952
60.6025,7.02764,0.47043,6.83317
60.6040,7.01566,0.44887,6.92659
60.6070,7.01566,0.42491,6.81161
60.6098,7.02524,0.37940,6.75172
60.6136,7.08992,0.39377,6.80442
60.6143,7.08034,0.42012,6.84275
60.6179,7.07076,0.37700,6.83077
60.6190,7.09950,0.45606,6.84035
60.6229,7.13064,0.47282,6.88826
60.6241,7.20251,0.43929,6.85233
60.6275,7.24323,0.46085,6.81880
60.6290,7.17616,0.45126,6.92180
60.6325,7.21209,0.46324,6.93138
60.6369,7.23125,0.49678,6.82598
60.6375,7.19772,0.48959,6.83796
60.6393,7.23125,0.50876,6.78765
60.6425,7.18813,0.49917,6.75172
60.6443,7.19772,0.47761,6.79484
60.6481,7.18813,0.54708,6.74933
60.6546,7.14981,0.52552,6.80682
60.6547,7.14502,0.47282,6.75891
60.6547,7.16178,0.50397,6.73495
60.6610,7.11627,0.48241,6.76370
60.6610,7.17376,0.50157,6.68944
60.6629,7.12106,0.48480,6.64153
60.6646,7.04680,0.49917,6.63674
60.6676,7.09711,0.48241,6.65111
60.6704,7.12585,0.47043,6.60799
60.6723,7.10429,0.53032,6.60560
60.6746,7.01805,0.47522,6.65111
60.6779,7.03482,0.49678,6.65830
60.6800,7.09231,0.53990,6.65111
60.6830,7.02285,0.58062,6.65590
60.6847,7.03243,0.58302,6.65830
60.6875,7.03243,0.57583,6.56966
60.6907,6.98931,0.55906,6.62955
60.6926,7.03003,0.59978,6.61278
60.6950,7.12106,0.56864,6.44271
60.6982,7.06117,0.52792,6.55290
60.7021,7.07555,0.53032,6.57925
60.7036,7.11387,0.53511,6.59122
60.7056,7.15699,0.55427,6.57685
60.7079,7.12825,0.52313,6.60799
60.7123,7.12346,0.56146,6.62955
60.7130,7.08992,0.58302,6.72777
60.7163,7.14502,0.59020,6.67028
