time,X_value,Y_value,Z_value
60.4219,7.04041,0.41459,6.81404
60.4259,7.02753,0.40351,6.82799
60.4383,7.01646,0.39379,6.83993
60.4384,7.00742,0.38565,6.84965
60.4424,7.00047,0.37976,6.85708
60.4468,6.99555,0.37709,6.86225
60.4529,6.99267,0.37677,6.86520
60.4564,6.99144,0.37851,6.86636
60.4619,6.99162,0.38132,6.86602
60.4664,6.99293,0.38545,6.86445
60.4727,6.99515,0.39139,6.86185
60.4769,6.99803,0.39838,6.85852
60.4826,7.00159,0.40529,6.85448
60.4874,7.00552,0.41107,6.85012
60.4924,7.00991,0.41540,6.84537
60.4972,7.01409,0.41803,6.84092
60.5029,7.01900,0.41829,6.83586
60.5070,7.02508,0.41876,6.82959
60.5122,7.03129,0.41919,6.82316
60.5174,7.03768,0.41967,6.81655
60.5235,7.04398,0.42006,6.81002
60.5277,7.04912,0.41985,6.80470
60.5403,7.05315,0.41859,6.80061
60.5404,7.05575,0.41625,6.79806
60.5431,7.05718,0.41271,6.79678
60.5503,7.05725,0.40827,6.79698
60.5528,7.05657,0.40371,6.79796
60.5578,7.05508,0.39936,6.79976
60.5633,7.05346,0.39485,6.80170
60.5685,7.05167,0.39028,6.80382
60.5739,7.04953,0.38615,6.80627
60.5782,7.04740,0.38272,6.80867
60.5835,7.04526,0.37914,6.81109
60.5886,7.04350,0.37606,6.81308
60.5937,7.04174,0.37391,6.81502
60.6001,7.04073,0.37255,6.81614
60.6040,7.04039,0.37152,6.81655
60.6098,7.04049,0.37092,6.81648
60.6141,7.04154,0.37010,6.81544
60.6191,7.04307,0.36937,6.81389
60.6245,7.04458,0.36903,6.81235
60.6292,7.04626,0.36948,6.81059
60.6348,7.04815,0.37054,6.80858
60.6393,7.04995,0.37234,6.80661
60.6443,7.05182,0.37469,6.80455
60.6547,7.05349,0.37715,6.80268
60.6547,7.05481,0.38003,6.80115
60.6610,7.05602,0.38233,6.79977
60.6648,7.05709,0.38456,6.79852
60.6702,7.05794,0.38649,6.79753
60.6748,7.05904,0.38791,6.79632
60.6800,7.06004,0.38945,6.79518
60.6848,7.06125,0.39105,6.79384
60.6907,7.06279,0.39303,6.79213
60.6950,7.06524,0.39515,6.78945
60.7021,7.06902,0.39750,6.78538
60.7059,7.07336,0.39961,6.78073
60.7125,7.07864,0.40233,6.77506
60.7164,7.08453,0.40564,6.76870
60.7224,7.09057,0.40989,6.76212
60.7264,7.09770,0.41445,6.75435
60.7320,7.10487,0.41891,6.74654
60.7360,7.11247,0.42362,6.73823
60.7422,7.11995,0.42846,6.73001
60.7460,7.12681,0.43328,6.72244
60.7522,7.13345,0.43816,6.71507
60.7571,7.13933,0.44318,6.70850
60.7626,7.14466,0.44829,6.70248
60.7673,7.14958,0.45352,6.69688
60.7738,7.15410,0.45824,6.69173
60.7775,7.15886,0.46293,6.68632
60.7829,7.16365,0.46777,6.68085
60.7927,7.16891,0.47285,6.67484
60.7927,7.17391,0.47783,6.66911
60.7973,7.17898,0.48268,6.66330
60.8022,7.18401,0.48738,6.65754
60.8070,7.18943,0.49155,6.65138
60.8120,7.19531,0.49507,6.64476
60.8179,7.20157,0.49838,6.63772
60.8229,7.20776,0.50145,6.63078
60.8277,7.21408,0.50425,6.62368
60.8326,7.22065,0.50708,6.61631
60.8381,7.22731,0.50969,6.60882
60.8437,7.23438,0.51204,6.60091
60.8480,7.24210,0.51457,6.59223
60.8535,7.25041,0.51676,6.58293
60.8588,7.25967,0.51840,6.57258
60.8632,7.27007,0.52021,6.56093
60.8698,7.28147,0.52207,6.54813
60.8736,7.29358,0.52412,6.53448
60.8784,7.30733,0.52704,6.51887
60.8844,7.32181,0.53016,6.50234
60.8889,7.33708,0.53388,6.48480
60.8939,7.35344,0.53796,6.46590
60.9004,7.36963,0.54192,6.44711
60.9124,7.38634,0.54674,6.42756
60.9125,7.40400,0.55217,6.40674
60.9145,7.42148,0.55795,6.38598
60.9199,7.43893,0.56428,6.36509
60.9253,7.45614,0.57147,6.34428
60.9293,7.47305,0.57846,6.32370
60.9353,7.48943,0.58567,6.30364
60.9410,7.50592,0.59309,6.28329
60.9444,7.52082,0.59982,6.26481
60.9494,7.53512,0.60610,6.24699
60.9550,7.54855,0.61196,6.23019
60.9603,7.56071,0.61751,6.21488
60.9650,7.57148,0.62318,6.20119
60.9710,7.58106,0.62890,6.18890
60.9764,7.58929,0.63412,6.17826
60.9811,7.59616,0.63883,6.16933
60.9864,7.60224,0.64314,6.16138
60.9911,7.60744,0.64719,6.15455
60.9958,7.61199,0.65092,6.14853
61.0028,7.61580,0.65451,6.14341
61.0060,7.61903,0.65811,6.13903
61.0128,7.62206,0.66145,6.13490
61.0163,7.62493,0.66503,6.13095
61.0243,7.62787,0.66859,6.12690
61.0266,7.63075,0.67205,6.12293
61.0330,7.63368,0.67538,6.11892
61.0487,7.63669,0.67914,6.11475
61.0488,7.64005,0.68298,6.11012
61.0489,7.64393,0.68699,6.10482
61.0524,7.64832,0.69076,6.09889
61.0574,7.65316,0.69433,6.09241
61.0630,7.65848,0.69740,6.08537
61.0695,7.66425,0.70011,6.07779
61.0723,7.67008,0.70199,6.07022
61.0773,7.67614,0.70306,6.06242
61.0826,7.68214,0.70363,6.05475
61.0874,7.68850,0.70325,6.04671
61.0929,7.69525,0.70227,6.03824
61.0974,7.70207,0.70020,6.02978
61.1032,7.70913,0.69764,6.02105
61.1073,7.71688,0.69418,6.01151
61.1127,7.72542,0.68925,6.00110
61.1180,7.73466,0.68336,5.98985
61.1228,7.74513,0.67546,5.97721
61.1281,7.75617,0.66664,5.96387
61.1329,7.76791,0.65623,5.94973
61.1380,7.78068,0.64428,5.93433
61.1438,7.79449,0.63078,5.91764
61.1481,7.80917,0.61593,5.89982
61.1627,7.82511,0.59946,5.88036
61.1628,7.84112,0.58275,5.86069
61.1646,7.85744,0.56556,5.84048
61.1696,7.87392,0.54823,5.81989
61.1733,7.89051,0.53041,5.79905
61.1781,7.90764,0.51198,5.77732
61.1832,7.92585,0.49263,5.75401
61.1899,7.94415,0.47328,5.73034
61.1945,7.96352,0.45259,5.70508
61.1993,7.98422,0.43001,5.67783
61.2038,8.00681,0.40567,5.64772
61.2090,8.03144,0.38002,5.61444
61.2140,8.05927,0.35193,5.57626
61.2200,8.08864,0.32319,5.53533
61.2241,8.12067,0.29285,5.48993
61.2294,8.15608,0.26047,5.43884
61.2359,8.19438,0.22572,5.38253
61.2399,8.23610,0.18770,5.31994
61.2450,8.28304,0.14512,5.24792
61.2497,8.33233,0.10023,5.17037
61.2565,8.38339,0.05458,5.08784
