time,X_value,Y_value,Z_value
60.4169,-0.20047,0.08494,-0.06004
60.4170,-0.27314,-0.02381,0.03376
60.4230,-0.34226,-0.05020,0.05976
60.4264,-0.24419,-0.03688,0.16974
60.4383,-0.19868,-0.00456,0.23094
60.4384,-0.14248,-0.03131,0.29265
60.4424,-0.11841,-0.03274,0.29897
60.4469,-0.16207,0.02255,0.30529
60.4531,-0.13481,0.00007,0.31125
60.4569,-0.18068,-0.03519,0.27381
60.4622,-0.25720,-0.11819,0.19302
60.4671,-0.24726,-0.12224,0.15068
60.4725,-0.26669,-0.04660,0.10245
60.4771,-0.41875,-0.01865,0.02832
60.4826,-0.55841,-0.05524,-0.08954
60.4879,-0.54122,-0.08110,-0.17805
60.4923,-0.51211,-0.11869,-0.29933
60.4972,-0.55077,-0.11985,-0.32841
60.5024,-0.37406,-0.18220,-0.33841
60.5072,-0.17796,-0.02205,-0.30153
60.5124,-0.13620,0.07461,-0.13959
60.5178,0.04223,0.13285,-0.11011
60.5235,0.19621,0.13963,-0.13038
60.5277,0.23224,0.08589,-0.04692
60.5404,0.23475,0.02839,-0.07115
60.5404,0.18270,-0.01125,-0.09537
60.5433,0.18441,-0.01618,-0.07900
60.5503,0.14664,-0.02863,-0.01149
60.5530,0.14902,0.03090,0.00368
60.5581,0.18173,0.08182,0.06793
60.5633,0.17625,0.09098,0.07096
60.5695,0.20170,0.07862,0.13454
60.5739,0.22367,0.08379,0.16524
60.5782,0.26559,0.10621,0.21835
60.5837,0.24173,0.03416,0.22960
60.5885,0.25356,0.03829,0.18271
60.5937,0.18894,0.06067,0.19955
60.5998,0.14674,0.08710,0.14810
60.6040,0.13037,0.08326,0.13104
60.6098,0.09201,0.09457,0.17073
60.6141,0.08908,0.03785,0.07286
60.6191,0.15110,0.04330,0.11519
60.6241,0.14843,0.05315,0.12753
60.6292,0.22653,0.09214,0.16237
60.6348,0.26594,0.09100,0.16256
60.6395,0.27420,0.11308,0.17102
60.6443,0.26356,0.12985,0.10561
60.6546,0.23901,0.11657,0.06663
60.6547,0.21249,0.16157,0.07171
60.6610,0.19468,0.11134,0.04092
60.6648,0.18432,0.11268,0.02091
60.6700,0.12211,0.11076,-0.06582
60.6748,0.14823,0.09377,-0.07455
60.6808,0.09679,0.11859,-0.07476
60.6850,0.09774,0.13257,-0.04733
60.6913,0.06016,0.19409,-0.04337
60.6954,0.04116,0.17763,-0.09804
60.7021,0.10231,0.19210,-0.16569
60.7056,0.09092,0.13493,-0.12269
60.7123,0.15250,0.14780,-0.09941
60.7163,0.13672,0.14211,-0.05877
60.7224,0.12168,0.18220,0.02730
60.7264,0.20597,0.15848,-0.01141
60.7320,0.20273,0.09654,0.01096
60.7360,0.20055,0.09783,-0.05813
60.7423,0.21502,0.08941,-0.01734
60.7464,0.18706,0.08700,-0.00705
60.7524,0.23580,0.08332,-0.01868
60.7571,0.17510,0.06033,0.05035
60.7626,0.17249,0.08637,0.03504
60.7671,0.15125,0.09193,0.02426
60.7720,0.07449,0.05011,0.02175
60.7775,0.06129,0.05146,-0.04129
60.7823,0.03853,0.08021,-0.03354
60.7927,0.04181,0.10035,-0.07543
60.7931,0.02380,0.09903,-0.05769
60.7976,-0.03687,0.09429,-0.11844
60.8035,-0.07923,0.08371,-0.14422
60.8073,-0.06455,0.06049,-0.14213
60.8124,-0.06112,0.03072,-0.13960
60.8179,-0.07593,0.02873,-0.14853
60.8229,-0.09764,0.03535,-0.17534
60.8277,-0.11468,0.01710,-0.15887
60.8326,-0.13542,0.02279,-0.16835
60.8379,-0.19211,0.03468,-0.12497
60.8438,-0.20955,0.03726,-0.13495
60.8483,-0.22755,0.07800,-0.13931
60.8534,-0.25768,0.05562,-0.20257
60.8589,-0.20516,0.01939,-0.19915
60.8632,-0.22053,0.03573,-0.25288
60.8692,-0.22023,0.04002,-0.22773
60.8737,-0.23170,0.06687,-0.14333
60.8788,-0.19602,0.11679,-0.10403
60.8844,-0.10291,0.08502,-0.07749
60.8889,-0.03987,0.06820,-0.01212
60.8942,0.03272,0.03185,-0.05574
60.8992,-0.01662,-0.04869,-0.01077
60.9124,0.02582,-0.05462,-0.07279
60.9125,0.03020,-0.06954,-0.07728
60.9145,-0.00919,-0.04284,-0.12343
60.9198,-0.02836,0.00366,-0.06658
60.9253,-0.04865,0.09601,-0.00996
60.9294,0.00512,0.07594,0.04840
60.9360,0.01976,0.08798,0.05945
60.9406,0.05225,0.07226,0.02406
60.9447,0.04667,0.05241,0.05980
60.9496,0.12280,0.04378,0.04672
60.9549,0.14579,0.04153,0.04334
60.9600,0.16619,0.02758,0.07782
60.9650,0.18063,0.05064,0.09264
60.9711,0.15195,0.05447,0.12166
60.9765,0.17013,0.04324,0.09160
60.9811,0.10136,0.02055,0.09845
60.9863,0.08995,0.00668,0.04110
60.9911,0.06289,0.03259,0.01159
60.9958,0.05234,0.03011,-0.04841
61.0022,-0.00026,0.02539,-0.06831
61.0060,0.01244,0.04583,-0.09608
61.0128,-0.04107,0.01268,-0.19063
61.0162,-0.08093,0.04400,-0.22163
61.0243,-0.09899,0.05141,-0.27624
61.0266,-0.08596,0.05292,-0.26394
61.0329,-0.10033,0.04021,-0.29336
61.0487,-0.04430,0.07258,-0.31802
61.0489,-0.03281,0.04618,-0.36484
61.0489,-0.06680,0.05202,-0.45133
61.0538,-0.12238,0.05573,-0.50088
61.0574,-0.17203,0.09321,-0.53642
61.0630,-0.14339,0.08446,-0.49859
61.0694,-0.12716,0.09882,-0.52370
61.0731,-0.13391,0.06127,-0.46752
61.0768,-0.14556,0.02094,-0.48288
61.0826,-0.17979,0.03740,-0.46357
61.0874,-0.15573,-0.02425,-0.47747
61.0929,-0.19410,-0.03141,-0.48239
61.0974,-0.22634,-0.07579,-0.49075
61.1029,-0.26106,-0.04064,-0.48438
61.1078,-0.27461,-0.05609,-0.53688
61.1126,-0.33384,-0.11556,-0.60005
61.1181,-0.37664,-0.08783,-0.63461
61.1232,-0.38224,-0.13840,-0.63544
61.1280,-0.41701,-0.11738,-0.62352
61.1332,-0.42626,-0.14395,-0.57143
61.1381,-0.43038,-0.14507,-0.59828
61.1431,-0.40453,-0.12553,-0.59050
61.1495,-0.31205,-0.10117,-0.51994
61.1628,-0.22735,-0.09205,-0.49017
61.1628,-0.11233,-0.09236,-0.45120
61.1634,0.00507,-0.08389,-0.38366
61.1696,0.04068,-0.06932,-0.38657
61.1733,0.05084,-0.07465,-0.35224
61.1781,0.05104,-0.11292,-0.38763
61.1834,-0.01167,-0.11913,-0.40561
61.1884,-0.07159,-0.12173,-0.44447
61.1944,-0.17603,-0.14095,-0.50755
61.1991,-0.26091,-0.20145,-0.50491
61.2038,-0.38980,-0.22308,-0.56232
61.2090,-0.52696,-0.19073,-0.58735
61.2143,-0.64711,-0.19912,-0.65015
61.2200,-0.80357,-0.18412,-0.69882
61.2241,-0.98996,-0.16878,-0.77228
61.2294,-1.10525,-0.17783,-0.91736
61.2347,-1.27593,-0.22538,-0.97171
61.2399,-1.46844,-0.34767,-1.12443
61.2451,-1.64014,-0.37824,-1.31628
61.2497,-1.69346,-0.37918,-1.42240
61.2577,-1.84655,-0.37966,-1.51770
61.2601,-1.90655,-0.41888,-1.59881
61.2656,-1.97512,-0.46085,-1.70486
61.2704,-2.06283,-0.54609,-1.71710
61.2761,-2.11654,-0.63982,-1.64804
61.2807,-2.10491,-0.63303,-1.69536
61.2978,-2.04216,-0.70780,-1.71541
61.2980,-1.94136,-0.76852,-1.71595
61.2981,-1.85855,-0.90384,-1.63900
61.3015,-1.70476,-0.94512,-1.59916
61.3060,-1.55844,-0.94508,-1.55803
61.3150,-1.37928,-0.88442,-1.46936
61.3164,-1.17970,-0.61605,-1.26825
61.3221,-1.10718,-0.54138,-1.16886
61.3263,-0.81655,-0.65491,-1.15190
61.3325,-0.45463,-0.64507,-1.06075
61.3372,-0.18156,-0.69209,-1.06838
61.3427,0.04173,-0.70420,-0.92869
61.3473,0.31103,-0.76585,-0.88501
61.3537,0.52038,-0.90592,-0.85884
61.3570,0.73842,-0.99977,-0.83959
61.3625,1.22254,-0.58375,-0.76090
61.3678,1.53188,-0.19811,-0.66717
61.3734,1.82406,0.20923,-0.49364
61.3770,2.26784,0.62988,-0.32938
61.3826,2.74149,0.94080,-0.23526
61.3881,3.18069,1.00488,-0.01527
61.3927,3.68382,1.07896,0.18647
61.3970,4.33166,1.21612,0.27865
61.4251,4.80459,1.41615,0.56374
61.4253,5.19189,1.41169,0.61014
61.4254,5.68031,1.91705,0.85847
61.4255,5.91084,2.26937,1.11298
61.4256,5.98695,2.58843,1.22959
61.4284,5.76140,2.67124,1.23829
61.4325,5.32521,2.43654,1.14610
61.4376,4.79419,2.25568,1.11682
61.4427,4.22529,2.14231,1.04862
61.4479,3.54262,1.97819,0.93591
61.4538,2.88588,1.71617,0.72347
61.4580,2.17176,1.44208,0.52020
61.4634,1.51164,1.15233,0.30667
61.4682,0.92488,0.93126,0.04669
61.4736,0.44294,0.68081,-0.20198
61.4783,0.09826,0.51072,-0.35686
61.4836,-0.21207,0.38335,-0.53470
61.4893,-0.49766,0.26733,-0.62903
61.4945,-0.72384,0.22538,-0.69525
61.4989,-0.83711,0.22208,-0.78741
61.5048,-0.99934,0.24676,-0.84742
61.5089,-1.05995,0.27679,-0.82399
61.5144,-1.08632,0.38500,-0.80733
61.5208,-1.04388,0.46479,-0.77197
61.5245,-0.95608,0.62298,-0.68579
61.5295,-0.70342,0.78980,-0.50579
61.5343,-0.38690,0.93897,-0.23123
61.5517,-0.03680,1.09424,0.00046
61.5519,0.23414,1.28529,0.23006
61.5520,0.44752,1.44233,0.52146
61.5557,0.69060,1.57137,0.69603
61.5606,0.94670,1.62097,0.81733
61.5659,1.14647,1.60050,0.95865
61.5697,1.34748,1.52545,1.03962
61.5768,1.46024,1.41303,1.13323
61.5805,1.52796,1.31600,1.20116
61.5846,1.55598,1.25575,1.22342
61.5910,1.55166,1.19454,1.20751
61.5952,1.53192,1.16145,1.12127
61.6013,1.43235,1.06248,1.06938
61.6055,1.37644,1.03945,0.92078
61.6119,1.26249,1.02913,0.81775
61.6168,1.09802,1.00977,0.66184
61.6231,0.98126,0.97100,0.52128
61.6259,0.90984,0.96349,0.38204
61.6329,0.86818,1.02554,0.28366
61.6360,0.80356,1.11147,0.18703
61.6427,0.85603,1.20928,0.17441
61.6479,0.95457,1.32300,0.27150
61.6546,1.15169,1.46162,0.32943
61.6565,1.29272,1.62281,0.47042
61.6630,1.32008,1.68594,0.68149
61.6676,1.42636,1.72711,0.71047
61.6846,1.45487,1.77245,0.76090
61.6848,1.49138,1.77234,0.86247
61.6848,1.45464,1.87275,0.92570
61.6875,1.43435,1.89622,1.02402
61.6941,1.36228,1.86308,1.00568
61.6972,1.24561,1.79264,0.98630
61.7024,1.07143,1.73639,0.95864
61.7089,0.87560,1.61429,0.87327
61.7153,0.69297,1.46590,0.79486
61.7180,0.44590,1.33253,0.79647
61.7232,0.24218,1.27809,0.67733
61.7278,0.04944,1.24647,0.62943
61.7330,-0.12623,1.22916,0.58577
61.7379,-0.28267,1.21666,0.50266
61.7433,-0.38751,1.25896,0.44727
61.7479,-0.45280,1.30360,0.43889
61.7532,-0.46783,1.31702,0.38037
61.7580,-0.48047,1.33281,0.39946
61.7639,-0.45838,1.30629,0.33366
61.7689,-0.38868,1.31673,0.29229
61.7736,-0.25222,1.31952,0.24339
61.7841,-0.08985,1.37408,0.17851
61.7846,0.06117,1.43657,0.14423
61.8125,0.14580,1.47930,0.03758
61.8127,0.21203,1.47564,0.00024
61.8127,0.21920,1.47038,-0.03304
61.8130,0.22485,1.41783,-0.12268
61.8131,0.23504,1.43444,-0.16814
61.8141,0.29170,1.47597,-0.19234
61.8184,0.26796,1.43249,-0.20480
61.8246,0.25606,1.44502,-0.26446
61.8296,0.24289,1.40407,-0.24302
61.8341,0.17827,1.33482,-0.26523
61.8392,0.17242,1.32260,-0.23554
61.8444,0.16669,1.28132,-0.22353
61.8498,0.13598,1.27337,-0.20759
61.8565,0.14133,1.22318,-0.20225
61.8597,0.17553,1.20992,-0.15115
61.8647,0.21344,1.17485,-0.12759
61.8700,0.22633,1.17281,-0.07773
61.8753,0.25963,1.10799,-0.00507
61.8804,0.26908,1.09423,0.01381
61.8857,0.27142,1.06446,0.08205
61.8908,0.29654,0.99967,0.11724
61.8972,0.31088,0.97292,0.16875
61.9024,0.33243,0.92691,0.22456
61.9084,0.34799,0.84961,0.21412
61.9113,0.43407,0.77810,0.22877
61.9165,0.48761,0.71002,0.26056
61.9368,0.56003,0.71192,0.32137
61.9370,0.73022,0.72126,0.35365
61.9371,0.86523,0.73400,0.51037
61.9372,1.03688,0.74886,0.54247
61.9422,1.19850,0.68779,0.61239
61.9470,1.36324,0.63709,0.66766
61.9555,1.47980,0.53792,0.65941
61.9591,1.59479,0.42129,0.69823
61.9633,1.68554,0.32577,0.69433
61.9676,1.73057,0.18794,0.71222
61.9727,1.74435,0.06414,0.74449
61.9766,1.79026,-0.01563,0.81667
61.9830,1.86243,-0.09331,0.79510
61.9872,1.92852,-0.23433,0.72699
61.9934,1.96593,-0.48336,0.67952
61.9979,2.03583,-0.80228,0.58479
62.0027,2.09288,-1.06321,0.46575
62.0076,2.13476,-1.33219,0.28274
62.0150,2.16642,-1.48722,0.17507
62.0177,2.13407,-1.53736,0.08465
62.0234,2.14077,-1.47159,0.04269
62.0279,2.18542,-1.31267,-0.05662
62.0349,2.21308,-1.09570,0.07421
62.0378,2.36393,-0.84981,0.24847
62.0530,2.49630,-0.62425,0.49938
62.0531,2.68567,-0.39815,0.83669
62.0532,2.80979,-0.23009,1.15916
62.0583,2.94151,-0.09136,1.51770
62.0633,3.01133,0.01508,1.79227
62.0682,2.93819,0.07568,2.05327
62.0779,3.08034,0.45820,2.27695
62.0796,2.98902,0.63974,2.49154
62.0831,2.90243,0.73218,2.61998
62.0888,2.72359,0.85500,2.62049
62.0932,2.52062,0.93253,2.70432
62.0983,2.32001,1.02966,2.64361
62.1035,2.06979,1.10015,2.60441
62.1088,1.78708,1.19977,2.46404
62.1141,1.45765,1.30242,2.30876
62.1191,1.13299,1.43823,2.07570
62.1244,0.78078,1.53190,1.76421
62.1300,0.43828,1.61941,1.37263
62.1343,0.17440,1.62941,1.01913
62.1399,-0.09104,1.68973,0.67789
62.1443,-0.35093,1.61252,0.33858
62.1499,-0.57669,1.53692,0.02725
62.1547,-0.77676,1.43583,-0.23630
62.1596,-0.99425,1.31032,-0.50129
62.1646,-1.22790,1.18997,-0.74165
62.1695,-1.38918,1.06495,-0.93501
62.1862,-1.50206,0.96568,-1.08358
62.1863,-1.56661,0.88053,-1.24450
62.1866,-1.62232,0.80621,-1.33987
62.1945,-1.64189,0.68649,-1.32234
62.1956,-1.59730,0.55415,-1.34360
62.2006,-1.49008,0.38629,-1.29744
62.2051,-1.43271,0.25352,-1.22728
