time,X_value,Y_value,Z_value
60.4219,-35.24392,-17.31643,-36.76398
60.4383,-35.23817,-17.88043,-38.02689
60.4418,-35.22320,-18.43989,-36.72839
60.4528,-33.96991,-17.34444,-36.13204
60.4616,-34.63341,-16.20981,-38.08450
60.4717,-33.96186,-17.90731,-36.75460
60.4826,-33.34443,-16.79729,-36.15405
60.4923,-35.23356,-17.87816,-36.74618
60.5019,-35.23125,-17.87702,-36.10582
60.5114,-35.23356,-17.87816,-36.74618
60.5235,-35.23817,-17.88043,-38.02689
60.5319,-35.22320,-18.43989,-36.72839
60.5418,-33.30067,-19.04307,-35.44250
60.5520,-35.85675,-18.42418,-36.08381
60.5621,-34.58503,-18.45333,-36.09223
60.5722,-35.22320,-18.43989,-36.72839
60.5813,-35.25429,-16.75470,-36.78178
60.5914,-35.26234,-16.19183,-36.15921
60.6025,-33.96647,-17.90958,-38.03532
60.6131,-35.86711,-17.86245,-36.10161
60.6215,-34.62535,-16.77268,-38.70705
60.6321,-35.87978,-17.30185,-36.75977
60.6414,-35.23125,-17.87702,-36.10582
60.6546,-34.61843,-16.76927,-36.78599
60.6622,-35.21859,-18.43762,-35.44767
60.6709,-34.60463,-17.89614,-38.67146
60.6808,-34.59771,-17.89273,-36.75039
60.6914,-34.58735,-18.45446,-36.73260
60.7021,-35.22895,-17.87589,-35.46546
60.7122,-35.24161,-17.31529,-36.12362
60.7224,-35.85675,-18.42418,-36.08381
60.7320,-35.86711,-17.86245,-36.10161
60.7419,-35.23356,-17.87816,-36.74618
60.7522,-34.59310,-17.89046,-35.46967
60.7624,-36.50065,-17.84674,-35.45704
60.7716,-36.51332,-17.28614,-36.11520
60.7822,-36.49029,-18.40847,-35.43925
60.7927,-36.50296,-17.84787,-36.09740
60.8034,-35.86250,-17.86018,-34.82090
60.8113,-35.24161,-17.31529,-36.12362
60.8226,-34.59310,-17.89046,-35.46967
60.8313,-35.87403,-17.86585,-38.02268
60.8416,-36.49260,-18.40961,-36.07960
60.8519,-33.94688,-18.46677,-35.45609
60.8619,-35.23125,-17.87702,-36.10582
60.8731,-35.22895,-17.87589,-35.46546
60.8818,-36.50527,-17.84901,-36.73775
60.8925,-35.86480,-17.86131,-35.46125
60.9123,-36.49604,-17.84447,-34.17633
60.9128,-37.74701,-18.93878,-34.13232
60.9242,-37.75163,-18.94105,-35.41302
60.9333,-37.76774,-17.81532,-34.16791
60.9421,-38.40359,-17.80075,-34.16370
60.9514,-36.46495,-19.52966,-34.12294
60.9613,-39.05787,-16.66157,-33.55473
60.9717,-37.74701,-18.93878,-34.13232
60.9818,-38.99338,-20.03082,-32.80758
60.9918,-36.45459,-20.09139,-34.10514
61.0022,-37.74471,-18.93764,-33.49196
61.0128,-39.63959,-19.45452,-32.82117
61.0222,-38.39898,-17.79847,-32.88298
61.0325,-39.02447,-18.34563,-32.86097
61.0488,-37.76313,-17.81305,-32.88719
61.0524,-37.75045,-18.37364,-32.22904
61.0630,-38.37825,-18.92194,-32.84739
61.0723,-38.37938,-18.35566,-30.30376
61.0825,-39.63729,-19.45338,-32.18081
61.0929,-38.39667,-17.79734,-32.24263
61.1029,-39.02678,-18.34677,-33.50134
61.1122,-39.03714,-17.78503,-33.51913
61.1218,-39.02447,-18.34563,-32.86097
61.1320,-39.03714,-17.78503,-33.51913
61.1417,-38.38169,-18.35680,-30.94412
61.1626,-38.38630,-18.35907,-32.22483
61.1629,-39.00488,-18.90282,-30.28175
61.1724,-39.66376,-17.76592,-30.95350
61.1818,-38.38975,-17.79393,-30.32156
61.1913,-38.38861,-18.36020,-32.86518
61.2011,-39.04289,-17.22103,-32.25621
61.2127,-39.67874,-17.20646,-32.25200
61.2221,-40.31804,-16.62675,-30.34453
61.2323,-42.85338,-17.13132,-30.95023
61.2429,-39.66720,-17.20078,-29.05022
61.2536,-42.21292,-17.14362,-29.67373
61.2617,-44.11816,-17.09876,-29.02074
61.2715,-43.51340,-15.42814,-29.07835
61.2815,-44.15270,-14.84843,-27.17087
61.2979,-45.44857,-13.13068,-25.29477
61.3024,-45.44396,-13.12841,-24.01406
61.3143,-46.70874,-13.09586,-22.08456
61.3221,-47.29609,-11.71328,-19.55453
61.3322,-49.87403,-9.40465,-17.68781
61.3426,-51.12732,-10.50010,-18.28414
61.3523,-51.13995,-8.80583,-13.21468
61.3618,-52.43926,-6.52294,-9.43532
61.3730,-53.06589,-6.50383,-6.86968
61.3823,-53.57236,-4.51637,-6.12236
61.3921,-53.57349,-3.95009,-3.57874
61.4250,-54.25424,-1.12346,-1.74244
61.4254,-54.21393,-2.80411,0.87238
61.4256,-53.59305,-2.25923,-0.43035
61.4314,-56.15602,-0.51006,2.73489
61.4417,-53.58844,-2.25695,0.85037
61.4516,-53.58382,-2.25468,2.13108
61.4617,-56.13185,-2.19866,0.86721
61.4717,-54.22085,-2.80752,-1.04869
61.4823,-54.21510,-3.37152,-2.31161
61.4924,-54.24963,-1.12119,-0.46173
61.5023,-54.85326,-3.35808,-2.94775
61.5124,-56.10423,-4.45239,-2.90374
61.5225,-56.13419,-3.33347,-5.50075
61.5336,-54.21857,-3.94006,-6.13595
61.5518,-52.96529,-2.84461,-5.53960
61.5556,-54.23238,-2.81319,-4.25047
61.5620,-52.96068,-2.84234,-4.25890
61.5715,-54.21970,-3.37379,-3.59232
61.5812,-53.60690,-2.26604,-4.27248
61.5913,-54.86362,-2.79635,-2.96555
61.6010,-53.60458,-2.26490,-3.63213
61.6119,-52.94340,-3.40067,-2.32003
61.6227,-54.22777,-2.81092,-2.96976
61.6324,-54.87398,-2.23462,-2.98335
61.6423,-54.87167,-2.23348,-2.34299
61.6519,-54.89701,-1.11229,-3.65930
61.6626,-54.27383,-0.56627,-4.32166
61.6845,-54.23700,-2.81546,-5.53118
61.6847,-54.88551,-2.24029,-6.18513
61.6924,-54.24161,-2.81773,-6.81190
61.7023,-54.87515,-2.80202,-6.16734
61.7153,-54.24392,-2.81887,-7.45226
61.7221,-54.24161,-2.81773,-6.81190
61.7317,-52.96877,-3.41315,-9.36395
61.7421,-52.32025,-3.98833,-8.71000
61.7519,-54.88438,-2.80656,-8.72875
61.7632,-54.23816,-3.38287,-8.71516
61.7724,-53.59657,-3.96145,-9.98229
61.7841,-56.13998,-3.90315,-9.96545
61.8126,-56.12961,-4.46488,-9.94765
61.8129,-54.24277,-3.38514,-9.99588
61.8131,-54.25084,-2.82227,-9.37332
61.8225,-53.60118,-3.96372,-11.26300
61.8322,-52.94691,-5.10289,-11.87197
61.8425,-54.23241,-3.94687,-9.97808
61.8525,-53.59082,-4.52545,-11.24521
61.8635,-52.93537,-5.09721,-8.67020
61.8725,-53.59082,-4.52545,-11.24521
61.8826,-54.87749,-3.93684,-12.53530
61.8915,-54.21169,-5.07033,-9.94249
61.9023,-52.29264,-6.24206,-12.48095
61.9113,-53.58045,-5.08718,-11.22741
61.9368,-52.95727,-4.54116,-11.88977
61.9371,-53.58507,-5.08945,-12.50813
61.9422,-54.22092,-5.07487,-12.50391
61.9555,-52.35020,-2.86940,-11.30702
61.9633,-54.88325,-3.37284,-11.27238
61.9726,-54.25314,-2.82341,-10.01368
61.9829,-52.95035,-4.53775,-9.96871
61.9933,-52.96533,-3.97829,-11.26721
62.0022,-52.96995,-3.98056,-12.54794
62.0138,-54.86252,-4.49630,-11.23679
62.0221,-54.22205,-4.50860,-9.96029
62.0328,-53.58045,-5.08718,-11.22741
62.0529,-54.24277,-3.38514,-9.99588
62.0532,-53.61729,-2.83798,-10.01789
62.0633,-56.15378,-2.77628,-8.07997
62.0743,-56.81384,-2.20679,-11.93569
62.0814,-54.23816,-3.38287,-8.71516
62.0917,-54.26812,-2.26395,-11.31219
62.1024,-53.65300,-1.15506,-11.35199
62.1136,-56.17107,-2.21795,-10.01884
62.1244,-53.02406,-1.17304,-13.27728
62.1321,-53.67834,-0.03387,-12.66830
62.1419,-54.26006,-2.82681,-11.93475
62.1527,-54.29115,-1.14162,-11.98814
62.1629,-56.15957,-3.34596,-12.54467
62.1714,-53.61272,-3.96939,-14.46478
62.1863,-53.00565,-2.29764,-13.88203
62.1945,-53.61041,-3.96826,-13.82443
62.2010,-52.96420,-4.54456,-13.81084
62.2126,-53.61272,-3.96939,-14.46478
62.2211,-53.59774,-4.52885,-13.16628
62.2326,-52.95152,-5.10516,-13.15269
62.2426,-54.85908,-5.06143,-13.14006
62.2534,-53.58968,-5.09172,-13.78883
62.2633,-53.56435,-6.21291,-12.47253
62.2729,-54.82337,-6.74436,-11.80595
62.2832,-54.17485,-7.31953,-11.15201
62.3014,-52.89279,-7.91041,-11.14263
62.3028,-54.80264,-7.86782,-11.77035
62.3121,-54.80608,-7.30268,-9.86709
62.3214,-54.79228,-8.42955,-11.75256
62.3321,-54.17715,-7.32066,-11.79236
62.3429,-53.47913,-10.70562,-11.68978
62.3523,-54.76119,-10.11474,-11.69916
62.3615,-56.07204,-7.83753,-11.12157
62.3725,-56.03059,-10.08446,-11.05038
62.3820,-56.07435,-7.83867,-11.76192
62.3930,-54.14606,-9.00585,-11.73897
62.4021,-53.49180,-10.14503,-12.34795
62.4137,-54.11497,-10.69105,-11.68557
62.4235,-54.75314,-10.67761,-12.32172
62.4389,-54.14838,-9.00699,-12.37933
62.4427,-52.23852,-9.04958,-11.75160
62.4520,-53.52402,-7.89356,-9.85771
62.4637,-54.17023,-7.31726,-9.87130
62.4721,-53.55167,-6.77351,-11.81437
62.4822,-54.17485,-7.31953,-11.15201
62.4920,-56.10775,-6.15461,-12.45568
62.5015,-54.84754,-5.05576,-9.93828
62.5116,-56.78619,-3.32684,-9.97903
62.5217,-56.13767,-3.90201,-9.32510
62.5327,-54.89361,-2.81110,-11.29018
62.5548,-56.80461,-2.20225,-9.37428
62.5550,-54.92583,-0.55964,-8.79994
62.5625,-54.30265,-0.01362,-9.46231
62.5715,-54.95461,1.12669,-8.21298
62.5846,-56.88865,2.85787,-6.97303
62.5928,-56.91974,4.54307,-7.02643
62.6032,-55.02485,5.05994,-7.69721
62.6128,-54.36009,6.43056,-7.21481
62.6218,-55.02241,8.13259,-5.98329
62.6327,-55.02472,8.13146,-6.62364
62.6426,-56.32866,10.41207,-4.12498
62.6530,-55.03048,8.69546,-5.36073
62.6622,-55.07075,11.50979,-2.24793
62.6718,-55.12257,14.31844,-2.33692
62.6865,-56.40464,14.90932,-2.34630
62.6929,-55.12600,14.88358,-0.43365
62.7022,-53.88540,16.53962,-0.49548
62.7155,-53.87848,16.54303,1.42560
62.7224,-52.62519,17.63848,2.02193
62.7319,-53.24250,20.07997,2.01495
62.7437,-53.23788,20.08224,3.29566
62.7526,-52.01799,22.86175,3.19825
62.7623,-52.00533,22.30115,3.85641
62.7730,-50.12080,23.37975,3.16782
62.7829,-50.82227,27.32985,4.96851
62.7919,-50.81535,27.33326,6.88959
62.8056,-48.91010,27.28840,6.23659
62.8142,-48.32262,29.51734,4.24013
62.8209,-45.77229,29.46245,6.14434
62.8323,-45.80683,31.71278,7.99422
62.8422,-47.73973,32.87769,6.69055
62.8521,-46.07217,32.47397,6.49792
62.8628,-44.76938,30.75963,6.54288
62.8731,-45.43863,32.45826,5.85334
62.8833,-45.41098,31.33821,7.81001
62.8926,-47.98548,33.08170,7.77346
62.9016,-46.06987,32.47511,7.13828
62.9125,-45.37989,29.65301,7.86340
62.9224,-46.04683,31.35278,7.81422
62.9381,-46.67694,30.80335,6.55552
62.9424,-47.92561,29.71017,7.23989
62.9517,-48.59716,31.40767,5.91000
62.9618,-48.57068,29.72021,4.68268
62.9713,-48.56607,29.72248,5.96339
62.9814,-50.46096,29.20561,6.63419
62.9917,-49.82397,28.62476,4.08634
63.0062,-49.84701,29.74709,3.41039
63.0121,-49.16164,26.92272,2.85481
63.0234,-50.44371,27.51360,2.84544
63.0337,-51.08418,27.52591,1.56894
63.0424,-49.17431,27.48332,2.19666
63.0570,-49.76872,25.25097,2.27206
63.0679,-50.45295,27.50906,0.28402
63.0715,-50.45295,27.50906,0.28402
63.0830,-49.16626,26.92045,1.57410
63.0912,-51.04272,25.27899,1.64013
63.1015,-52.32017,25.87213,2.91146
63.1123,-50.42530,26.38901,2.24068
63.1240,-52.33745,26.43046,0.97260
63.1316,-51.05079,25.84185,2.26269
63.1417,-50.43566,26.95074,2.22288
63.1538,-52.32017,25.87213,2.91146
63.1629,-52.94105,25.32725,4.21419
63.1736,-52.96409,26.44958,3.53824
63.1886,-50.40226,25.26668,2.91663
63.1921,-50.39190,24.70495,2.93443
63.2015,-52.29944,24.74867,2.94706
63.2124,-51.03349,25.28353,4.20155
63.2223,-52.29714,24.74981,3.58742
63.2318,-50.39995,25.26782,3.55699
63.2420,-51.02774,24.71952,2.93864
63.2525,-51.00933,23.59493,2.33388
63.2627,-50.40226,25.26668,2.91663
63.2716,-51.00471,23.59720,3.61459
63.2823,-52.89154,22.51746,3.66283
63.2934,-52.27411,23.62748,4.26337
63.3069,-52.91458,23.63979,2.98686
63.3155,-50.36886,23.58262,3.61038
63.3219,-52.27642,23.62635,3.62302
63.3323,-52.93069,24.76552,4.23199
63.3417,-52.30751,25.31154,3.56963
63.3529,-52.33053,26.43387,2.89366
63.3616,-50.39651,24.70268,1.65372
63.3716,-51.07151,26.96531,2.22709
63.3822,-51.05539,25.83958,0.98198
63.3925,-50.36542,23.01748,1.70711
63.4019,-50.41724,25.82614,1.61812
63.4118,-52.28450,23.05553,-1.48204
63.4217,-50.42071,25.25760,-2.20621
63.4406,-53.56658,23.64641,-1.49141
63.4477,-52.92959,23.06557,-4.03925
63.4523,-54.14717,20.22719,-3.48148
63.4622,-52.88700,20.19237,-6.69169
63.4758,-52.24078,19.61606,-6.67810
63.4824,-52.24078,19.61606,-6.67810
63.4916,-52.86858,19.06778,-7.29645
63.5022,-53.48140,17.96002,-6.61629
63.5135,-54.08847,16.28827,-7.19904
63.5226,-55.38321,17.43974,-7.86656
63.5327,-55.33714,15.19509,-6.51466
