time,X_value,Y_value,Z_value
0.0075,-17.24598,-9.60235,176.62431
0.0077,-17.28731,-9.59634,176.58347
0.0171,-17.35617,-9.60411,176.56033
0.0180,-17.43719,-9.61991,176.51439
0.0268,-17.52448,-9.64441,176.50220
0.0282,-17.61662,-9.67437,176.46909
0.0360,-17.71808,-9.70498,176.47055
0.0387,-17.82807,-9.73555,176.48897
0.0460,-17.94796,-9.76855,176.55965
0.0488,-18.06129,-9.79930,176.65863
0.0575,-18.16475,-9.82622,176.79620
0.0590,-18.25458,-9.83881,176.94905
0.0659,-18.32587,-9.83614,177.08202
0.0695,-18.37739,-9.81462,177.23070
0.0759,-18.41151,-9.77189,177.36479
0.0793,-18.42891,-9.71676,177.51344
0.0858,-18.43170,-9.64618,177.67563
0.0906,-18.42156,-9.56254,177.79053
0.0957,-18.40753,-9.47077,177.90623
0.1004,-18.39739,-9.37243,178.00143
0.1148,-18.39363,-9.26902,178.09703
0.1149,-18.40135,-9.17160,178.17134
0.1165,-18.42699,-9.08186,178.24242
0.1203,-18.47392,-9.00337,178.31084
0.1261,-18.53940,-8.94043,178.34509
0.1298,-18.62103,-8.88764,178.43756
0.1363,-18.71475,-8.83397,178.51305
0.1421,-18.80518,-8.78677,178.64859
0.1462,-18.89719,-8.73001,178.78238
0.1506,-18.98372,-8.66222,178.89035
0.1566,-19.06348,-8.58324,179.00771
0.1609,-19.13522,-8.49090,179.11714
0.1664,-19.20275,-8.38147,179.27829
0.1711,-19.26641,-8.26052,179.39616
0.1772,-19.32733,-8.12746,179.51163
0.1811,-19.39639,-7.98760,179.61868
0.1868,-19.47298,-7.84226,179.67653
0.1914,-19.56699,-7.69946,179.77603
0.1971,-19.66582,-7.56469,179.81482
0.2015,-19.77893,-7.43902,179.84174
0.2068,-19.90720,-7.31730,179.84224
0.2114,-20.05153,-7.19676,179.86182
0.2203,-20.21258,-7.07512,179.91675
0.2220,-20.38983,-6.95193,179.92311
0.2322,-20.59372,-6.82326,179.89618
0.2323,-20.81033,-6.70081,179.88010
0.2367,-21.05003,-6.58302,179.90170
0.2422,-21.31760,-6.47155,179.86345
0.2470,-21.61963,-6.36669,179.86484
0.2522,-21.96213,-6.26825,179.79762
0.2584,-22.36487,-6.17129,179.72562
0.2623,-22.80558,-6.07875,179.62691
0.2672,-23.29678,-5.98504,179.53099
0.2725,-23.83094,-5.88388,179.41644
